Category,Topic,420i Coupé M Sport,430i Coupé M Sport,M440i xDrive
Engine and Performance,Engine type,BMW TwinPower Turbo 4-cylinder inline petrol engine,BMW TwinPower Turbo 4-cylinder inline petrol engine,BMW TwinPower Turbo 6-cylinder inline petrol engine
Engine and Performance,Displacement (cm3),"1,998","1,998","2,998"
Engine and Performance,Engine power (kW/hp/rpm),"135 / 184 / 5,000 - 6,500","190 / 258 / 5,000 - 6,500","285 / 387 / 5,800 - 6,500"
Engine and Performance,Engine torque (Nm/rpm),"300 / 1,350 - 4,000","400 / 1,550 - 4,400","500 / 1,800 - 5,000"
Engine and Performance,Top speed (km/h),240,250,250
Engine and Performance,0 - 100 km/h (s),7.5,5.8,4.5
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),15.6,15.2,12.8
Fuel Consumption and CO2 Emission,Combined CO2(g/km),145,150,178
Wheels and Tyres,Light alloy wheels,"18"" M light alloy wheels Double-spoke style Bicolour","19"" M light alloy wheels Double-spoke style, Bicolour","19"" M light alloy wheels Double-spoke style Jet Black"
Wheels and Tyres,Tyre size,7.5J × 18 / tyres 225/40 R18,Front: 8 J × 19 / tyres 225/40 R19Rear: 8.5 J × 19 / tyres 255/35 R19,Front: 8J × 19 / tyres 225/40 R19Rear: 8.5J × 19 / tyres 255/35 R19
Wheels and Tyres,Runflat tyres,■,■,-
Dimension,Length / width / height (mm),"4,768 / 1,852 / 1,383","4,768 / 1,852 / 1,383","4,770 / 1,852 / 1,393"
Dimension,Luggage capacity (l),440,440,440
Dimension,Curb weight (kg),"1,600","1,620","1,815"
Drivetrain and Technology,8-speed Steptronic transmission with gearshift paddles,■,-,-
Drivetrain and Technology,8-speed Steptronic Sport transmission with gearshift paddles,-,■,■
Drivetrain and Technology,Adaptive M suspension,-,-,■
Drivetrain and Technology,M Sport suspension,■,■,-
Drivetrain and Technology,M Sport differential,-,-,■
Drivetrain and Technology,Variable sport steering,■,■,■
Drivetrain and Technology,Active cruise control with Stop&Go function,■,■,■
Drivetrain and Technology,Driving Assistant,■,■,■
Drivetrain and Technology,Parking Assistant,■,-,-
Drivetrain and Technology,Parking Assistant Plus,-,■,■
Exterior Equipment,LED headlights,■,-,-
Exterior Equipment,Adaptive LED headlights,-,■,■
Exterior Equipment,M Sport brake,■,■,-
Exterior Equipment,"M Sport brake, red high-gloss",-,-,■
Exterior Equipment,High-beam assistant,■,■,■
Exterior Equipment,Comfort access system,■,■,■
Exterior Equipment,"Glass roof, electrical",-,■,■
Exterior Equipment,M Aerodynamics package,■,■,■
Exterior Equipment,M Lights Shadow Line,-,-,■
Exterior Equipment,Automatic operation of tailgate,■,■,■
Exterior Equipment,M high-gloss Shadow Line,■,■,■
Exterior Equipment,M rear spoiler,-,-,■
