Category,Topic,i5 eDrive40 M Sport (Inspiring),i5 eDrive40 M Sport,i5 M60 xDrive
Engine and Performance,Electric motor,BMW eDrive technology,BMW eDrive technology,BMW eDrive technology
Engine and Performance,Maximum output (kW/hp),250 / 340,250 / 340,442 / 601
Engine and Performance,Maximum torque (Nm),400,400,795
Engine and Performance,"Electric range¹, NEDC (km)",up to¹ 501,up to¹ 501,up to¹ 466
Engine and Performance,"Electric range¹, WLTP (km)",497 - 582,497 - 582,455 - 516
Engine and Performance,Battery type (High voltage),Lithium-ion,Lithium-ion,Lithium-ion
Engine and Performance,High voltage battery energy content (kWh),83.9,83.9,83.9
Engine and Performance,Top speed (km/h),193,193,230
Engine and Performance,0 - 100 km/h (s),6,6,3.8
Engine and Performance,"Electric energy consumption, NEDC (kWh/100 km)",18.1,18.1,19.5
Engine and Performance,"Electric energy consumption, WLTP (kWh/100 km)",18.9 - 15.9,18.9 - 15.9,20.6 - 18.2
Wheels and Tyres,Wheels,"19"" M light alloy wheels Double-spoke style Bicolour Grey","20"" M aerodynamic wheels Bicolour Black Grey","21"" BMW Individual aerodynamic wheels Bicolour Jet Black"
Wheels and Tyres,Tyre size,8.5 J × 19 / tyres: 245/45 R 19,"Front: 8.5 J × 20 / tyres: 245/40 R 20
Rear: 10 J × 20 / tyres: 275/35 R 20","Front: 8.5 J × 21 / tyres: 255/35 R 21
Rear: 9.5 J × 21 / tyres: 285/30 R 21"
Dimension,Length / width / height (mm),"5,060 / 1,900 / 1,515","5,060 / 1,900 / 1,515","5,060 / 1,900 / 1,505"
Dimension,Luggage capacity (l),490,490,490
Dimension,Curb weight (kg),"2,205","2,205","2,380"
AC CHARGING,Maximum charging power AC (kW),22,22,22
CHARGING TIME 0 - 100%,AC charging at 2.3kW (220-230V / 10A / 1ph),43 hours 30 mins,43 hours 30 mins,43 hours 30 mins
CHARGING TIME 0 - 100%,AC charging at 7.4kW Wallbox (230V / 32A / 1ph),12 hours 30 mins,12 hours 30 mins,12 hours 30 mins
CHARGING TIME 0 - 100%,AC charging at 11kW Flexible Fast Charger (230V / 16A / 3ph),8 hours 30 mins,8 hours 30 mins,8 hours 30 mins
CHARGING TIME 0 - 100%,AC charging at 22kW Wallbox (230V / 32A / 3ph),4 hours 15 mins,4 hours 15 mins,4 hours 15 mins
DC CHARGING,Maximum charging power DC (kW),205,205,205
CHARGING TIME 10 - 80%,DC charging vehicle at 125A by EVSE,1 hours 13 minutes,1 hours 13 minutes,1 hours 13 minutes
CHARGING TIME 10 - 80%,DC charging vehicle at 250A by EVSE,41 minutes,41 minutes,41 minutes
CHARGING TIME 10 - 80%,DC charging vehicle at 500A by EVSE,30 minutes,30 minutes,30 minutes
Drivetrain and Technology,Automatic transmission,■,■,■
Drivetrain and Technology,M Sport suspension,■,-,-
Drivetrain and Technology,Adaptive suspension Professional,-,■,■
Drivetrain and Technology,BMW xDrive electric all-wheel drive,-,-,■
Drivetrain and Technology,Driving Assistant,■,-,-
Drivetrain and Technology,Driving Assistant Plus,■,-,-
Drivetrain and Technology,Driving Assistant Professional,-,■,■
Drivetrain and Technology,Parking Assistant Plus,■,■,■
Exterior Equipment,Adaptive LED headlights,■,■,■
Exterior Equipment,BMW Iconic Glow exterior package,■,■,■
Exterior Equipment,Panorama glass roof,-,■,■
Exterior Equipment,M High-gloss Shadowline,■,■,■
Exterior Equipment,M High-gloss Shadowline with Extended Contents,-,-,■
Exterior Equipment,M Lights Shadowline,-,-,■
Exterior Equipment,M rear spoiler,-,■,■
Exterior Equipment,"M Sport brake, dark blue metallic",■,■,-
Exterior Equipment,"M Sport brake, red high-gloss",-,-,■
Exterior Equipment,M Sport exterior parts,■,■,■
Exterior Equipment,Automatic operation of tailgate,■,■,■
Exterior Equipment,Comfort access system,■,■,■
Interior Equipment,Active seat ventilation in the front seats,-,■,■
Interior Equipment,M Leather steering wheel,■,■,■
Interior Equipment,M seat belts,-,-,■
Interior Equipment,"Seat adjustment, electric, with memory",■,-,-
Interior Equipment,Sport seats for driver and front passenger,■,-,-
Interior Equipment,"Comfort seats front, electrically adjustable",-,■,■
Interior Equipment,M headliner anthracite,■,■,■
Interior Equipment,M Sport interior parts,■,■,■
Interior Equipment,Dark Silver M accent combined with Aluminium Rhombicle,■,■,-
Interior Equipment,Dark Silver M accent combined with Carbon Fibre and high-gloss silver threads,-,-,■
Interior Equipment,Glass application 'CraftedClarity' for interior elements,■,■,■
Interior Equipment,Travel & Comfort System,■,■,■
Interior Equipment,Ambient light,■,■,■
Interior Equipment,Roller sunblinds,■,■,■
Interior Equipment,4-Zone Automatic air conditioning,■,■,■
Interior Equipment,Interior camera,■,■,■
Entertainment and Communication,BMW Live Cockpit Professional,■,■,■
Entertainment and Communication,HiFi loudspeaker system Harman Kardon,■,■,-
Entertainment and Communication,Bowers & Wilkins surround sound system,-,-,■
Entertainment and Communication,BMW ConnectedDrive,■,■,■
Entertainment and Communication,BMW Connected Package Professional,■,■,■
Entertainment and Communication,Smartphone Integration,■,■,■
Entertainment and Communication,BMW Iconic sounds electric,■,■,■
Entertainment and Communication,BMW Interaction Bar,■,■,■
Entertainment and Communication,BMW Natural Interaction,■,■,■
Entertainment and Communication,Personal eSIM,■,■,■
Entertainment and Communication,Wireless charging tray,■,■,■
Safety,Airbag for driver and front passenger,■,■,■
Safety,Side airbags for driver and front passenger,■,■,■
Safety,Head airbags for all 4 outer seats,■,■,■
Safety,Central airbag (driver's seat),■,■,■
Safety,Teleservices,■,■,■
Safety,Intelligent Emergency Call,■,■,■
Safety,ISOFIX child seat mounting,■,■,■
Safety,Dynamic Stability Control (DSC),■,■,■
Safety,Anti-lock Brake System (ABS),■,■,■
Safety,Brake Assist (BA),■,■,■
Safety,Dynamic Brake Control (DBC),■,■,■
Safety,Crash sensor,■,■,■
Safety,Acoustic protection for pedestrians,■,■,■
Safety,Tyre repair kit,■,■,■
Safety,Tyre Pressure Monitoring System,■,■,■
Line / package,M Sport package,■,■,-
Line / package,M Sport Package Pro,-,-,■
Paintwork & Upholstery,Frozen Deep Grey Metallic,-,-,"BMW Individual leather 'Merino' - Black/Atlas Grey, BMW Individual leather 'Merino' - Copper Brown/Atlas Grey"
Paintwork & Upholstery,Frozen Pure Grey Metallic,-,-,"BMW Individual leather 'Merino' - Black/Atlas Grey, BMW Individual leather 'Merino' - Copper Brown/Atlas Grey"
Paintwork & Upholstery,Tanzanite Blue Metallic,-,-,"BMW Individual leather 'Merino' - Black/Atlas Grey, BMW Individual leather 'Merino' - Copper Brown/Atlas Grey"
