Category,Topic,i5 eDrive40 M Sport
Engine and Performance,Electric motor,BMW eDrive technology
Engine and Performance,Maximum output (kW/hp),250 / 340
Engine and Performance,Maximum torque (Nm),400
Engine and Performance,"Electric range1, NEDC (km)",563
Engine and Performance,"Electric range1, WLTP (km)",513 - 627
Engine and Performance,Battery type (High voltage),Lithium-ion
Engine and Performance,High voltage battery energy content (kWh),83.9
Engine and Performance,Top speed (km/h),193
Engine and Performance,0 - 100 km/h (s),6
Engine and Performance,"Electric energy consumption, NEDC (kWh/100 km)",15.4
Engine and Performance,"Electric energy consumption, WLTP (kWh/100 km)",17.9
Wheels and Tyres,Wheels,"20"" M aerodynamic wheelsBicolour Black Grey"
Wheels and Tyres,Tyre size,Front: 8.5 J × 20 / tyres: 245/40 R 20Rear: 10 J × 20 / tyres: 275/35 R 20
Dimension,Length / width / height (mm),"5,060 / 1,900 / 1,515"
Dimension,Luggage capacity (l),490
Dimension,Curb weight (kg),"2,195"
AC CHARGING,Maximum charging power AC (kW),22
CHARGING TIME 0 - 100%,AC charging at 2.3kW (220-230V / 10A / 1ph),47 hours
CHARGING TIME 0 - 100%,AC charging at 7.4kW Wallbox (230V / 32A / 1ph),12 hours 45 mins
CHARGING TIME 0 - 100%,AC charging at 11kW Flexible Fast Charger (230V / 16A / 3ph),8 hours 30 mins
CHARGING TIME 0 - 100%,AC charging at 22kW Wallbox (230V / 32A / 3ph),4 hours 15 minutes
DC CHARGING,Maximum charging power DC (kW),205
CHARGING TIME 10 - 80%,DC charging vehicle at 125A by EVSE,1 hour 13 minutes
CHARGING TIME 10 - 80%,DC charging vehicle at 250A by EVSE,41 minutes
CHARGING TIME 10 - 80%,DC charging vehicle at 500A by EVSE,30 minutes
Drivetrain and Technology,Automatic transmission,■
Drivetrain and Technology,Adaptive suspension Professional,■
Drivetrain and Technology,Driving Assistant Professional,■
Drivetrain and Technology,Parking Assistant Plus,■
Exterior Equipment,Adaptive LED headlights,■
Exterior Equipment,"M Sport brake, dark blue metallic",■
Exterior Equipment,Automatic operation of tailgate,■
Exterior Equipment,Comfort access system,■
Exterior Equipment,BMW Iconic Glow exterior package,■
Exterior Equipment,Panorama glass roof,■
Exterior Equipment,M rear spoiler,■
Exterior Equipment,M Sport exterior parts,■
Exterior Equipment,M High-gloss Shadowline,■
Interior Equipment,M Leather steering wheel,■
Interior Equipment,"Comfort seats front, electrically adjustable",■
Interior Equipment,M Sport interior parts,■
Interior Equipment,Dark Silver M accent combined with Carbon Fibre and high-gloss silver threads,■
Interior Equipment,Expanded exterior mirror package,■
Interior Equipment,M headliner anthracite,■
Interior Equipment,Ambient light,■
Interior Equipment,Glass application 'CraftedClarity' for interior elements,■
Interior Equipment,Roller sunblinds,■
Interior Equipment,Travel & Comfort System,■
Interior Equipment,4-Zone Automatic air conditioning,■
Interior Equipment,Interior camera,■
Entertainment and Communication,BMW Live Cockpit Professional,■
Entertainment and Communication,Bowers & Wilkins surround sound system,■
Entertainment and Communication,BMW IconicSounds electric,■
Entertainment and Communication,BMW ConnectedDrive,■
Entertainment and Communication,BMW Connected Package Professional,■
Entertainment and Communication,Smartphone Integration,■
Entertainment and Communication,BMW Interaction Bar,■
Entertainment and Communication,Personal eSIM,■
Entertainment and Communication,Wireless charging tray,■
Safety,Airbag for driver and front passenger,■
Safety,Side airbags for driver and front passenger,■
Safety,Central airbag (driver's seat),■
Safety,Head airbags for all 4 outer seats,■
Safety,Teleservices,■
Safety,Intelligent Emergency Call,■
Safety,ISOFIX child seat mounting,■
Safety,Dynamic Stability Control (DSC),■
Safety,Anti-lock Brake System (ABS),■
Safety,Brake Assist (BA),■
Safety,Dynamic braking lights,■
Safety,Dynamic Brake Control (DBC),■
Safety,Crash sensor,■
Safety,Acoustic protection for pedestrians,■
Safety,Tyre Repair Kit Plus,■
Safety,Tyre Pressure Monitoring System,■
Safety,Lane Departure Warning with Active return,■
Safety,Front collision Warning with brake intervention for pedestrians/cyclists,■
Safety,Lane Change Warning with Active return,■
Safety,Rear crossing-traffic Warning,■
Safety,Rear collision Prevention,■
Safety,Exit Warning,■
Safety,Steering and Lane Control Assistant,■
Safety,Active cruise control with Stop&Go function,■
Safety,Lane Change Assistant,■
Safety,Evasion Assistant,■
Line / package,M Sport package,■
Paintwork & Upholstery,Black Sapphire Metallic,BMW Individual leather 'Merino' - Copper Brown/Atlas Grey
Paintwork & Upholstery,Mineral White Metallic,BMW Individual leather 'Merino' - Copper Brown/Atlas Grey
Paintwork & Upholstery,Brooklyn Grey Metallic,BMW Individual leather 'Merino' - Black/Atlas Grey
Paintwork & Upholstery,Phytonic Blue Metallic,BMW Individual leather 'Merino' - Black/Atlas Grey
Paintwork & Upholstery,Cape York Green Metallic,BMW Individual leather 'Merino' - Copper Brown/Atlas Grey
Document References,Publication Date,26 January 2026
Document References,Package Code (Local Pack),"(ZKK, ZLC)"
