Category,Topic,M2 (MT),M2 (M Racetrack),M2
Engine and Performance,Engine type,M TwinPower Turbo6-cylinder inline petrol engine,M TwinPower Turbo6-cylinder inline petrol engine,M TwinPower Turbo6-cylinder inline petrol engine
Engine and Performance,Displacement ( cm^3 ),"2,993","2,993","2,993"
Engine and Performance,Engine power (kW/hp/rpm),"353 / 480 / 6,250","353 / 480 / 6,250","353 / 480 / 6,250"
Engine and Performance,Engine torque (Nm/rpm),"550 / 2,650 - 6,130","600 / 2,700 - 5,620","600 / 2,700 - 5,620"
Engine and Performance,Top speed (km/h),250,285,250
Engine and Performance,0 - 100 km/h (s),4.2,4,4
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),9.7,10.4,10.4
Fuel Consumption and CO2 Emission,Combined CO2 (g/km),233,217,217
Wheels and Tyres,Light alloy wheels,"19"" / 20"" M light alloy wheels Double-spoke style","19"" / 20"" M light alloy wheels Double-spoke style","19"" / 20"" M light alloy wheels Double-spoke style"
Wheels and Tyres,Tyre size,Front: 9.5 J × 19 / tyres 275/35 ZR 19Rear: 10.5 J × 20 / tyres 285/30 ZR20,Front: 9.5 J × 19 / tyres 275/35 ZR 19Rear: 10.5 J × 20 / tyres 285/30 ZR20,Front: 9.5 J × 19 / tyres 275/35 ZR 19Rear: 10.5 J × 20 / tyres 285/30 ZR 20
Dimension,Length / width / height (mm),"4,580 / 1,887 / 1,403","4,580 / 1,887 / 1,403","4,580 / 1,887 / 1,403"
Dimension,Luggage capacity (l),390,390,390
Dimension,Curb weight (kg),"1,780","1,805","1,805"
Drivetrain and Technology,8-speed M Steptronic transmission with Drivelogic,-,■,■
Drivetrain and Technology,6-Speed Manual Transmission,■,-,-
Drivetrain and Technology,M Drive Professional,■,■,■
Drivetrain and Technology,M Sport Differential,■,■,■
Drivetrain and Technology,Adaptive M suspension,■,■,■
Drivetrain and Technology,Active cruise control with Stop&Go function,-,■,■
Drivetrain and Technology,Driving Assistant,■,■,■
Drivetrain and Technology,Parking Assistant,■,■,■
Exterior Equipment,"M Compound Brake, Red High-Gloss",■,■,■
Exterior Equipment,M Lights Shadowline,■,■,■
Exterior Equipment,M High-gloss Shadowline,■,■,■
Exterior Equipment,M Carbon Roof,■,■,■
Exterior Equipment,High-beam assistant,■,■,■
Exterior Equipment,Comfort Access System,■,■,■
Exterior Equipment,Adaptive LED Headlights,■,■,■
Interior Equipment,M Interior Trim Finishers 'Carbon Fibre',■,■,■
Interior Equipment,Interior and exterior mirrors on driver's side with automatic anti-dazzle function,■,■,■
Interior Equipment,Ambient light,■,■,■
Interior Equipment,M Seat Belts,■,■,■
Interior Equipment,M Sport Seats,■,-,■
Interior Equipment,M Carbon Bucket Seats,-,■,-
Interior Equipment,"Seat adjustment, electric, with memory",■,■,■
Interior Equipment,Seat heating for driver and front passenger,-,■,-
Interior Equipment,"M Highlighters, illuminated",■,■,■
Interior Equipment,Lumbar support for driver and front passenger,■,-,■
Interior Equipment,M Headliner Anthracite,■,■,■
Interior Equipment,Storage compartment package,■,■,■
Interior Equipment,Automatic air conditioning,■,■,■
Interior Equipment,"Rear-seat headrests, folding",■,■,■
Entertainment and Communication,BMW Live Cockpit Professional,■,■,■
Entertainment and Communication,BMW ConnectedDrive Services,■,■,■
Entertainment and Communication,BMW Connected Package Professional,■,■,■
Entertainment and Communication,Smartphone Integration,■,■,■
Entertainment and Communication,Harman Kardon surround sound system,■,■,■
Entertainment and Communication,Personal eSIM,■,■,■
Entertainment and Communication,Wireless charging tray,■,■,■
Safety,Airbag for driver and front passenger,■,■,■
Safety,Side airbags for driver and front passenger,■,■,■
Safety,Head airbags for all 4 outer seats,■,■,■
Safety,Teleservices,■,■,■
Safety,Intelligent Emergency Call,■,■,■
Safety,Dynamic Stability Control (DSC),■,■,■
Safety,Dynamic Brake Control (DBC),■,■,■
Safety,Cornering Brake Control (CBC),■,■,■
Safety,Anti-lock Brake System (ABS),■,■,■
Safety,Brake Assist (BA),■,■,■
Safety,Park Distance Control (PDC),■,■,■
Safety,Crash sensor,■,■,■
Safety,Tyre Pressure Monitoring System,■,■,■
Safety,Tyre Repair Kit,■,■,■
Safety,Warning triangle,■,■,■
Safety,Front Collision Warning with brake intervention consists of Collision,■,■,■
Safety,Pedestrian Warning with city braking function,■,■,■
Safety,Lane Departure Warning with lane return,■,■,■
Safety,Lane Change Warning,■,■,■
Safety,Rear crossing traffic warning,■,■,■
Safety,Rear Collision Prevention,■,■,■
Safety,Active cruise control with Stop&Go function,-,■,■
Line / package,M Driver's Package,-,■,-
Paintwork & Upholstery,Zandvoort Blue Solid,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight",Full leather 'Merino' - Black/Exclusive Highlight,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight"
Paintwork & Upholstery,Alpine White Solid,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight",Full leather 'Merino' - Black/Exclusive Highlight,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight"
Paintwork & Upholstery,Sao Paulo Yellow Solid,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight",Full leather 'Merino' - Black/Exclusive Highlight,"Leather 'Vernasca' - Black/Contrast Stitching Blue, Leather 'Vernasca' - Black/Exclusive Highlight, Leather 'Vernasca' - Black/Red highlight"
