Category,Topic,M4 CS
Engine and Performance,Engine type,M TwinPower Turbo6-cylinder inline petrol engine
Engine and Performance,Displacement (cm3),"2,993"
Engine and Performance,Engine power (kW/hp/rpm),"405 / 551 / 6,250"
Engine and Performance,Engine torque (Nm/rpm),"650 / 2,750-5,950"
Engine and Performance,Top speed (km/h),302
Engine and Performance,0 - 100 km/h (s),3.4
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),9.9
Fuel Consumption and CO2 Emission,Combined CO2(g/km),230
Wheels and Tyres,Light alloy wheels,"19"" / 20"" M light alloy wheelsStar-spoke style"
Wheels and Tyres,Tyre size,front: 9.5 J × 19 / tyres 275/35 R 19rear: 10.5 J × 20 / tyres 285/30 R 20
Dimension,Length / width / height (mm),"4,801 / 1,918 / 1,399"
Dimension,Luggage capacity (l),440
Dimension,Curb weight (kg),"1,835"
Drivetrain and Technology,8-Speed M Steptronic Transmission with Drivelogic,■
Drivetrain and Technology,M Drive Professional,■
Drivetrain and Technology,M Sport Differential,■
Drivetrain and Technology,Adaptive M Suspension,■
Drivetrain and Technology,Cruise Control with braking function,■
Drivetrain and Technology,M Front End Strut brace,■
Drivetrain and Technology,Driving Assistant,■
Drivetrain and Technology,Parking Assistant,■
Exterior Equipment,Adaptive LED headlights,■
Exterior Equipment,"M Lights, coloured",■
Exterior Equipment,M High-gloss Shadowline,■
Exterior Equipment,High-beam assistant,■
Exterior Equipment,Comfort Access System,■
Exterior Equipment,M Carbon ceramic brake,■
Exterior Equipment,M Carbon exterior Package,■
Exterior Equipment,CRP roof,■
Exterior Equipment,Automatic operation of tailgate,■
Interior Equipment,M Interior Trim Finishers 'Carbon Fibre',■
Interior Equipment,Interior rear-view mirror with automatic anti-dazzle function,■
Interior Equipment,Interior and exterior mirrors on driver's side with automatic anti-dazzle function,■
Interior Equipment,Ambient Light,■
Interior Equipment,M Alcantara steering wheel,■
Interior Equipment,M seat belts,■
Interior Equipment,M carbon bucket seats,■
Interior Equipment,"Seat Adjustment, Electric, with Memory",■
Interior Equipment,Seat heating for driver and front passenger,■
Interior Equipment,Automatic air conditioning,■
Interior Equipment,M Headliner Anthracite,■
Interior Equipment,Storage compartment package,■
Entertainment and Communication,BMW Live Cockpit Professional,■
Entertainment and Communication,BMW ConnectedDrive Services,■
Entertainment and Communication,BMW Connected Package Professional,■
Entertainment and Communication,Smartphone Integration,■
Entertainment and Communication,Wireless charging tray,■
Entertainment and Communication,Harman Kardon Surround Sound System,■
Entertainment and Communication,Personal eSIM,■
Safety,Airbag for Driver and Front Passenger,■
Safety,Side Airbags for Driver and Passenger,■
Safety,Head Airbags for All 4 Outer Seats,■
Safety,Teleservices,■
Safety,Intelligent Emergency Call,■
Safety,Dynamic Stability Control (DSC),■
Safety,Dynamic Brake Control (DBC),■
Safety,Cornering Brake Control (CBC),■
Safety,Anti-lock braking system (ABS),■
Safety,Brake Assist (BA),■
Safety,Park Distance Control (PDC),■
Safety,Crash sensor,■
Safety,Tyre Pressure Monitoring System,■
Safety,Tyre Repair Kit,■
Safety,Warning triangle,■
Line / package,M Driver's Package,■
Paintwork & Upholstery,BMW Individual Riviera Blue Solid,Full leather 'Merino' - Anthracite
Paintwork & Upholstery,BMW Individual Frozen Isle of Man Green Metallic,Full leather 'Merino' - Anthracite
Paintwork & Upholstery,Black Saphire Metallic,Full leather 'Merino' - Anthracite
Paintwork & Upholstery,Brooklyn Grey Metallic,Full leather 'Merino' - Anthracite
Document References,Publication Date,21 November 2024
Document References,Package Code (Local Pack),"(Z0U, Z6Q, Z6R)"
