Category,Topic,XM 50e,XM 50e (Shadow Line)
ENGINE AND PERFORMANCE,Engine type,M TwinPower Turbo 6-cylinder inline petrol engine,M TwinPower Turbo 6-cylinder inline petrol engine
ENGINE AND PERFORMANCE,Displacement (cm³),"2,998","2,998"
ENGINE AND PERFORMANCE,Engine power (kW/hp/rpm),"230 / 313 / 5,000 - 6,500","230 / 313 / 5,000 - 6,500"
ENGINE AND PERFORMANCE,Engine torque (Nm/rpm),"450 / 1,750 - 4,700","450 / 1,750 - 4,700"
ENGINE AND PERFORMANCE,Electric motor power (kW/hp),145 / 197,145 / 197
ENGINE AND PERFORMANCE,Electric motor torque (Nm),280,280
ENGINE AND PERFORMANCE,"Electric range¹, NEDC (km)",101,101
ENGINE AND PERFORMANCE,"Electric range¹, WLTP (km)",78 - 84,78 - 84
ENGINE AND PERFORMANCE,High voltage battery energy content (kWh),29.5,29.5
ENGINE AND PERFORMANCE,System output (kW/hp),350 / 476,350 / 476
ENGINE AND PERFORMANCE,System torque (Nm),700,700
ENGINE AND PERFORMANCE,Top speed (km/h),250,250
ENGINE AND PERFORMANCE,Top speed electric (km/h),140,140
ENGINE AND PERFORMANCE,0 - 100 km/h (s),5.1,5.1
ENGINE AND PERFORMANCE,"Electric energy consumption, NEDC (kWh/100 km)",25.2,25.2
ENGINE AND PERFORMANCE,"Electric energy consumption, WLTP (kWh/100 km)",32.2,32.2
WHEELS AND TYRES,Light alloy wheels,"22"" M light-alloy wheels double spoke Bicolour","23"" M light-alloy wheels star spoke Bicolour"
WHEELS AND TYRES,Tyre size,"Front: 10 J × 22 / tyres 275/40 R 22, Rear: 11 J × 22 / tyres 315/35 R 22","Front: 10 J × 23 / tyres 275/35 R 23, Rear: 11 J × 23 / tyres 315/30 R 23"
DIMENSION,Length / width / height (mm),"5,110 / 2,005 / 1,755","5,110 / 2,005 / 1,755"
DIMENSION,Luggage capacity (l),"527 - 1,820","527 - 1,820"
DIMENSION,Curb weight (kg),"2,695","2,695"
Transmission and technology,8-speed M Steptronic transmission with Drivelogic,■,■
Transmission and technology,Adaptive M Suspension Professional,■,■
Transmission and technology,Driving Assistant Professional,■,■
Transmission and technology,Parking Assistant Plus,■,■
Exterior,BMW kidney 'Iconic Glow',■,■
Exterior,M High-gloss Shadowline with Extended Contents,-,-
Exterior,"M Sport brake, black high-gloss",■,■
Exterior,Comfort Access System,■,■
Exterior,Soft-close function for doors,■,■
Exterior,High-beam assistant,■,■
Interior,M Multifunctional Seats for Driver and Front Passenger,■,■
Interior,M Interior Trim Finishers 'Carbon Fibre',■,■
Interior,Ambient light,■,■
Interior,"Cupholder, Temperate",■,■
Interior,Seat heating front and rear,■,■
Interior,Active seat ventilation in the front seats,■,■
Interior,Massage function front,■,■
Interior,M seat belts,■,■
Interior,Travel & Comfort System,■,■
Entertainment and communication,BMW Live Cockpit Professional,■,■
Entertainment and communication,BMW ConnectedDrive Services,■,■
Entertainment and communication,Harman Kardon surround sound system,■,-
Entertainment and communication,Bowers & Wilkins Diamond surround sound system,-,■
Entertainment and communication,BMW IconicSounds Electric,■,■
Entertainment and communication,Smartphone Integration,■,■
Entertainment and communication,Wireless charging tray,■,■
Safety,Airbag for driver and front passenger,■,■
Safety,Side airbags for driver and passenger,■,■
Safety,Head airbags for 1st and 2nd seat row,■,■
Safety,Teleservices,■,■
Safety,ISOFIX child seat mounting,■,■
Safety,Dynamic Stability Control (DSC),■,■
Safety,Anti-lock braking system (ABS),■,■
Safety,Crash sensor,■,■
Safety,Active Protection,■,■
Safety,Acoustic protection for pedestrians,■,■
Safety,Tyre pressure monitoring system,■,■
Safety,Tyre Repair Kit,■,■
Paintwork & Upholstery,Marina Bay Blue Metallic,"Black, Sakhir Orange","Black, Sakhir Orange"
Paintwork & Upholstery,Toronto Red Metallic,"Black, Sakhir Orange","Black, Sakhir Orange"
Paintwork & Upholstery,Isle of Man Green Metallic,"Black, Sakhir Orange","Black, Sakhir Orange"
Paintwork & Upholstery,Sao Paulo Yellow Solid,"Black, Sakhir Orange","Black, Sakhir Orange"
Paintwork & Upholstery,Black Sapphire Metallic,"Black, Sakhir Orange","Black, Sakhir Orange"
Paintwork & Upholstery,Mineral White Metallic,"Black, Sakhir Orange","Black, Sakhir Orange"
Document References,Publication Date,27 February 2025,27 February 2025
Document References,Package Code (Local Pack),"((Z3R, Z4J, Z6D, Z8R))","((ZJC, Z4K, Z6C, Z8Q, Z8X, Z9Y))"
FUEL CONSUMPTION AND CO2,Combined fuel consumption from ECO Sticker result (km/l),52.6,52.6
FUEL CONSUMPTION AND CO2,Combined CO2 (g/km),44,44
