Category,Topic,M240i xDrive
เครื่องยนต์และสมรรถนะ,ชนิดเครื่องยนต์,เครื่องยนต์เบนซิน 6 สูบ เทคโนโลยี TwinPower Turbo
เครื่องยนต์และสมรรถนะ,ปริมาตรกระบอกสูบ (ลูกบาศก์เซนติเมตร),"2,998"
เครื่องยนต์และสมรรถนะ,กำลังสูงสุด (กิโลวัตต์/แรงม้า/รอบต่อนาที),"285 / 387 / 5,800 - 6,500"
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร/รอบต่อนาที),"500 / 1,900 - 5,000"
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),250
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),4.3
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,อัตราสิ้นเปลืองน้ำมันเชื้อเพลิงเฉลี่ย - อ้างอิงผล ECO Sticker (กิโลเมตร/ลิตร),12.7
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,ระดับการปล่อย CO2 เฉลี่ย (กรัม/กิโลเมตร),184
ล้อและยาง,ล้อ,ล้ออัลลอย M ขนาด 19 นิ้ว ลาย Double-spoke แบบสลับสี
ล้อและยาง,ขนาดยาง,ล้อหน้า 8 J x 19 / ยาง 225/40 R19 ล้อหลัง 8.5 J x 19 / ยาง 255/35 R19
ล้อและยาง,ยาง Runflat,-
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"4,548 x 1,838 x 1,404"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),390
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"1,765"
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ 8 จังหวะ แบบ Sport Steptronic,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่าง Adaptive M,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบเฟืองท้าย M Sport,■
ระบบขับเคลื่อนและเทคโนโลยี,พวงมาลัยไฟฟ้าแปรผันตามการหมุนและความเร็ว,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบควบคุมความเร็วอัตโนมัติ พร้อมฟังก์ชัน Stop&Go (Active Cruise Control with Stop&Go function),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ (Driving Assistant),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ (Parking Assistant),■
อุปกรณ์ภายนอก,ระบบไฟหน้า LED อัจฉริยะ (Adaptive LED),■
อุปกรณ์ภายนอก,ระบบปรับการทำงานไฟสูงอัตโนมัติ (High-beam Assistant),■
อุปกรณ์ภายนอก,คาลิเปอร์เบรกดีไซน์ M Sport สี dark blue metallic,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ (Comfort access system),■
อุปกรณ์ภายนอก,หลังคากระจกเปิด-ปิดด้วยระบบไฟฟ้า,■
อุปกรณ์ภายนอก,ชุดตกแต่ง M Aerodynamics,■
อุปกรณ์ภายนอก,ภายนอกพร้อมชุดตกแต่งด้วยวัสดุสีดำเงา,■
อุปกรณ์ภายนอก,สปอยเลอร์หลังดีไซน์ M,■
อุปกรณ์ภายใน,กระจกมองข้างและกระจกมองหลังตัดแสงอัตโนมัติ,■
อุปกรณ์ภายใน,กระจกมองหลังตัดแสงอัตโนมัติ,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าดีไซน์ M Sport,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าปรับไฟฟ้าพร้อมระบบจำตำแหน่งเฉพาะฝั่งคนขับ,■
อุปกรณ์ภายใน,ที่หนุนหลังปรับไฟฟ้าสำหรับเบาะนั่งตอนหน้า,■
อุปกรณ์ภายใน,พวงมาลัยหุ้มหนังดีไซน์ M,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร (Ambient Light),■
อุปกรณ์ภายใน,เพดานหลังคาภายในสี Anthracite,■
อุปกรณ์ภายใน,ภายในตกแต่งสไตล์ M ด้วยอะลูมิเนียมแบบ Rhombicle Anthracite,■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติ,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■
ระบบความบันเทิงและการสื่อสาร,ระบบเครื่องเสียงรอบทิศทาง Harman Kardon,■
ระบบความบันเทิงและการสื่อสาร,ระบบเชื่อมต่อ Smartphone,■
ระบบความบันเทิงและการสื่อสาร,ระบบชาร์จโทรศัพท์แบบไร้สาย,■
ระบบความบันเทิงและการสื่อสาร,ระบบ eSIM ส่วนบุคคล (Personal eSIM),■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง (ยกเว้นผู้โดยสารตอนหลังกลาง),■
ความปลอดภัย,ระบบป้องกันการกระแทกจากด้านข้าง (Side Impact Protection),■
ความปลอดภัย,Three-point seat belts,■
ความปลอดภัย,ระบบ Teleservices,■
ความปลอดภัย,จุดยึดเบาะนั่งสำหรับเด็ก ISOFIX,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■
ความปลอดภัย,ระบบช่วยเสริมแรงเบรกอัตโนมัติ (Brake Assist),■
ความปลอดภัย,ระบบปกป้องคนเดินถนนเมื่อเกิดอุบัติเหตุ,■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■
ความปลอดภัย,ระบบตรวจวัดลมยาง,■
Paintwork / สีตัวถังและวัสดุภายใน,Alpine White Solid,Black / contrast stitching Blue | Black
Paintwork / สีตัวถังและวัสดุภายใน,Black Sapphire Metallic,Black / contrast stitching Blue | Black
Paintwork / สีตัวถังและวัสดุภายใน,Portimao Blue Metallic,Black / contrast stitching Blue | Black
Paintwork / สีตัวถังและวัสดุภายใน,Brooklyn Grey Metallic,Black / contrast stitching Blue | Black
Paintwork / สีตัวถังและวัสดุภายใน,Thundernight Metallic,Black / contrast stitching Blue | Black
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,10 มกราคม 2568
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),(Z5N)
