Category,Topic,420i Coupé M Sport,430i Coupé M Sport,M440i xDrive
เครื่องยนต์และสมรรถนะ,ชนิดเครื่องยนต์,เครื่องยนต์เบนซิน 4 สูบ เทคโนโลยี BMW TwinPower Turbo,เครื่องยนต์เบนซิน 4 สูบ เทคโนโลยี BMW TwinPower Turbo,เครื่องยนต์เบนซิน 6 สูบ เทคโนโลยี BMW TwinPower Turbo
เครื่องยนต์และสมรรถนะ,ปริมาตรกระบอกสูบ (ลูกบาศก์เซนติเมตร),"1,998","1,998","2,998"
เครื่องยนต์และสมรรถนะ,กำลังสูงสุด (กิโลวัตต์/แรงม้า/รอบต่อนาที),"135 / 184 / 5,000 - 6,500","190 / 258 / 5,000 - 6,500","285 / 387 / 5,800 - 6,500"
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร/รอบต่อนาที),"300 / 1,350 - 4,000","400 / 1,550 - 4,400","500 / 1,800 - 5,000"
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),240,250,250
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),7.5,5.8,4.5
ล้อและยาง,ล้อ,ล้ออัลลอย M ขนาด 18 นิ้ว ลาย Double-spoke แบบสลับสี,ล้ออัลลอย M ขนาด 19 นิ้วลาย Double-spoke แบบสลับสี,ล้ออัลลอย M ขนาด 19 นิ้ว ลาย Double-spoke สี Jet Black
ล้อและยาง,ขนาดยาง,7.5J × 18 / ยาง 225/40 R18,ล้อหน้า: 8 J × 19 / ยาง 225/40 R19ล้อหลัง: 8.5 J × 19 / ยาง 255/35 R19,ล้อหน้า: 8J × 19 / ยาง225/40 R19ล้อหลัง: 8.5J × 19 / ยาง 255/35 R19
ล้อและยาง,ยาง Runflat,■,■,-
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"4,768 / 1,852 / 1,383","4,768 / 1,852 / 1,383","4,770 / 1,852 / 1,393"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),440,440,440
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"1,600","1,620","1,815"
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ 8 จังหวะ แบบ Steptronicพร้อม Gearshift Paddles,■,-,-
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ 8 จังหวะ แบบ Sport Steptronicพร้อม Gearshift Paddles,-,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่าง Adaptive M,-,-,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่าง M Sport,■,■,-
ระบบขับเคลื่อนและเทคโนโลยี,ระบบเฟืองท้าย M Sport,-,-,■
ระบบขับเคลื่อนและเทคโนโลยี,พวงมาลัยไฟฟ้าแปรผันตามการหมุนและความเร็ว,■,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบควบคุมความเร็วอัตโนมัติ พร้อมฟังก์ชัน Stop&Go(Active cruise control with Stop&Go function),■,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ (Driving Assistant),■,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ (Parking Assistant),■,-,-
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ รุ่น Plus(Parking Assistant Plus),-,■,■
อุปกรณ์ภายนอก,ระบบไฟหน้าแบบ LED,■,-,-
อุปกรณ์ภายนอก,ระบบไฟหน้า LED อัจฉริยะ (Adaptive LED),-,■,■
อุปกรณ์ภายนอก,คลิปเปอร์เบรกดีไซน์ M Sport,■,■,-
อุปกรณ์ภายนอก,คลิปเปอร์เบรกดีไซน์ M Sport สีแดงเงา,-,-,■
อุปกรณ์ภายนอก,ระบบปรับการทำงานไฟสูงอัตโนมัติ (High-beam Assistant),■,■,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ (Comfort Access System),■,■,■
อุปกรณ์ภายนอก,หลังคากระจกเปิด-ปิดด้วยระบบไฟฟ้า,-,■,■
อุปกรณ์ภายนอก,ชุดตกแต่ง M Aerodynamics,■,■,■
อุปกรณ์ภายนอก,โคมไฟหน้าตกแต่งดีไซน์ M สีดำ (M Lights Shadow Line),-,-,■
อุปกรณ์ภายนอก,ระบบเปิด-ปิดบานประตูท้ายอัตโนมัติด้วยระบบไฟฟ้า,■,■,■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยชุดแต่ง M สีดำเงา,■,■,■
อุปกรณ์ภายนอก,สปอยเลอร์ท้ายดีไซน์ M,-,-,■
อุปกรณ์ภายใน,กระจกมองข้างฝั่งคนขับและกระจกมองหลังตัดแสงอัตโนมัติ,■,■,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าแบบ M Sport,-,-,■
อุปกรณ์ภายใน,พนักพิงฝั่งคนขับปรับความกว้างได้,■,■,-
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าปรับไฟฟ้าพร้อมระบบจำตำแหน่งเฉพาะฝั่งคนขับ,■,■,■
