Category,Topic,i7 eDrive50 M Sport,i7 xDrive60 M Sport
เครื่องยนต์และสมรรถนะ,มอเตอร์ไฟฟ้า,เทคโนโลยี BMW eDrive,เทคโนโลยี BMW eDrive
เครื่องยนต์และสมรรถนะ,กำลังมอเตอร์ไฟฟ้าสูงสุด (กิโลวัตต์/แรงม้า),335 / 455,400 / 544
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร),650,745
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า1 , มาตรฐาน NEDC (กิโลเมตร)",สูงสุดถึง 603,สูงสุดถึง 625
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า1 , มาตรฐาน WLTP (กิโลเมตร)",515 - 624,590 - 625
เครื่องยนต์และสมรรถนะ,ชนิดแบตเตอรี่ (แรงดันสูง),ลิเทียม-ไอออน (Lithium-ion),ลิเทียม-ไอออน (Lithium-ion)
เครื่องยนต์และสมรรถนะ,ความจุพลังงานแบตเตอรี่ไฟฟ้าแรงสูง (กิโลวัตต์-ชั่วโมง),105.7,105.7
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),205,240
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),5.5,4.7
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน NEDC (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",18.8,22.2
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน WLTP (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",20.3 - 19.1,19.6 - 18.4
ล้อและยาง,ล้อ,ล้ออัลลอย M ขนาด 21 นิ้ว แบบสลับสี,ล้ออัลลอย M ขนาด 21 นิ้ว แบบสลับสี
ล้อและยาง,ขนาดยาง,ล้อหน้า : 9 J × 21 ยาง 255/40 R 21 ล้อหลัง : 10.5 J × 21 / ยาง 285/35 R 21,ล้อหน้า : 9 J × 21 ยาง 255/40 R 21 ล้อหลัง : 10.5 J × 21 / ยาง 285/35 R 21
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"5,391 / 1,950 / 1,544","5,391 / 1,950 / 1,544"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),500,500
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"2,595","2,715"
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบขับเคลื่อนสี่ล้อด้วยไฟฟ้า BMW xDrive Electric (BMW xDrive electric all-wheeldrive),■,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่รุ่น Professional (Driving Assistant Plus),■,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่างถุงลม Adaptive 2-axle,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติรุ่น Professional (Parking Assistant Professional),■,■
การชาร์จแบบกระแสสลับ (AC),รองรับการชาร์จแบบกระแสสลับ (AC) สูงสุด (กิโลวัตต์),22,22
ระยะเวลาในการชาร์จจาก 0 - 100%,AC charging at 2.3kW (220-230V / 10A / 1ph),55 ชั่วโมง 30 นาที,55 ชั่วโมง 30 นาที
ระยะเวลาในการชาร์จจาก 0 - 100%,AC charging at 7.4kW Wallbox (230V / 32A / 1ph),16 ชั่วโมง,16 ชั่วโมง
ระยะเวลาในการชาร์จจาก 0 - 100%,AC charging at 11kW Flexible Fast Charger (230V / 16A / 3ph),10 ชั่วโมง 45 นาที,10 ชั่วโมง 45 นาที
ระยะเวลาในการชาร์จจาก 0 - 100%,AC charging at 22kW Wallbox (230V / 32A / 3ph),5 ชั่วโมง 30 นาที,5 ชั่วโมง 30 นาที
การชาร์จแบบกระแสตรง (DC),รองรับการชาร์จแบบกระแสตรง (DC) สูงสุด (กิโลวัตต์),195,195
ระยะเวลาในการชาร์จจาก 10 - 80%,DC charging vehicle at 125A by EVSE,1 ชั่วโมง 35 นาที,1 ชั่วโมง 35 นาที
ระยะเวลาในการชาร์จจาก 10 - 80%,DC charging vehicle at 250A by EVSE,50 นาที,50 นาที
ระยะเวลาในการชาร์จจาก 10 - 80%,DC charging vehicle at 500A by EVSE,34 นาที,34 นาที
อุปกรณ์ภายนอก,หลังคากระจก Panorama Sky Lounge,■,■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยวัสดุสีดำเงา,■,■
อุปกรณ์ภายนอก,สปอยเลอร์หลังดีไซน์ M,■,■
อุปกรณ์ภายนอก,คาลิเปอร์เบรกดีไซน์ M Sport สีน้ำเงินเข้ม,■,■
อุปกรณ์ภายนอก,ชุดตกแต่งภายนอกแบบ M Sport,■,■
อุปกรณ์ภายนอก,กระจังหน้า BMW kidney 'Iconic Glow',■,■
อุปกรณ์ภายนอก,ระบบไฟหน้า BMW crystal headlights Iconic Glow,-,■
อุปกรณ์ภายนอก,ระบบประตูเปิดและปิดอัตโนมัติ,-,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ (Comfort Access System),■,■
อุปกรณ์ภายนอก,ระบบช่วยผ่อนแรงกระแทกขณะปิดประตู (Soft-close function for doors),■,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าและหลังพร้อมระบบ Heater,■,■
อุปกรณ์ภายใน,ฟังก์ชันนวดผ่อนคลายสำหรับผู้ขับขี่,■,■
อุปกรณ์ภายใน,ฟังก์ชันนวดผ่อนคลายสำหรับผู้โดยสารตอนหลัง,■,■
อุปกรณ์ภายใน,ระบบระบายอากาศสำหรับเบาะนั่งตอนหน้า,■,■
อุปกรณ์ภายใน,ระบบระบายอากาศสำหรับเบาะนั่งตอนหลัง,■,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าแบบ multifunctional,■,■
อุปกรณ์ภายใน,เบาะนั่งตอนหลังแบบ multifunctional,■,■
อุปกรณ์ภายใน,พวงมาลัยหุ้มหนังดีไซน์ M,■,■
