Category,Topic,iX3 50 xDrive M Sport
เครื่องยนต์และสมรรถนะ,มอเตอร์ไฟฟ้า,BMW eDrive technology รุ่นที่ 6
เครื่องยนต์และสมรรถนะ,กำลังมอเตอร์ไฟฟ้าสูงสุด (กิโลวัตต์/แรงม้า),345 / 469
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร),645
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า, มาตรฐาน NEDC (กิโลเมตร)",820
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า, มาตรฐาน WLTP (กิโลเมตร)",678 - 805
เครื่องยนต์และสมรรถนะ,ชนิดแบตเตอรี่ (แรงดันสูง),Lithium-ion
เครื่องยนต์และสมรรถนะ,ความจุพลังงานแบตเตอรี่ไฟฟ้าแรงสูง (กิโลวัตต์-ชั่วโมง),113.4
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),210
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),4.9
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน NEDC (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",14.7
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน WLTP (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",17.9 - 15.1
ล้อและยาง,ล้อ,ล้อ BMW Individual Aerodynamic ขนาด 22 นิ้ว แบบสลับสี
ล้อและยาง,ขนาดยาง,ล้อหน้า: 9.0 J × 22 / ยาง 255/35 R22 ล้อหลัง: 9.5 J × 22 / ยาง 275/35 R22
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"4,782 / 1,895 / 1,635"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),"520 - 1,750"
มิติรถยนต์,ปริมาตรช่องเก็บสัมภาระด้านหน้า (ลิตร),58
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"2,360"
การชาร์จแบบกระแสสลับ (AC),รองรับการชาร์จแบบกระแสสลับ (AC) สูงสุด (กิโลวัตต์),22
ระยะเวลาในการชาร์จจาก 0 - 100%,AC charging at 2.3kW (220-230V / 10A / 1ph),60 ชั่วโมง
ระยะเวลาในการชาร์จจาก 0 - 100%,AC charging at 7.4kW Wallbox (230V / 32A / 1ph),16 ชั่วโมง 45 นาที
ระยะเวลาในการชาร์จจาก 0 - 100%,AC charging at 11kW Flexible Fast Charger (230V / 16A / 3ph),11 ชั่วโมง
ระยะเวลาในการชาร์จจาก 0 - 100%,AC charging at 22kW Wallbox (230V / 32A / 3ph),5 ชั่วโมง 30 นาที
