Category,Topic,BMW M4 Competition M xDrive
เครื่องยนต์และสมรรถนะ,ชนิดเครื่องยนต์,เครื่องยนต์เบนซิน 6 สูบ เทคโนโลยี BMW M TwinPower Turbo
เครื่องยนต์และสมรรถนะ,ปริมาตรกระบอกสูบ (ลูกบาศก์เซนติเมตร),"2,993"
เครื่องยนต์และสมรรถนะ,กำลังสูงสุด (กิโลวัตต์/แรงม้า/รอบต่อนาที),"390 / 530 / 6,250"
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร/รอบต่อนาที),"650 / 2,750 - 5,730"
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),290
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),3.5
ล้อและยาง,ล้อ,ล้อ M Forged ขนาด 19 นิ้ว / 20 นิ้วลาย Double-spoke
ล้อและยาง,ขนาดยาง,ล้อหน้า: 9.5 J × 19 / ยาง 275/35 R 19ล้อหลัง: 10.5 J × 20 / ยาง 285/30 R20
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"4,801 / 1,887 / 1,398"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),440
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"1,850"
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ 8 จังหวะ แบบ M Steptronic พร้อม Drivelogic,■
ระบบขับเคลื่อนและเทคโนโลยี,โหมดการขับขี่ M Drive Professional,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบเฟืองท้าย M Sport,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่าง Adaptive M,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ รุ่น Professional (Driving Assistant Professional),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ รุ่น Plus (Parking Assistant Plus),■
อุปกรณ์ภายนอก,ชุดเบรก M Compound Brake สีแดงเงา,■
อุปกรณ์ภายนอก,ระบบไฟหน้าแบบ Adaptive LED,■
อุปกรณ์ภายนอก,ระบบปรับการทำงานไฟสูงอัตโนมัติ (High-beam Assistant),■
อุปกรณ์ภายนอก,ระบบเปิด-ปิดบานประตูท้ายอัตโนมัติด้วยระบบไฟฟ้า,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ (Comfort Access System),■
อุปกรณ์ภายนอก,โคมไฟหน้าตกแต่งสีดำ (M Lights Shadowline),■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยวัสดุสีดำเงา,■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยชุดแต่ง M สีดำเงา,■
อุปกรณ์ภายนอก,ชุดตกแต่งภายนอก M Carbon,■
อุปกรณ์ภายใน,กระจกมองข้างฝั่งคนขับและกระจกมองหลังตัดแสงอัตโนมัติ,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าปรับไฟฟ้าพร้อมระบบจำตำแหน่งเฉพาะฝั่งคนขับ,■
อุปกรณ์ภายใน,เบาะนั่ง M carbon ทรง bucket seat,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร (Ambient Light),■
อุปกรณ์ภายใน,เพดานหลังคาภายในสี Anthracite,■
อุปกรณ์ภายใน,แผงควบคุมแบบ Galvanic,■
อุปกรณ์ภายใน,ภายในตกแต่งดีไซน์ M ด้วยวัสดุ Carbon Fibre,■
อุปกรณ์ภายใน,ระบบอุ่นเบาะสำหรับคนขับและผู้โดยสารเบาะหน้า,■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติ,■
อุปกรณ์ภายใน,ฟังก์ชันช่วยการจัดเก็บสัมภาระ,■
อุปกรณ์ภายใน,เข็มขัดนิรภัยดีไซน์ M,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■
ระบบความบันเทิงและการสื่อสาร,ระบบ Connected Package Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบเครื่องเสียงรอบทิศทาง Harman Kardon,■
ระบบความบันเทิงและการสื่อสาร,ระบบ eSIM ส่วนบุคคล (Personal eSIM),■
ระบบความบันเทิงและการสื่อสาร,ระบบชาร์จโทรศัพท์แบบไร้สาย,■
