Category,Topic,X7 xDrive40d M Sport
เครื่องยนต์และสมรรถนะ,ชนิดเครื่องยนต์,เครื่องยนต์ดีเซล 6 สูบ เทคโนโลยี BMW TwinPower Turbo
เครื่องยนต์และสมรรถนะ,ปริมาตรกระบอกสูบ (ลูกบาศก์เซนติเมตร),"2,993"
เครื่องยนต์และสมรรถนะ,กำลังสูงสุด (กิโลวัตต์/แรงม้า/รอบต่อนาที),"250 / 340 / 4,400"
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร/รอบต่อนาที),"700 / 1,750 - 2,250"
เครื่องยนต์และสมรรถนะ,กำลังมอเตอร์ไฟฟ้าสูงสุด (กิโลวัตต์/แรงม้า),9 / 12
เครื่องยนต์และสมรรถนะ,กำลังรวมสูงสุด (กิโลวัตต์/แรงม้า),259 / 352
เครื่องยนต์และสมรรถนะ,แรงบิดรวมสูงสุด (นิวตันเมตร),720
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),245
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),5.9
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,อัตราสิ้นเปลืองน้ำมันเชื้อเพลิงเฉลี่ย - อ้างอิงผล ECO Sticker (กิโลเมตร/ลิตร),13.2
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,ระดับการปล่อย CO2 เฉลี่ย (กรัม/กิโลเมตร),200
ล้อและยาง,ล้อ,ล้ออัลลอย BMW Individual ขนาด 23 นิ้ว ลาย V-spoke แบบสลับสี
ล้อและยาง,ขนาดยาง,ล้อหน้า: 9.5 J × 23 / ยาง 275/35 R 23 ล้อหลัง: 10.5 J × 23 / ยาง 315/30 R 23
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"5,181 / 2,000 / 1,835"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),"300 - 2,120"
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"2,565"
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ 8 จังหวะ แบบ Sport Steptronic,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่างถุงลม Adaptive 2-axle,■
ระบบขับเคลื่อนและเทคโนโลยี,พวงมาลัยไฟฟ้าปรับน้ำหนักตามความเร็วรถขณะขับขี่ (Servotronic),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ รุ่น Professional (Driving Assistant Professional),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบขับเคลื่อนอัจฉริยะ 4 ล้อ xDrive,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบปรับองศาของล้อหลังเพื่อการเข้าโค้งหรือเลี้ยว (Integral Active Steering),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบควบคุมช่วงล่าง (Executive Drive Pro),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบ BMW Head-up Display,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ รุ่น Professional (Parking Assistant Professional),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบท่อไอเสีย M Sport,■
การชาร์จแบบกระแสสลับ (AC),-,-
ระยะเวลาในการชาร์จจาก 0 - 100%,-,-
การชาร์จแบบกระแสตรง (DC),-,-
ระยะเวลาในการชาร์จจาก 10 - 80%,-,-
อุปกรณ์ภายนอก,กระจังหน้า BMW kidney 'Iconic Glow',■
อุปกรณ์ภายนอก,ระบบไฟหน้า LED อัจฉริยะ (Adaptive LED),■
อุปกรณ์ภายนอก,ระบบปรับการทำงานไฟสูงอัตโนมัติ (High-beam Assistant),■
อุปกรณ์ภายนอก,คาลิเปอร์เบรกดีไซน์ M Sport,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ (Comfort Access System),■
อุปกรณ์ภายนอก,ระบบช่วยผ่อนแรงกระแทกขณะปิดประตู (Soft-close function for doors),■
อุปกรณ์ภายนอก,หลังคากระจก Panorama Sky Lounge,■
อุปกรณ์ภายนอก,ชุดตกแต่ง M Aerodynamics,■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยชุดแต่ง M สีดำเงา,■
อุปกรณ์ภายนอก,ราวหลังคาดีไซน์ M สีดำเงา,■
อุปกรณ์ภายนอก,บันไดข้างอะลูมิเนียม,■
อุปกรณ์ภายใน,เบาะนั่ง ที่วางแขนบริเวณคอนโซลกลาง และบางส่วนของคอนโซลหน้าและแผงประตูบุด้วยหนังแท้ Merino,■
อุปกรณ์ภายใน,ระบบอุ่นเบาะสำหรับคนขับและผู้โดยสารเบาะหน้า,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าแบบ Comfort ปรับไฟฟ้าพร้อมระบบจำตำแหน่ง,■
อุปกรณ์ภายใน,ฟังก์ชันนวดผ่อนคลายสำหรับผู้โดยสารตอนหน้า,■
อุปกรณ์ภายใน,ระบบระบายอากาศสำหรับเบาะนั่งตอนหน้า,■
อุปกรณ์ภายใน,พวงมาลัยหุ้มหนังดีไซน์ M,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร (Ambient Light),■
อุปกรณ์ภายใน,เพดานหลังคาภายในดีไซน์ M บุด้วยวัสดุ Alcantara สี Anthracite,■
อุปกรณ์ภายใน,ที่วางแก้วบริเวณคอนโซลกลาง พร้อมฟังก์ชันควบคุมอุณหภูมิ,■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยวัสดุหนังแท้,■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยไม้ลาย 'Fineline' Black แบบ metal effect high-gloss,■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยผลึกแก้ว 'CraftedClarity',■
อุปกรณ์ภายใน,ม่านบังแดดประตูหลัง,■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติแบบ 5 โซน,■
อุปกรณ์ภายใน,ระบบจัดเก็บสัมภาระท้ายรถ,■
อุปกรณ์ภายใน,เข็มขัดนิรภัยดีไซน์ M,■
อุปกรณ์ภายใน,ระบบ Travel & Comfort,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■
ระบบความบันเทิงและการสื่อสาร,ฟังก์ชันสั่งงานระบบ iDrive ด้วยการเคลื่อนไหวมือ (BMW Gesture Control),■
ระบบความบันเทิงและการสื่อสาร,ระบบเสียงรอบทิศทางคุณภาพสูง Bowers & Wilkins Diamond,■
ระบบความบันเทิงและการสื่อสาร,ระบบเชื่อมต่อ Smartphone,■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง (ยกเว้นผู้โดยสารตอนหลังกลาง),■
ความปลอดภัย,ระบบ Teleservices,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■
ความปลอดภัย,ระบบควบคุมการยึดเกาะถนน (DTC),■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■
ความปลอดภัย,ระบบป้องกันการกระแทกจากด้านข้าง (Side Impact Protection),■
ความปลอดภัย,ระบบ Active Protection,■
ความปลอดภัย,ระบบช่วยเตือนอาการเหนื่อยล้าขณะขับขี่ (Attentiveness Assistant),■
ความปลอดภัย,ระบบตรวจวัดลมยาง,■
ความปลอดภัย,เซนเซอร์ควบคุมระยะการจอดด้านหน้าและหลัง,■
ความปลอดภัย,ระบบเตือนการชนด้านหน้าพร้อมระบบช่วยเบรก,■
ความปลอดภัย,ระบบเตือนคนเดินเท้าพร้อมระบบเบรกอัตโนมัติในเมือง,■
ความปลอดภัย,ระบบเตือนรถออกนอกเลนพร้อมช่วยนำรถกลับเข้าเลน,■
ความปลอดภัย,ระบบเตือนการเปลี่ยนเลน,■
ความปลอดภัย,ระบบเตือนการจราจรด้านหลัง,■
ความปลอดภัย,ระบบป้องกันการชนด้านหลัง,■
ความปลอดภัย,ระบบควบคุมความเร็วอัตโนมัติพร้อมฟังก์ชัน Stop&Go (Active cruise control with Stop&Go function),■
ความปลอดภัย,ระบบช่วยควบคุมรถให้อยู่ในช่องทางเดินรถ,■
ความปลอดภัย,ระบบช่วยหยุดรถฉุกเฉิน,■
ความปลอดภัย,ระบบช่วยเปลี่ยนช่องทางเดินรถ,■
ความปลอดภัย,ระบบช่วยควบคุมรถให้อยู่ในช่องทางเดินรถพร้อมป้องกันการชนจากด้านข้าง,■
ความปลอดภัย,ระบบเตือนการจราจรด้านหน้า,■
ความปลอดภัย,ระบบช่วยหลบหลีกฉุกเฉิน,■
ความปลอดภัย,ระบบเตือนการชนที่ทางแยกพร้อมช่วยเบรกฉุกเฉิน,■
ชุดตกแต่งพิเศษ,ชุดตกแต่ง M Sport,■
ชุดตกแต่งพิเศษ,ชุดตกแต่ง M Sport Pro,■
Paintwork / สีตัวถังและวัสดุภายใน,-,-
Paintwork / สีตัวถังและวัสดุภายใน,Black Sapphire Metallic,"BMW Individual extended leather trim ‘Merino’ - Tartufo, BMW Individual extended leather trim ‘Merino’ - Black"
Paintwork / สีตัวถังและวัสดุภายใน,Mineral White Metallic,"BMW Individual extended leather trim ‘Merino’ - Tartufo, BMW Individual extended leather trim ‘Merino’ - Black"
Paintwork / สีตัวถังและวัสดุภายใน,Brooklyn Grey Metallic,"BMW Individual extended leather trim ‘Merino’ - Tartufo, BMW Individual extended leather trim ‘Merino’ - Black"
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,10 กรกฎาคม 2567
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),"(Z3L, Z5A)"
