Category,Topic,XM 50e,XM 50e (Shadow Line)
เครื่องยนต์และสมรรถนะ,ชนิดเครื่องยนต์,เครื่องยนต์เบนซิน 6 สูบ เทคโนโลยี M TwinPower Turbo,เครื่องยนต์เบนซิน 6 สูบ เทคโนโลยี M TwinPower Turbo
เครื่องยนต์และสมรรถนะ,ปริมาตรกระบอกสูบ (ลูกบาศก์เซนติเมตร),"2,998","2,998"
เครื่องยนต์และสมรรถนะ,กำลังสูงสุด (กิโลวัตต์/แรงม้า/รอบต่อนาที),"230 / 313 / 5,000 - 6,500","230 / 313 / 5,000 - 6,500"
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร/รอบต่อนาที),"450 / 1,750 - 4,700","450 / 1,750 - 4,700"
เครื่องยนต์และสมรรถนะ,กำลังมอเตอร์ไฟฟ้าสูงสุด (กิโลวัตต์/แรงม้า),145 / 197,145 / 197
เครื่องยนต์และสมรรถนะ,แรงบิดมอเตอร์ไฟฟ้าสูงสุด (นิวตันเมตร),280,280
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า, มาตรฐาน NEDC (กิโลเมตร)",101,101
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า, มาตรฐาน WLTP (กิโลเมตร)",78 - 84,78 - 84
เครื่องยนต์และสมรรถนะ,ความจุพลังงานแบตเตอรี่ไฟฟ้าแรงสูง (กิโลวัตต์-ชั่วโมง),29.5,29.5
เครื่องยนต์และสมรรถนะ,กำลังรวมสูงสุด (กิโลวัตต์/แรงม้า),350 / 476,350 / 476
เครื่องยนต์และสมรรถนะ,แรงบิดรวมสูงสุด (นิวตันเมตร),700,700
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),250,250
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุดในการขับขี่แบบไฟฟ้า (กิโลเมตร/ชั่วโมง),140,140
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),5.1,5.1
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน NEDC (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",25.2,25.2
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน WLTP (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",32.2,32.2
ล้อและยาง,ล้อ,ล้ออัลลอย M ขนาด 22 นิ้ว ลาย Double-spoke แบบสลับสี,ล้ออัลลอย M ขนาด 23 นิ้ว ลาย star spoke แบบสลับสี
ล้อและยาง,ขนาดยาง,"ล้อหน้า: 10 J × 22 / tyres 275/40 R 22, ล้อหลัง: 11 J × 22 / tyres 315/35 R 22","ล้อหน้า: 10 J × 23 / tyres 275/35 R 23, ล้อหลัง: 11 J × 23 / tyres 315/30 R 23"
มิติรถยนต์,มิติรถยนต์ยาว/กว้าง/สูง (มิลลิเมตร),"5,110 / 2,005 / 1,755","5,110 / 2,005 / 1,755"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),"527 - 1,820","527 - 1,820"
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"2,695","2,695"
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ 8 จังหวะ แบบ M Steptronic พร้อม Drivelogic,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่าง Adaptive M Suspension Professional,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ รุ่น Professional (Driving Assistant Professional),■,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ รุ่น Plus (Parking Assistant Plus),■,■
อุปกรณ์ภายนอก,กระจังหน้า BMW kidney 'Iconic Glow',■,■
อุปกรณ์ภายนอก,ภายนอกพร้อมชุดตกแต่งด้วยวัสดุสีดำเงา,-,-
อุปกรณ์ภายนอก,คาลิเปอร์เบรกดีไซน์ M Sport สีดำเงา,■,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ,■,■
อุปกรณ์ภายนอก,ระบบช่วยผ่อนแรงกระแทกขณะปิดประตู (Soft-close Function for Doors),■,■
อุปกรณ์ภายนอก,ระบบปรับการทำงานไฟสูงอัตโนมัติ (High-beam Assistant),■,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าแบบ M Multifunctional,■,■
อุปกรณ์ภายใน,ภายในตกแต่งดีไซน์ M ด้วยวัสดุ Carbon Fibre,■,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร (Ambient Light),■,■
อุปกรณ์ภายใน,ที่วางแก้วบริเวณคอนโซลกลาง พร้อมฟังก์ชันควบคุมอุณหภูมิ,■,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าและหลังพร้อมระบบ Heater,■,■
อุปกรณ์ภายใน,ระบบระบายอากาศสำหรับเบาะนั่งตอนหน้า,■,■
อุปกรณ์ภายใน,ฟังก์ชันนวดผ่อนคลายสำหรับเบาะนั่งตอนหน้า,■,■
อุปกรณ์ภายใน,เข็มขัดนิรภัยดีไซน์ M,■,■
อุปกรณ์ภายใน,ระบบ Travel & Comfort,■,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบเครื่องเสียงรอบทิศทาง Harman Kardon,■,-
ระบบความบันเทิงและการสื่อสาร,ระบบเสียงรอบทิศทางคุณภาพสูง Bowers & Wilkins Diamond,-,■
ระบบความบันเทิงและการสื่อสาร,ระบบจำลองเสียงเครื่องยนต์ IconicSounds Electric,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบเชื่อมต่อ Smartphone,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบชาร์จโทรศัพท์แบบไร้สาย,■,■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■,■
ความปลอดภัย,ถุงลมนิรภัยศรีษะสำหรับผู้โดยสารตอนหน้าและหลัง (ยกเว้นผู้โดยสารตอนหลังกลาง),■,■
ความปลอดภัย,ระบบ Teleservices,■,■
ความปลอดภัย,ตัวยึดคาร์ซีทสำหรับเด็ก ISOFIX,■,■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■,■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■,■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■,■
ความปลอดภัย,ระบบ Active Protection,■,■
ความปลอดภัย,ระบบสร้างเสียงจำลองเตือนผู้ใช้ถนนรอบข้าง,■,■
ความปลอดภัย,ระบบตรวจวัดลมยาง,■,■
ความปลอดภัย,ชุดปะยางฉุกเฉิน,■,■
Paintwork / สีตัวถังและวัสดุภายใน,Marina Bay Blue Metallic,"Black, Sakhir Orange","Black, Sakhir Orange"
Paintwork / สีตัวถังและวัสดุภายใน,Toronto Red Metallic,"Black, Sakhir Orange","Black, Sakhir Orange"
Paintwork / สีตัวถังและวัสดุภายใน,Isle of Man Green Metallic,"Black, Sakhir Orange","Black, Sakhir Orange"
Paintwork / สีตัวถังและวัสดุภายใน,Sao Paulo Yellow Solid,"Black, Sakhir Orange","Black, Sakhir Orange"
Paintwork / สีตัวถังและวัสดุภายใน,Black Sapphire Metallic,"Black, Sakhir Orange","Black, Sakhir Orange"
Paintwork / สีตัวถังและวัสดุภายใน,Mineral White Metallic,"Black, Sakhir Orange","Black, Sakhir Orange"
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,27 กุมภาพันธ์ 2568,27 กุมภาพันธ์ 2568
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ,"((Z3R, Z4J, Z6D, Z8R))","((ZJC, Z4K, Z6C, Z8Q, Z8X, Z9Y))"
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,อัตราสิ้นเปลืองน้ำมันเชื้อเพลิงเฉลี่ย - อ้างอิงผล ECO Sticker (กิโลเมตร/ลิตร),52.6,52.6
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,ระดับการปล่อย CO2 เฉลี่ย (กรัม/กิโลเมตร),44,44
