Category,Topic,220 Gran Coupe M Sport Pro
Engine and Performance,Engine type,BMW TwinPower Turbo 4-cylinder inline petrol engine
Engine and Performance,Displacement (cm³),"1,998"
Engine and Performance,Engine power (kW/hp/rpm),"150 / 204 / 5,000 - 6,500"
Engine and Performance,Engine torque (Nm/rpm),"300 / 1,450 - 4,500"
Engine and Performance,Top speed (km/h),250
Engine and Performance,0 - 100 km/h (s),7.3
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),15.4
Fuel Consumption and CO2 Emission,Combined CO2 (g/km),147
Wheels and Tyres,Light alloy wheels,19“ M light alloy wheels Y-spoke style Bicolour
Wheels and Tyres,Tyre size,8 J × 19 / tyres 225/40 R 19
Dimension,Length / width / height (mm),"4,546 / 1,800 / 1,445"
Dimension,Luggage capacity (l),430
Dimension,Curb weight (kg),"1,525"
Drivetrain and Technology,7-Speed Steptronic Transmission with Double Clutch and Gearshift Paddles,■
Drivetrain and Technology,Adaptive M suspension,■
Drivetrain and Technology,Driving Assistant,■
Drivetrain and Technology,Driving Assistant Plus,■
Drivetrain and Technology,Parking Assistant Plus,■
Exterior Equipment,Adaptive LED headlights,■
Exterior Equipment,High-beam assistant,■
Exterior Equipment,"M Sport brake, red high-gloss",■
Exterior Equipment,Comfort access system,■
Exterior Equipment,Panorama glass roof,■
Exterior Equipment,BMW kidney 'Iconic Glow',■
Exterior Equipment,M Lights Shadowline,■
Exterior Equipment,M high-gloss Shadowline,■
Exterior Equipment,M high-gloss Shadowline with extended contents,■
Exterior Equipment,M rear spoiler,■
Interior Equipment,Interior and exterior mirrors on driver's side with automatic anti-dazzle function,■
Interior Equipment,"Seat adjustment, electric, with memory",■
Interior Equipment,Sport seats for driver and front passenger,■
Interior Equipment,M Leather steering wheel,■
Interior Equipment,Ambient light,■
Interior Equipment,M headliner anthracite,■
Interior Equipment,'Illuminated' Aluminium graphite interior decor,■
Interior Equipment,2-Zone Automatic air conditioning,■
Interior Equipment,Interior camera,■
Interior Equipment,M seat belts,■
Entertainment and Communication,BMW Live Cockpit Professional,■
Entertainment and Communication,BMW Head-up display,■
Entertainment and Communication,BMW ConnectedDrive,■
Entertainment and Communication,HiFi loudspeaker system Harman Kardon,■
Entertainment and Communication,Wireless charging tray,■
Entertainment and Communication,Personal eSIM,■
Safety,Front airbags for driver and front passenger,■
Safety,Side airbags for driver and front passenger,■
Safety,Head airbags for all 4 outer seats,■
Safety,Teleservices,■
Safety,Intelligent Emergency Call,■
Safety,Dynamic Stability Control (DSC),■
Safety,Dynamic Traction Control (DTC),■
Safety,Dynamic Brake Control (DBC),■
Safety,Anti-lock Brake System (ABS),■
Safety,Brake Assist (BA),■
Safety,Cornering Brake Control (CBC),■
Safety,Crash sensor,■
Safety,Child seat ISOFIX attachment,■
Safety,Tyre Pressure Monitoring System,■
Safety,Tyre Repair Kit Plus,■
Paintwork & Upholstery,Black Sapphire Metallic,Leather 'Veganza' - Veganza perforated | Coral Red/Black
Paintwork & Upholstery,Alpine White Solid,Leather 'Veganza' - Veganza perforated | Coral Red/Black
Paintwork & Upholstery,Brooklyn Grey Metallic,Leather 'Veganza' - Veganza perforated | Coral Red/Black
Paintwork & Upholstery,Portimao Blue Metallic,Leather 'Veganza' - Veganza perforated | Black
Document References,Publication Date,22 June 2026
Document References,Package Code (Local Pack),(ZKT)
Notes,"1 Range dependent on various factors. In particular: personal driving style, route characteristics, exterior temperature, heating / air conditioning, pre-conditioning.",■
Notes,"* The privilege of purchasing package up to 5 years unlimited mileage warranty and 5 years of maintenance or 100,000 km. (whichever comes first).",■
Notes,"BMW reserves the right to change all information, specifications and illustrations without prior notice and is not responsible for typographical errors.",■
Package,M Sport Package,■
Package,M Sport Package Pro,■
