Category,Topic,320d M Sport,330e M Sport,M340i xDrive
ENGINE AND PERFORMANCE,Engine type,BMW TwinPower Turbo 4-cylinder inline diesel engine,BMW TwinPower Turbo 4-cylinder inline petrol engine,BMW TwinPower Turbo 6-cylinder inline petrol engine
ENGINE AND PERFORMANCE,Displacement (cm³),"1,995","1,998","2,998"
ENGINE AND PERFORMANCE,Engine power (kW/hp/rpm),"140 / 190 / 4,000","135 / 184 / 5,000 - 6,500","285 / 387 / 5,800 - 6,500"
ENGINE AND PERFORMANCE,Engine torque (Nm/rpm),"400 / 1,750 - 2,500","300 / 1,350 - 4,000","500 / 1,800 - 5,000"
ENGINE AND PERFORMANCE,Electric motor power (kW/hp),-,80 / 109,-
ENGINE AND PERFORMANCE,Electric motor torque (Nm),-,265,-
ENGINE AND PERFORMANCE,"Electrical range¹, NEDC (km)",-,101,-
ENGINE AND PERFORMANCE,"Electrical range¹, WLTP (km)",-,85 - 101,-
ENGINE AND PERFORMANCE,High voltage battery energy content (kWh),-,22.3,-
ENGINE AND PERFORMANCE,System output (kW/hp),140 / 190,215 / 292,285 / 387
ENGINE AND PERFORMANCE,System torque (Nm),400,420,500
ENGINE AND PERFORMANCE,Top speed (km/h),235,230,250
ENGINE AND PERFORMANCE,0 - 100 km/h (s),7.0,5.9,4.3
ENGINE AND PERFORMANCE,"Electric energy consumption, NEDC (kWh/100 km)",-,19.2,-
ENGINE AND PERFORMANCE,"Electric energy consumption, WLTP (kWh/100 km)",-,23.4 - 20.7,-
FUEL CONSUMPTION AND CO2,Combined fuel consumption from ECO Sticker result (km/l),23.8,71.4,13.3
FUEL CONSUMPTION AND CO2,Combined CO2 (g/km),112,33,171
WHEELS AND TYRES,Light alloy wheels,"18"" M light alloy wheels Double-spoke Bicolour","19"" M light alloy wheels Double-spoke Bicolour","19"" BMW Individual light alloy wheels Y-spoke Bicolour"
WHEELS AND TYRES,Tyre size,7.5 J × 18 / tyres 225/45 R 18,Front: 8 J × 19 / tyres 225/40 R 19 Rear: 8.5 J × 19 / tyres 255/35 R 19,Front: 8 J × 19 / tyres 225/40 R 19 Rear: 8.5 J × 19 / tyres 255/35 R 19
WHEELS AND TYRES,Runflat tyres,■,■,■
DIMENSION,Length / width / height (mm),"4,713 × 1,827 × 1,440","4,713 × 1,827 × 1,446","4,714 × 1,827 × 1,440"
DIMENSION,Luggage capacity (l),480,375,480
DIMENSION,Curb weight (kg),"1,530","1,910","1,745"
Transmission and technology,8-speed Steptronic Sport transmission,■,■,■
Transmission and technology,Adaptive M suspension,■,■,■
Transmission and technology,M Sport Differential,-,-,■
Transmission and technology,Sport-boost,-,■,-
Transmission and technology,Variable Sports Steering,■,■,■
Transmission and technology,Active Cruise Control with Stop&Go Function,■,■,■
Transmission and technology,Driving Assistant,■,■,■
Transmission and technology,Parking Assistant,■,-,-
Transmission and technology,Parking Assistant Plus,-,■,■
Exterior,Adaptive LED Headlights,■,■,■
Exterior,High-beam Assistant,■,■,■
Exterior,"M Sport Brake, Red High-gloss",-,■,■
Exterior,Comfort Access System,■,■,■
Exterior,Automatic Operation of Tailgate,■,■,■
Exterior,"Glass Roof, Electrical",-,■,■
Exterior,M Aerodynamics Package,■,■,■
Exterior,M High-gloss Shadowline,■,■,■
Exterior,M High-gloss Shadowline with Extended Contents,-,■,■
Exterior,M Lights Shadowline,-,■,■
Exterior,M Rear Spoiler,-,■,■
Interior,M Interior decor Fine-Brushed Aluminium,■,-,-
Interior,Aluminium Rhombicle Anthracite M Interior Trim,-,■,-
Interior,M Interior Trim Finishers 'Carbon Fibre',-,-,■
Interior,Interior and exterior mirrors on driver's side with automatic anti-dazzle function,■,■,■
Interior,Lumbar support for driver and front passenger,■,■,■
Interior,"Seat Adjustment, Electric, with Memory",■,■,■
Interior,"Backrest width adjustment, driver",■,■,■
Interior,Sport Seats for Driver and Front Passenger,■,■,■
Interior,M Leather Steering Wheel,■,■,-
Interior,"M Leather steering wheel, M Performance Specific",-,-,■
Interior,Luxury instrument panel,■,■,■
Interior,Ambient Light,■,■,■
Interior,M headliner Anthracite,■,■,■
Interior,3-Zone Automatic Air Conditioning,■,■,■
Interior,Storage Compartment Package,■,■,■
Interior,Through-loading System,■,■,■
Interior,M Seat Belts,-,■,■
Interior,"Rear-seat headrests, folding",■,■,■
Entertainment and communication,BMW Live Cockpit Professional,■,■,■
Entertainment and communication,BMW ConnectedDrive Services,■,■,■
Entertainment and communication,BMW Connected Package Professional,■,■,■
Entertainment and communication,BMW Iconic sounds electric,-,■,-
Entertainment and communication,Wireless Charging,■,■,■
Entertainment and communication,HiFi loudspeaker System,■,-,-
Entertainment and communication,Harman Kardon Surround Sound System,-,■,■
Entertainment and communication,Smartphone integration,■,■,■
Entertainment and communication,Personal eSIM,■,■,■
Safety,Airbag for driver and front passenger,■,■,■
Safety,Side airbags for driver and front passenger,■,■,■
Safety,Head Airbags for All 4 Outer Seats,■,■,■
Safety,Teleservices,■,■,■
Safety,Intelligent Emergency Call,■,■,■
Safety,ISOFIX Child Seat Mounting,■,■,■
Safety,Dynamic Stability Control (DSC),■,■,■
Safety,Anti-lock Braking System (ABS),■,■,■
Safety,Brake Assist,■,■,■
Safety,Crash Sensor,■,■,■
Safety,Acoustic Protection for Pedestrians,-,■,-
Safety,Tyre Pressure Monitoring System,■,■,■
Safety,Warning triangle,■,■,■
Line / package,M Sport Package,■,■,-
Line / package,M Sport Package Pro,-,■,■
Paintwork & Upholstery,Brooklyn Grey Metallic,Leather 'Vernasca' - Black decor stitching,Leather 'Vernasca' - Black Decor Stitching,Leather 'Vernasca' - Black/Contrast Stitching Blue | Black
Paintwork & Upholstery,Portimao Blue Metallic,Leather 'Vernasca' - Black decor stitching,-,-
Paintwork & Upholstery,Mineral White Metallic,Leather 'Vernasca' - Mocha Decor Stitching,Leather 'Vernasca' - Mocha Decor Stitching,Leather 'Vernasca' - Black/Contrast Stitching Blue | Black
Paintwork & Upholstery,Black Sapphire Metallic,Leather 'Vernasca' - Mocha Decor Stitching,Leather 'Vernasca' - Mocha Decor Stitching,Leather 'Vernasca' - Black/Contrast Stitching Blue | Black
Paintwork & Upholstery,Dravit Grey Metallic,-,-,Leather 'Vernasca' - Black/Contrast Stitching Blue | Black
Notes,"¹ Range dependent on various factors. In particular: personal driving style, route characteristics, exterior temperature, heating / air conditioning, pre-conditioning.",-,-,-
Notes,"* The privilege of purchasing package up to 5 years unlimited mileage warranty and 5 years of maintenance or 100,000 km. (whichever comes first).",-,-,-
Notes,"BMW reserves the right to change all information, specifications and illustrations without prior notice and is not responsible for typographical errors.",-,-,-
Document References,Publication Date,3 July 2025,3 July 2025,3 July 2025
Document References,Package Code (Local Pack),"(Z7J, Z8G)","(Z7G, Z7U)","(Z7H, Z8H)"
