Category,Topic,320Li M Sport
Engine and Performance,Engine type,BMW TwinPower Turbo 4-cylinder petrol engine
Engine and Performance,Displacement (cm3),"1,998"
Engine and Performance,Engine power (kW/hp/rpm),"135 / 184 / 5,000 - 6,500"
Engine and Performance,Engine torque (Nm/rpm),"300 / 1,350 - 4,000"
Engine and Performance,Top speed (km/h),233
Engine and Performance,0 - 100 km/h (s),7.9
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),16.7
Fuel Consumption and CO2 Emission,Combined CO2 (g/km),137
Wheels and Tyres,Light alloy wheels,"18"" M light alloy wheels Double-spoke style Bicolour"
Wheels and Tyres,Tyre size,"Front: 7.5 J × 18, 225/45 R 18Rear: 8.5 J × 18, 255/40 R 18"
Wheels and Tyres,Runflat tyres,■
Dimension,Length / width / height (mm),"4,823 / 1,827 / 1,441"
Dimension,Luggage capacity (l),480
Dimension,Curb weight (kg),"1,680"
Drivetrain and Technology,8-speed Steptronic Sport transmission,■
Drivetrain and Technology,Active cruise control with Stop&Go function,■
Drivetrain and Technology,Driving Assistant,■
Drivetrain and Technology,Parking Assistant,■
Exterior Equipment,High-beam assistant,■
Exterior Equipment,Automatic operation of tailgate,■
Exterior Equipment,Comfort access system,■
Exterior Equipment,M Aerodynamics package,■
Exterior Equipment,M High-gloss Shadowline,■
Exterior Equipment,M High-gloss Shadowline with Extended Contents,■
Interior Equipment,Interior and exterior mirrors on driver's side with automatic anti-dazzle function,■
Interior Equipment,M Leather steering wheel,■
Interior Equipment,Luxury instrument panel,■
Interior Equipment,"Lumbar support, driver",■
Interior Equipment,Ambient light,■
Interior Equipment,"Ash Grey Blue, open-pored, fine-wood trim",■
Interior Equipment,3-Zone Automatic air conditioning,■
Entertainment and Communication,BMW Live Cockpit Professional,■
Entertainment and Communication,BMW ConnectedDrive,■
Entertainment and Communication,BMW Connected Package Professional,■
Entertainment and Communication,HiFi loudspeaker system,■
Entertainment and Communication,Smartphone integration,■
Entertainment and Communication,Wireless charging tray,■
Entertainment and Communication,Personal eSIM,■
Safety,Airbag for driver and front passenger,■
Safety,Side airbags for driver and front passenger,■
Safety,Head airbags for all 4 outer seats,■
Safety,Teleservices,■
Safety,Intelligent Emergency Call,■
Safety,Dynamic Stability Control (DSC),■
Safety,Dynamic Traction Control (DTC),■
Safety,Dynamic Brake Control (DBC),■
Safety,Anti-lock Brake System (ABS),■
Safety,Brake Assist (BA),■
Safety,Cornering Brake Control (CBC),■
Safety,Crash sensor,■
Safety,Tyre Pressure Monitoring System,■
Safety,Front Collision Warning with brake intervention consists of Collision,■
Safety,Pedestrian Warning with city braking function,■
Safety,Lane Departure Warning with lane return,■
Safety,Lane Change Warning,■
Safety,Rear crossing traffic warning,■
Safety,Rear Collision Prevention,■
Safety,Active cruise control with Stop&Go function,■
Line / package,M Sport,■
Paintwork & Upholstery,Carbon Black Metallic,Leather 'Vernasca' - Cognac Decor Stitching
Paintwork & Upholstery,Mineral White Metallic,Leather 'Vernasca' - Mocha Decor Stitching
Paintwork & Upholstery,Brooklyn Grey Metallic,Leather 'Vernasca' - Mocha Decor Stitching
Document References,Publication Date,12 January 2026
Document References,Package Code (Local Pack),"(Z7T, Z8V, Z9Z)"
