Category,Topic,430i Convertible M Sport
Engine and Performance,Engine type,BMW TwinPower Turbo 4-cylinder inline petrol engine
Engine and Performance,Displacement (cm3),"1,998"
Engine and Performance,Engine power (kW/hp/rpm),"190 / 258 / 5,000 - 6,500"
Engine and Performance,Engine torque (Nm/rpm),"400 / 1,550 - 4,400"
Engine and Performance,Top speed (km/h),250
Engine and Performance,0 - 100 km/h (s),6.2
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),16.1
Fuel Consumption and CO2 Emission,Combined CO2 (g/km),145
Wheels and Tyres,Light alloy wheels,"19"" M light alloy wheels Double-spoke style, Bicolour"
Wheels and Tyres,Tyre size,Front: 8 J x 19 / tyres 225/40 R19Rear: 8.5 J x 19 / tyres 255/35 R19
Wheels and Tyres,Runflat tyres,■
Dimension,Length / width / height (mm),"4,768 / 1,852 / 1,384"
Dimension,Luggage capacity (l),300 - 385
Dimension,Curb weight (kg),"1,790"
Drivetrain and Technology,8-speed Steptronic Sport transmission,■
Drivetrain and Technology,M Sport suspension,■
Drivetrain and Technology,Variable sport steering,■
Drivetrain and Technology,Active cruise control with Stop&Go function,■
Drivetrain and Technology,Driving Assistant,■
Drivetrain and Technology,Parking Assistant Plus,■
Exterior Equipment,Adaptive LED headlights,■
Exterior Equipment,High-beam assistant,■
Exterior Equipment,M Sport brake,■
Exterior Equipment,Comfort access system,■
Exterior Equipment,M Aerodynamics package,■
Exterior Equipment,M high-gloss Shadowline,■
Interior Equipment,Interior and exterior mirrors on driver's side with automatic anti-dazzle function,■
Interior Equipment,"Seat adjustment, electric, with memory",■
Interior Equipment,"Backrest width adjustment, driver",■
Interior Equipment,M Leather steering wheel,■
Interior Equipment,Lumbar support for driver and front passenger,■
Interior Equipment,Luxury instrument panel,■
Interior Equipment,Ambient light,■
Interior Equipment,Aluminium Rhombicle Anthracite M Interior Trim,■
Interior Equipment,Automatic air conditioning,■
Interior Equipment,Storage compartment package,■
Interior Equipment,Galvanic embellisher for controls,■
Entertainment and Communication,BMW Live Cockpit Professional,■
Entertainment and Communication,BMW ConnectedDrive Services,■
Entertainment and Communication,BMW Connected Package Professional,■
Entertainment and Communication,Harman Kardon surround sound system,■
Entertainment and Communication,Wireless charging tray,■
Entertainment and Communication,Smartphone integration,■
Safety,Airbag for driver and front passenger,■
Safety,Side airbags for driver and front passenger,■
Safety,Head airbags for all 4 outer seats,■
Safety,Teleservices,■
Safety,Intelligent Emergency Call,■
Safety,Automatic Stability Control (ASC),■
Safety,Dynamic Stability Control (DSC),■
Safety,Dynamic Traction Control (DTC),■
Safety,Dynamic Brake Control (DBC),■
Safety,Anti-lock Brake System (ABS),■
Safety,Electronic Differential Lock Control (EDLC),■
Safety,Cornering Brake Control (CBC),■
Safety,Crash sensor,■
Safety,Park Distance Control (PDC),■
Safety,Tyre Pressure Monitoring System,■
Safety,Warning triangle,■
Line / package,M Sport,■
Paintwork & Upholstery,Mineral White Metallic,Leather 'Vernasca' - Black/Red highlight
Paintwork & Upholstery,Black Sapphire Metallic,Leather 'Vernasca' - Black/Red highlight
Paintwork & Upholstery,Brooklyn Grey Metallic,Leather 'Vernasca' - Black decor stitching
Paintwork & Upholstery,Cape York Green Metallic,Leather 'Vernasca' - Mocha decor stitching
Paintwork & Upholstery,Tanzanite Blue Metallic,Leather 'Vernasca' - Black decor stitching
Document References,Publication Date,18 February 2025
Document References,Package Code (Local Pack),"(Z9A, Z9F)"
