Category,Topic,530e Inspiring,520d M Sport,530e M Sport
Engine and Performance,Engine type,BMW TwinPower Turbo 4-cylinder inline petrol engine,BMW TwinPower Turbo 4-cylinder inline diesel engine,BMW TwinPower Turbo 4-cylinder inline petrol engine
Engine and Performance,Displacement (cm3),"1,998","1,995","1,998"
Engine and Performance,Engine power (kW/hp/rpm),"140 / 190 / 4,400 - 6,500","145 / 197 / 4,000","140 / 190 / 4,400 - 6,500"
Engine and Performance,Engine torque (Nm/rpm),"310 / 1,500 - 4,000","400 / 1,500 - 2,750","310 / 1,500 - 4,000"
Engine and Performance,Electric motor power (kW/hp),135 / 184,8 / 11,135 / 184
Engine and Performance,Electric motor torque (Nm),250,25,250
Engine and Performance,"Electrical range1, NEDC (km)",108,-,108
Engine and Performance,"Electric range1, WLTP (km)",87 - 102,-,87 - 102
Engine and Performance,High voltage battery energy content (kWh),22.1,-,22.1
Engine and Performance,System output (kW/hp),220 / 299,145 / 197,220 / 299
Engine and Performance,System torque (Nm),450,400,450
Engine and Performance,Top speed (km/h),230,233,230
Engine and Performance,Top speed electric (km/h),140,-,140
Engine and Performance,0 - 100 km/h (s),6.3,7.3,6.3
Engine and Performance,"Electric energy consumption, NEDC (kWh/100 km)",18.6,-,18.6
Engine and Performance,"Electric energy consumption, WLTP (kWh/100 km)",21.4 - 18.9,-,21.4 - 18.9
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),76.9,18.5,76.9
Fuel Consumption and CO2 Emission,Combined CO2(g/km),29,142,29
Wheels and Tyres,Light alloy wheels,"20"" aerodynamic wheels Multicolour Titanium Bronze","20"" M light alloy wheels Star-spoke style Bicolour Jet Black","20"" M aerodynamic wheels Bicolour Black Grey"
Wheels and Tyres,Tyre size,Front: 8.5 J × 20 / tyres: 245/40 R 20Rear: 10J × 20 / tyres: 275/35 R 20,Front: 8.5 J × 20 / tyres: 245/40 R 20Rear: 10 J × 20 / tyres: 275/35 R 20,Front: 8.5 J × 20 / tyres: 245/40 R 20Rear: 10 J × 20 / tyres: 275/35 R 20
Dimension,Length / width / height (mm),"5,060 / 1,900 / 1,515","5,060 / 1,900 / 1,515","5,060 / 1,900 / 1,515"
Dimension,Luggage capacity (l),520,520,520
Dimension,Curb weight (kg),"2,080","1,850","2,080"
Drivetrain and Technology,Steptronic transmission with gearshift paddles,■,■,■
Drivetrain and Technology,M Sport suspension,-,■,-
Drivetrain and Technology,Adaptive Suspension Professional,-,-,■
Drivetrain and Technology,Driving Assistant,■,■,-
Drivetrain and Technology,Driving Assistant Professional,-,-,■
Drivetrain and Technology,Parking Assistant Plus,■,■,■
Exterior Equipment,Adaptive LED headlights,■,■,■
Exterior Equipment,High-beam assistant,■,■,■
Exterior Equipment,"M Sport brake, dark blue metallic",-,■,■
Exterior Equipment,Automatic operation of tailgate,■,■,■
Exterior Equipment,Comfort access system,■,■,■
Exterior Equipment,BMW Iconic Glow exterior package,■,■,■
