Category,Topic,740d M Sport,750e xDrive M Sport
Engine and Performance,Engine type,BMW TwinPower Turbo 6-cylinder diesel engine,BMW TwinPower Turbo 6-cylinder petrol engine
Engine and Performance,Displacement (cm3),"2,993","2,998"
Engine and Performance,Engine power (kW/hp/rpm),"210 / 286 / 4,000","230 / 313 / 5,000-6,500"
Engine and Performance,Engine torque (Nm/rpm),"650 / 1,500 - 2,500","450 / 1,750 - 4,700"
Engine and Performance,Electric motor power (kW/hp),13 / 18,145 / 197
Engine and Performance,Electric motor torque (Nm),200,280
Engine and Performance,"Electrical range1 , NEDC (km)",-,85
Engine and Performance,"Electrical range1 , WLTP (km)",-,83 - 87
Engine and Performance,High voltage battery energy content (kWh),-,22.1
Engine and Performance,System output (kW/hp),220 / 299,360 / 489
Engine and Performance,System torque (Nm),670,700
Engine and Performance,Top speed (km/h),250,250
Engine and Performance,0 - 100 km/h (s),6,4.8
Engine and Performance,"Electric energy consumption, NEDC (kWh/100 km)",-,20.05
Engine and Performance,"Electric energy consumption, WLTP (kWh/100 km)",-,20.8 - 19.7
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),17.9,55.6
Fuel Consumption and CO2 Emission,Combined CO2 (g/km),150,40
Wheels and Tyres,Wheels,"20"" M aerodynamic wheelsBicolour","20"" M aerodynamic wheelsBicolour"
Wheels and Tyres,Tyre size,Front: 9J × 20 / tyres 255/45 R 20Rear: 10.5 J × 20 tyres 285/40 R 20,Front: 9J × 20 / tyres 255/45 R 20Rear: 10.5 J × 20 tyres 285/40 R 20
Dimension,Length / width / height (mm),"5,391 / 1,950 / 1,544","5,391 / 1,950 / 1,544"
Dimension,Luggage capacity (l),540,525
Dimension,Curb weight (kg),"2,205","2,445"
Drivetrain and Technology,8-speed Steptronic Sport transmission,■,■
Drivetrain and Technology,xDrive,-,■
Drivetrain and Technology,Driving Assistant,■,-
Drivetrain and Technology,Driving Assistant Plus,■,-
Drivetrain and Technology,Driving Assistant Professional,-,■
Drivetrain and Technology,Parking Assistant Plus,■,-
Drivetrain and Technology,Parking Assistant Professional,-,■
Drivetrain and Technology,Adaptive 2-axle air suspension,■,■
Exterior Equipment,Panorama glass roof,■,-
Exterior Equipment,Panorama glass roof Sky Lounge,-,■
Exterior Equipment,BMW kidney 'Iconic Glow',■,■
Exterior Equipment,BMW crystal headlights Iconic Glow,-,■
Exterior Equipment,M high-gloss Shadowline,■,■
Exterior Equipment,M rear spoiler,■,■
Exterior Equipment,"M sport brake, dark blue metallic",■,■
Exterior Equipment,M Sport exterior parts,■,■
Exterior Equipment,Comfort Access System,■,■
Exterior Equipment,Soft-close function for doors,■,■
Interior Equipment,Seat heating front and rear,■,■
Interior Equipment,Massage function front,■,■
Interior Equipment,Massage function for rear-seat passengers,■,■
Interior Equipment,Active seat ventilation in the front seats,■,■
Interior Equipment,"Active seat ventilation, rear",■,■
Interior Equipment,Multifunctional seats for driver and front passenger,■,■
Interior Equipment,Multifunction seats at rear,■,■
Interior Equipment,M Leather steering wheel,■,■
Interior Equipment,Carbon Fibre M interior trim with silver stitching/Piano Finish Black,■,■
Interior Equipment,Glass application 'CraftedClarity' for interior elements,-,■
Interior Equipment,BMW Individual Interior,■,■
Interior Equipment,M headliner anthracite,■,-
Interior Equipment,M headliner Alcantara anthracite,-,■
Interior Equipment,M Sport interior parts,■,■
Interior Equipment,Ambient light,■,■
Interior Equipment,Roller sunblinds,■,■
Interior Equipment,4-Zone Automatic air conditioning,■,■
Interior Equipment,Automatic Doors,-,■
Interior Equipment,Executive Lounge rear console,■,■
Interior Equipment,Executive Lounge seating,■,■
Entertainment and Communication,BMW Live Cockpit Professional,■,■
Entertainment and Communication,BMW ConnectedDrive,■,■
Entertainment and Communication,BMW Connected Package Professional,■,■
Entertainment and Communication,Bowers & Wilkins surround sound system,■,■
Entertainment and Communication,BMW IconicSounds Electric,-,■
Entertainment and Communication,BMW Interaction Bar,■,■
Entertainment and Communication,BMW Touch Command,■,■
Entertainment and Communication,BMW Theatre Screen,■,■
Entertainment and Communication,BMW Natural Interaction,■,■
Entertainment and Communication,Smartphone integration,■,■
Entertainment and Communication,Rear-seat Entertainment Experience,■,■
Entertainment and Communication,Wireless charging tray,■,■
Entertainment and Communication,Personal eSIM,■,■
Safety,Airbag for driver and front passenger,■,■
Safety,Side airbags for driver and front passenger,■,■
Safety,Head airbags for 1st and 2nd seat row,■,■
Safety,Central airbag (driver's seat),■,■
Safety,Teleservices,■,■
Safety,Intelligent Emergency Call,■,■
Safety,ISOFIX child seat mounting,■,■
Safety,Dynamic Stability Control (DSC),■,■
Safety,Anti-lock braking system (ABS),■,■
Safety,Brake Assist (BA),■,■
Safety,Crash sensor,■,■
Safety,Acoustic protection for pedestrians,-,■
Safety,Tyre Pressure Monitoring System,■,■
Safety,Tyre repair kit,■,■
Safety,Alarm System,■,■
Line / package,M Sport package,■,■
Paintwork & Upholstery,Mineral White Metallic,BMW Individual leather 'Merino' - Mocha,BMW Individual leather 'Merino' - Mocha
Paintwork & Upholstery,Black Sapphire Metallic,BMW Individual leather 'Merino' - Mocha,BMW Individual leather 'Merino' - Mocha
Paintwork & Upholstery,Dravit Grey Metallic,BMW Individual leather 'Merino' - Black,BMW Individual leather 'Merino' - Black
Paintwork & Upholstery,Oxide Grey Metallic,BMW Individual leather 'Merino' - Black,BMW Individual leather 'Merino' - Black
Document References,Publication Date,27 February 2025,27 February 2025
Document References,Package Code (Local Pack),(ZJP),"(Z4T, Z8L)"
