Category,Topic,M760e xDrive
Engine and Performance,Engine type,BMW TwinPower Turbo 6-cylinder inline petrol engine
Engine and Performance,Displacement (cm³),"2,998"
Engine and Performance,Engine power (kW/hp/rpm),"280 / 381 / 5,200 - 6,250"
Engine and Performance,Engine torque (Nm/rpm),"520 / 1,850 - 5,000"
Engine and Performance,Electric motor power (kW/hp),145 / 197
Engine and Performance,Electric motor torque (Nm),280
Engine and Performance,"Electrical range¹, NEDC (km)",85
Engine and Performance,"Electric range¹, WLTP (km)",77 - 85
Engine and Performance,High voltage battery energy content (kWh),22.1
Engine and Performance,System output (kW/hp),420 / 571
Engine and Performance,System torque (Nm),800
Engine and Performance,Top speed (km/h),250
Engine and Performance,Top speed electric (km/h),140
Engine and Performance,0 - 100 km/h (s),4.3
Engine and Performance,"Electric energy consumption, NEDC (kWh/100 km)",20.1
Engine and Performance,"Electric energy consumption, WLTP (kWh/100 km)",21.8 - 20.2
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),55.6
Fuel Consumption and CO2 Emission,Combined CO2 (g/km),40
Wheels and Tyres,Wheels,"21"" BMW Individual aerodynamic wheels I Multicolour Dark Grey 3D polished buff"
Wheels and Tyres,Tyre size,"Front: 9 J × 21 / tyres 255/40 R 21
Rear: 10.5 J × 21 / tyres 285/35 R 21"
Dimension,Length / width / height (mm),"5,391 / 1,950 / 1,544"
Dimension,Luggage capacity (l),525
Dimension,Curb weight (kg),"2,525"
Drivetrain and Technology,8-speed Steptronic Sport transmission,■
Drivetrain and Technology,xDrive,■
Drivetrain and Technology,Driving Assistant Professional,■
Drivetrain and Technology,Parking Assistant Professional,■
Drivetrain and Technology,BMW Head-up Display,■
Drivetrain and Technology,Adaptive 2-axle air suspension,■
Drivetrain and Technology,Integral Active Steering,■
Drivetrain and Technology,Executive Drive Pro,■
Exterior Equipment,Panorama glass roof Sky Lounge,■
Exterior Equipment,BMW kidney 'Iconic Glow',■
Exterior Equipment,BMW crystal headlights Iconic Glow,■
Exterior Equipment,M high-gloss Shadowline,■
Exterior Equipment,M High-gloss Shadowline with Extended Contents,■
Exterior Equipment,M rear spoiler,■
Exterior Equipment,"M Sport brake, black high-gloss",■
Exterior Equipment,M Sport exterior parts,■
Exterior Equipment,Comfort Access System,■
Exterior Equipment,Automatic Doors,■
Exterior Equipment,Soft-close function for doors,■
Interior Equipment,Seat heating front and rear,■
Interior Equipment,Massage function front,■
Interior Equipment,Massage function for rear-seat passengers,■
Interior Equipment,Active seat ventilation in the front seats,■
Interior Equipment,"Active seat ventilation, rear",■
Interior Equipment,Multifunctional seats for driver and front passenger,■
Interior Equipment,Multifunction seats at rear,■
Interior Equipment,M Leather steering wheel,■
Interior Equipment,Carbon Fibre M interior trim with silver stitching/Piano Finish Black,■
Interior Equipment,Glass application 'CraftedClarity' for interior elements,■
Interior Equipment,BMW Individual Interior,■
Interior Equipment,M headliner Alcantara anthracite,■
Interior Equipment,M Sport interior parts,■
Interior Equipment,Ambient light,■
Interior Equipment,Roller sunblinds,■
Interior Equipment,4-Zone Automatic air conditioning,■
Interior Equipment,Automatic Doors,■
Interior Equipment,Executive Lounge seating,■
Entertainment and Communication,BMW Live Cockpit Professional,■
Entertainment and Communication,BMW ConnectedDrive,■
Entertainment and Communication,Bowers & Wilkins surround sound system,■
Entertainment and Communication,BMW IconicSounds Electric,■
Entertainment and Communication,BMW Interaction Bar,■
Entertainment and Communication,BMW Touch Command,■
Entertainment and Communication,BMW Theatre Screen,■
Entertainment and Communication,Smartphone integration,■
Entertainment and Communication,Personal eSIM,■
Entertainment and Communication,Wireless charging tray,■
Safety,Airbag for driver and front passenger,■
Safety,Side airbags for driver and front passenger,■
Safety,Head airbags for 1st and 2nd seat row,■
Safety,Central airbag (driver's seat),■
Safety,Teleservices,■
Safety,Intelligent Emergency Call,■
Safety,ISOFIX child seat mounting,■
Safety,Dynamic Stability Control (DSC),■
Safety,Anti-lock braking system (ABS),■
Safety,Brake Assist (BA),■
Safety,Crash sensor,■
Safety,Acoustic protection for pedestrians,■
Safety,Tyre Pressure Monitoring System,■
Safety,Tyre repair kit,■
Safety,Alarm System,■
Line / package,M Performance package,■
Paintwork & Upholstery,Mineral White Metallic,BMW Individual leather 'Merino' - Amarone
Paintwork & Upholstery,Black Sapphire Metallic,BMW Individual leather 'Merino' - Amarone
Paintwork & Upholstery,Dravit Grey Metallic,BMW Individual leather 'Merino' - Black
Paintwork & Upholstery,Brooklyn Grey Metallic,BMW Individual leather 'Merino' - Black
Document References,Publication Date,27 February 2025
Document References,Package Code (Local Pack),"(Z6O, Z7L)"
Notes,"Range dependent on various factors. In particular: personal driving style, route characteristics, exterior temperature, heating / air conditioning, pre-conditioning.",■
Notes,"The privilege of purchasing package up to 5 years unlimited mileage warranty and 5 years of maintenance or 100,000 km. (whichever comes first).",■
Notes,"BMW reserves the right to change all information, specifications and illustrations without prior notice and is not responsible for typographical errors.",■
