Category,Topic,i7 xDrive60 M Sport
Engine and Performance,Electric motor,BMW eDrive technology
Engine and Performance,Maximum output (kW/hp),400 / 544
Engine and Performance,Maximum torque (Nm),745
Engine and Performance,"Electric range1, NEDC (km)",up to 625
Engine and Performance,"Electric range1, WLTP (km)",590 - 625
Engine and Performance,Battery type (High voltage),Lithium-ion
Engine and Performance,High voltage battery energy content (kWh),105.7
Engine and Performance,Top speed (km/h),240
Engine and Performance,0 - 100 km/h (s),4.7
Engine and Performance,"Electric energy consumption, NEDC (kWh/100 km)",22.2
Engine and Performance,"Electric energy consumption, WLTP (kWh/100 km)",19.6 - 18.4
Wheels and Tyres,Wheels,"21"" M light-alloy wheels, Bicolour"
Wheels and Tyres,Tyre size,Front: 9 J × 21 tyres 255/40 R 21Rear: 10.5 J × 21 / tyres 285/35 R 21
Dimension,Length / width / height (mm),"5,391 / 1,950 / 1,544"
Dimension,Luggage capacity (l),500
Dimension,Curb weight (kg),"2,715"
AC CHARGING,Maximum charging power AC (kW),22
CHARGING TIME 0 - 100%,AC charging at 2.3kW (220-230V / 10A / 1ph),55 hours 30 minutes
CHARGING TIME 0 - 100%,AC charging at 7.4kW Wallbox (230V / 32A / 1ph),16 hours
CHARGING TIME 0 - 100%,AC charging at 11kW Flexible Fast Charger (230V / 16A / 3ph),10 hours 45 minutes
CHARGING TIME 0 - 100%,AC charging at 22kW Wallbox (230V / 32A / 3ph),5 hours 30 minutes
DC CHARGING,Maximum charging power DC (kW),195
CHARGING TIME 10 - 80%,DC charging vehicle at 125A by EVSE,1 hour 35 minutes
CHARGING TIME 10 - 80%,DC charging vehicle at 250A by EVSE,50 minutes
CHARGING TIME 10 - 80%,DC charging vehicle at 500A by EVSE,34 minutes
Drivetrain and Technology,Automatic transmission,■
Drivetrain and Technology,BMW xDrive electric all-wheeldrive,■
Drivetrain and Technology,Driving Assistant Professional,■
Drivetrain and Technology,Adaptive 2-axle air suspension,■
Drivetrain and Technology,Parking Assistant Professional,■
Exterior Equipment,Panorama glass roof Sky Lounge,■
Exterior Equipment,M High Gloss Shadow Line,■
Exterior Equipment,M rear spoiler,■
Exterior Equipment,"M Sport brake, dark blue metallic",■
Exterior Equipment,M Sport exterior parts,■
Exterior Equipment,BMW kidney 'Iconic Glow',■
Exterior Equipment,BMW crystal headlights Iconic Glow,■
Exterior Equipment,Automatic Doors,■
Exterior Equipment,Comfort access system,■
Exterior Equipment,Soft-close function for doors,■
Interior Equipment,Seat heating front and rear,■
Interior Equipment,Massage function front,■
Interior Equipment,Massage function for rear-seat passengers,■
Interior Equipment,Active seat ventilation in the front seats,■
Interior Equipment,"Active seat ventilation, rear",■
Interior Equipment,Multifunctional seats for driver and front passenger,■
Interior Equipment,Multifunction seats at rear,■
Interior Equipment,M Leather steering wheel,■
Interior Equipment,Carbon Fibre M interior trim with silver stitching/Piano Finish Black,■
Interior Equipment,BMW Individual Interior,■
Interior Equipment,M headliner Alcantara anthracite,■
Interior Equipment,Ambient light,■
Interior Equipment,Glass application 'CraftedClarity' for interior elements,■
Interior Equipment,Roller sunblinds,■
Interior Equipment,4-Zone Automatic air conditioning,■
Interior Equipment,M Sport interior parts,■
Interior Equipment,Executive Lounge seating,■
Interior Equipment,Executive Lounge rear console,■
Entertainment and Communication,BMW Live Cockpit Professional,■
Entertainment and Communication,BMW ConnectedDrive,■
Entertainment and Communication,BMW Connected Package Professional,■
Entertainment and Communication,Bowers & Wilkins Diamond surround sound system,■
Entertainment and Communication,BMW Iconic sounds electric,■
Entertainment and Communication,BMW Interaction Bar,■
Entertainment and Communication,BMW Touch Command,■
Entertainment and Communication,BMW Theatre Screen,■
Entertainment and Communication,BMW Natural Interaction,■
Entertainment and Communication,Smartphone Integration,■
Entertainment and Communication,Rear-seat Entertainment Experience,■
Entertainment and Communication,Wireless charging tray,■
Entertainment and Communication,Personal eSIM,■
Safety,Airbag for driver and front passenger,■
Safety,Side airbags for driver and front passenger,■
Safety,Head airbags for all 4 outer seats,■
Safety,Central airbag (driver's seat),■
Safety,Teleservices,■
Safety,Intelligent Emergency Call,■
Safety,ISOFIX child seat mounting,■
Safety,Dynamic Stability Control (DSC),■
Safety,Anti-lock Brake System (ABS),■
Safety,Brake Assist (BA),■
Safety,Crash sensor,■
Safety,Acoustic protection for pedestrians,■
Safety,Tyre Pressure Monitoring System,■
Safety,Tyre repair kit,■
Safety,Alarm System,■
Line / package,M Sport package,■
Paintwork & Upholstery,Black Sapphire Metallic,"BMW Individual leather 'Merino' - Black, BMW Individual leather 'Merino' - Mocha, BMW Individual leather 'Merino' - Amarone"
Paintwork & Upholstery,Mineral White Metallic,"BMW Individual leather 'Merino' - Black, BMW Individual leather 'Merino' - Mocha, BMW Individual leather 'Merino' - Amarone"
Paintwork & Upholstery,Oxide Grey Metallic,"BMW Individual leather 'Merino' - Black, BMW Individual leather 'Merino' - Mocha, BMW Individual leather 'Merino' - Amarone"
Paintwork & Upholstery,Brooklyn Grey Metallic,"BMW Individual leather 'Merino' - Black, BMW Individual leather 'Merino' - Mocha, BMW Individual leather 'Merino' - Amarone"
Paintwork & Upholstery,Carbon Black Metallic,"BMW Individual leather 'Merino' - Black, BMW Individual leather 'Merino' - Mocha, BMW Individual leather 'Merino' - Amarone"
Paintwork & Upholstery,Aventurine Red Metallic,"BMW Individual leather 'Merino' - Black, BMW Individual leather 'Merino' - Mocha, BMW Individual leather 'Merino' - Amarone"
Paintwork & Upholstery,Tanzanite Blue Metallic,"BMW Individual leather 'Merino' - Black, BMW Individual leather 'Merino' - Mocha, BMW Individual leather 'Merino' - Amarone"
Paintwork & Upholstery,Dravit Grey Metallic,"BMW Individual leather 'Merino' - Black, BMW Individual leather 'Merino' - Mocha, BMW Individual leather 'Merino' - Amarone"
Document References,Publication Date,28 January 2025
Document References,Package Code (Local Pack),(Z4A)
