Category,Topic,iX1 eDrive20L M Sport
Engine and Performance,Electric motor,BMW eDrive Technology
Engine and Performance,Maximum output (kW/hp),150 / 204
Engine and Performance,Maximum torque (Nm),250
Engine and Performance,"Electric range¹, NEDC (km)",469
Engine and Performance,"Electric range¹, WLTP (km)",458 - 539
Engine and Performance,Battery type (High voltage),Lithium-ion
Engine and Performance,High voltage battery energy content (kWh),66.5
Engine and Performance,Top speed (km/h),175
Engine and Performance,0 - 100 km/h (s),8.6
Engine and Performance,"Electric energy consumption, NEDC (kWh/100 km)",15.0
Engine and Performance,"Electric energy consumption, WLTP (kWh/100 km)",15.8 - 13.4
Wheels and Tyres,Wheels,"19"" M light-alloy wheels Double-spoke style Bicolour"
Wheels and Tyres,Tyre size,8 J × 19 / tyres 245/45 R 19
Dimension,Length / width / height (mm),"4,616 / 1,845 / 1,617"
Dimension,Luggage capacity (l),"490 - 1,600"
Dimension,Curb weight (kg),"2,024"
AC CHARGING,Maximum charging power AC (kW),11
CHARGING TIME 0 - 100%,AC charging at 2.3kW (220-230V / 10A / 1ph),34 hours 30 minutes
CHARGING TIME 0 - 100%,AC charging at 7.4kW Wallbox (230V / 32A / 1ph),10 hours
CHARGING TIME 0 - 100%,AC charging at 11kW Flexible Fast Charger (230V / 16A / 3ph),6 hours 45 minutes
DC CHARGING,Maximum charging power DC (kW),130
CHARGING TIME 10 - 80%,DC charging vehicle at 125A by EVSE,1 hour 14 minutes
CHARGING TIME 10 - 80%,DC charging vehicle at 250A by EVSE,40 minutes
CHARGING TIME 10 - 80%,DC charging vehicle at 500A by EVSE,32 minutes
Drivetrain and Technology,Automatic transmission,■
Drivetrain and Technology,Driving Assistant,■
Drivetrain and Technology,Driving Assistant Plus,■
Drivetrain and Technology,Parking Assistant Plus,■
Drivetrain and Technology,Performance Control,■
Exterior Equipment,Adaptive LED headlights,■
Exterior Equipment,High-beam assistant,■
Exterior Equipment,Panorama glass roof,■
Exterior Equipment,M Sport exterior parts,■
Exterior Equipment,Exterior Line Satin Aluminium,■
Exterior Equipment,Roof rails Aluminium satinated,■
Exterior Equipment,Automatic operation of tailgate,■
Exterior Equipment,Comfort access system,■
Interior Equipment,Interior and exterior mirrors on driver's side with automatic anti-dazzle function,■
Interior Equipment,M Leather steering wheel,■
Interior Equipment,Sport seats for driver and front passenger,■
Interior Equipment,"Seat adjustment, electric, with memory",■
Interior Equipment,Aluminium Hexacube Pale M interior trim,■
Interior Equipment,Luxury instrument panel,■
Interior Equipment,Ambient light,■
Interior Equipment,Automatic air conditioning,■
Entertainment and Communication,BMW Live Cockpit Plus,■
Entertainment and Communication,BMW Head-up display,■
Entertainment and Communication,HiFi loudspeaker system Harman Kardon,■
Entertainment and Communication,BMW ConnectedDrive,■
Entertainment and Communication,Smartphone Integration,■
Entertainment and Communication,BMW Iconic sounds electric,■
Entertainment and Communication,Wireless charging tray,■
Safety,Front airbags for driver and front passenger,■
Safety,Side airbags for driver and front passenger,■
Safety,Head airbags for all 4 outer seats,■
Safety,Teleservices,■
Safety,Intelligent Emergency Call,■
Safety,ISOFIX child seat mounting,■
Safety,Dynamic Stability Control (DSC),■
Safety,Anti-lock Brake System (ABS),■
Safety,Dynamic Brake Control (DBC),■
Safety,Crash sensor,■
Safety,Acoustic protection for pedestrians,■
Safety,Tyre repair kit,■
Safety,Tyre Pressure Monitoring System,■
Safety,Lane Departure Warning with active return,■
Safety,Front collision warning with brake intervention for pedestrians/cyclists,■
Safety,Lane Change Warning with active return,■
Safety,Rear crossing-traffic warning,■
Safety,Rear Collision Warning,■
Safety,Exit warning,■
Safety,Steering and Lane Control Assistant,■
Safety,Active cruise control with Stop&Go function,■
Line / package,M Sport package,■
Paintwork & Upholstery,Brooklyn Grey Metallic,Veganza Perforated - Castanea
Paintwork & Upholstery,Carbon Black Metallic,Veganza Perforated - Castanea
Paintwork & Upholstery,Mineral White Metallic,Veganza Perforated - Castanea
Document References,Publication Date,3 July 2025
Document References,Package Code (Local Pack),(ZLD)
Notes,"Range dependent on various factors. In particular: personal driving style, route characteristics, exterior temperature, heating / air conditioning, pre-conditioning.",■
Notes,"The privilege of purchasing package up to 6 years unlimited mileage warranty and 6 years unlimited mileage of maintenance and 8 years high-voltage battery and its units warranty or 160,000 km. (whichever comes first). Service Interval are due every 24 months.",■
Notes,"BMW reserves the right to change all information, specifications and illustrations without prior notice and is not responsible for typographical errors.",■
