Category,Topic,iX2 xDrive30 M Sport
Engine and Performance,Electric motor,BMW eDrive technology
Engine and Performance,Maximum output (kW/hp),225 / 306
Engine and Performance,Maximum output incl. temp.boost (kW/hp),230 / 313
Engine and Performance,Maximum torque (Nm),494
Engine and Performance,"Electric range¹, NEDC (km)",395
Engine and Performance,"Electric range¹, WLTP (km)",417 - 449
Engine and Performance,Battery type (High voltage),Lithium-ion
Engine and Performance,High voltage battery energy content (kWh),66.5
Engine and Performance,Top speed (km/h),180
Engine and Performance,0 - 100 km/h (s),5.6
Engine and Performance,"Electric energy consumption, NEDC (kWh/100 km)",18.5
Engine and Performance,"Electric energy consumption, WLTP (kWh/100 km)",17.7 - 16.3
Wheels and Tyres,Wheels,"20"" M lightalloy wheels V-spoke Bicolour"
Wheels and Tyres,Tyre size,8 J × 20 / tyres 245/40 R 20
Dimension,Length / width / height (mm),"4,554 / 1,845 / 1,560"
Dimension,Luggage capacity (l),"525 / 1,400"
Dimension,Curb weight (kg),"2,095"
AC CHARGING,Maximum charging power AC (kW),22
CHARGING TIME 0 - 100%,AC charging at 2.3kW (220-230V / 10A / 1ph),34 hours 30 minutes
CHARGING TIME 0 - 100%,AC charging at 7.4kW Wallbox (230V / 32A / 1ph),10 hours
CHARGING TIME 0 - 100%,AC charging at 11kW Flexible Fast Charger (230V / 16A / 3ph),6 hours 30 minutes
CHARGING TIME 0 - 100%,AC charging at 22kW Wallbox (230V / 32A / 3ph),3 hours 45 minutes
DC CHARGING,Maximum charging power DC (kW),130
CHARGING TIME 10 - 80%,DC charging vehicle at 125A by EVSE,1 hour 14 minutes
CHARGING TIME 10 - 80%,DC charging vehicle at 250A by EVSE,38 minutes
CHARGING TIME 10 - 80%,DC charging vehicle at 500A by EVSE,29 minutes
Drivetrain and Technology,Automatic transmission,■
Drivetrain and Technology,Adaptive M suspension,■
Drivetrain and Technology,BMW xDrive electric all-wheel drive,■
Drivetrain and Technology,Driving Assistant,■
Drivetrain and Technology,Parking Assistant Plus,■
Exterior Equipment,Panorama glass roof,■
Exterior Equipment,M Roof rails high-gloss Shadowline,■
Exterior Equipment,M high-gloss Shadowline,■
Exterior Equipment,High-beam assistant,■
Exterior Equipment,Adaptive LED headlights,■
Exterior Equipment,"M Sport brake, dark blue metallic",■
Exterior Equipment,M Sport exterior parts,■
Exterior Equipment,BMW kidney 'Iconic Glow',■
Exterior Equipment,Comfort access system,■
Exterior Equipment,Acoustic glazing,■
Interior Equipment,M Sport seats for driver and front passenger,■
Interior Equipment,"Seat adjustment, electric, with memory",■
Interior Equipment,Interior rear-view mirror with automatic anti-dazzle function,■
Interior Equipment,M Leather steering wheel,■
Interior Equipment,M headliner anthracite,■
Interior Equipment,Ambient light,■
Interior Equipment,2-Zone Automatic air conditioning,■
Interior Equipment,M Sport interior parts,■
Interior Equipment,Interior camera,■
Interior Equipment,Luxury instrument panel,■
Interior Equipment,Interior trim finishers Aluminium with graphic highlights,■
Entertainment and Communication,BMW Live Cockpit Professional,■
Entertainment and Communication,BMW Head-up display,■
Entertainment and Communication,BMW ConnectedDrive,■
Entertainment and Communication,HiFi loudspeaker system Harman Kardon,■
Entertainment and Communication,BMW Iconic sounds electric,■
Entertainment and Communication,Personal eSIM,■
Entertainment and Communication,Wireless charging tray,■
Safety,Airbag for driver and front passenger,■
Safety,Side airbags for driver and front passenger,■
Safety,Head airbags for all 4 outer seats,■
Safety,Teleservices,■
Safety,Intelligent Emergency Call,■
Safety,ISOFIX child seat mounting,■
Safety,Dynamic Stability Control (DSC),■
Safety,Dynamic Traction Control (DTC),■
Safety,Anti-lock braking system (ABS),■
Safety,Brake Assist (BA),■
Safety,Crash sensor,■
Safety,Acoustic protection for pedestrians,■
Safety,Tyre Pressure Monitoring System,■
Safety,Tyre repair kit,■
Line / package,M Sport package,■
Paintwork & Upholstery,Alpine White Solid,M Alcantara/Veganza combination - Black/contrast stitching Blue
Paintwork & Upholstery,Black Sapphire Metallic,M Alcantara/Veganza combination - Black/contrast stitching Blue
Paintwork & Upholstery,Brooklyn Grey Metallic,M Alcantara/Veganza combination - Black/contrast stitching Blue
Paintwork & Upholstery,Cape York Green Metallic,M Alcantara/Veganza combination - Black/contrast stitching Blue
Paintwork & Upholstery,Fire Red Metallic,M Alcantara/Veganza combination - Black/contrast stitching Blue
Document References,Publication Date,15 January 2025
Document References,Package Code (Local Pack),"(Z2O, Z0N, Z8C, Z8D)"
Notes,"¹ Range dependent on various factors. In particular: personal driving style, route characteristics, exterior temperature, heating / air conditioning, pre-conditioning.",-
Notes,"* The privilege of purchasing package up to 6 years unlimited mileage warranty and 6 years unlimited mileage of maintenance and 8 years high-voltage battery and its units warranty or 160,000 km. (whichever comes first). Service Interval are due every 24 months.",-
Notes,"BMW reserves the right to change all information, specifications and illustrations without prior notice and is not responsible for typographical errors.",-
