Category,Topic,iX3 50 xDrive M Sport
Engine and Performance,Electric motor,Sixth-generation BMW eDrive technology
Engine and Performance,Maximum output (kW/hp),345 / 469
Engine and Performance,Maximum torque (Nm),645
Engine and Performance,"Electric range1, NEDC (km)",820
Engine and Performance,"Electric range1, WLTP (km)",678 - 805
Engine and Performance,Battery type (High voltage),Lithium-ion
Engine and Performance,High voltage battery energy content (kWh),113.4
Engine and Performance,Top speed (km/h),210
Engine and Performance,0 - 100 km/h (s),4.9
Engine and Performance,"Electric energy consumption, NEDC (kWh/100 km)",14.7
Engine and Performance,"Electric energy consumption, WLTP (kWh/100 km)",17.9 - 15.1
Wheels and Tyres,Wheels,"22"" BMW Individual aerodynamic wheels I Bicolour"
Wheels and Tyres,Tyre size,Front: 9.0 J × 22 / tyres 255/35 R22Rear: 9.5 J × 22 / tyres 275/35 R22
Dimension,Length / width / height (mm),"4,782 / 1,895 / 1,635"
Dimension,Luggage capacity (l),"520 - 1,750"
Dimension,Storage compartment under the bonnet capacity (l),58
Dimension,Curb weight (kg),"2,360"
AC CHARGING,Maximum charging power AC (kW),22
CHARGING TIME 0 - 100%,AC charging at 2.3kW (220-230V / 10A / 1ph),60 hours
CHARGING TIME 0 - 100%,AC charging at 7.4kW Wallbox (230V / 32A / 1ph),16 hours 45 minutes
CHARGING TIME 0 - 100%,AC charging at 11kW Flexible Fast Charger (230V / 16A / 3ph),11 hours
CHARGING TIME 0 - 100%,AC charging at 22kW Wallbox (230V / 32A / 3ph),5 hours 30 minutes
DC CHARGING,Maximum charging power DC (kW),400
CHARGING TIME 10 - 80%,DC charging vehicle at 125A by EVSE,56 minutes
CHARGING TIME 10 - 80%,DC charging vehicle at 250A by EVSE,28 minutes
CHARGING TIME 10 - 80%,DC charging vehicle at 500A by EVSE,22 minutes
CHARGING TIME 10 - 80%,DC charging vehicle at 800A by EVSE,21 minutes
Drivetrain and Technology,Automatic transmission,■
Drivetrain and Technology,BMW xDrive electric all-wheel drive,■
Drivetrain and Technology,Driving Assistant Plus,■
Drivetrain and Technology,Parking Assistant Plus,■
Drivetrain and Technology,BMW Dynamic Performance Control,■
Exterior Equipment,BMW Iconic Glow exterior package,■
Exterior Equipment,LED headlights with adaptive lighting functions,■
Exterior Equipment,Panoramic sunroof with climate comfort glazing,■
Exterior Equipment,"M Sport brake, dark blue metallic",■
Exterior Equipment,M Sport exterior parts,■
Exterior Equipment,Automatic operation of tailgate,■
Exterior Equipment,Comfort access system,■
Exterior Equipment,Expanded exterior mirror package,■
Exterior Equipment,Intelligent charging flap,■
Exterior Equipment,Storage compartment under the bonnet,■
Interior Equipment,M steering wheel,■
Interior Equipment,Multifunctional seats for driver and front passenger,■
Interior Equipment,8-way electronically adjustable seats with memory,■
Interior Equipment,Massage function front,■
Interior Equipment,Travel & Comfort System,■
Interior Equipment,"Seat backrest adjustment, rear seats",■
Interior Equipment,Ambient light,■
Interior Equipment,3-zone automatic air conditioning,■
Interior Equipment,M Sport interior parts,■
Entertainment and Communication,BMW Panoramic iDrive,■
Entertainment and Communication,BMW Panoramic Vision,■
Entertainment and Communication,BMW 3D Head-up display,■
Entertainment and Communication,HiFi loudspeaker system Harman Kardon,■
Entertainment and Communication,Wireless charging tray,■
Entertainment and Communication,BMW ConnectedDrive,■
Safety,Airbag for driver and front passenger,■
Safety,Side airbags for driver and front passenger,■
Safety,Head airbags for all 4 outer seats,■
Safety,Central airbag (driver's seat),■
Safety,Teleservices,■
Safety,Intelligent Emergency Call,■
Safety,ISOFIX child seat mounting,■
Safety,Dynamic Stability Control (DSC),■
Safety,Anti-lock Brake System (ABS),■
Safety,Dynamic Brake Control (DBC),■
Safety,Acoustic protection for pedestrians,■
Safety,Tyre Repair Kit Plus,■
Safety,Tyre Pressure Monitoring System,■
Safety,Lane Departure Warning,■
Safety,Lane Change Warning,■
Safety,Emergency Steering intervention,■
Safety,Evasion Assistant,■
Safety,Emergency Stop Assistant,■
Safety,Emergency Brake Assistant,■
Safety,Rear Collision Prevention,■
Safety,Attention Assistant with Emergency Stop,■
Safety,Exit Warning,■
Safety,Rear Emergency Brake function,■
Safety,Park Distance Control (PDC),■
Safety,Active Park Distance Control,■
Safety,Rear view camera with panoramic view,■
Safety,Park Assist,■
Safety,Reversing Assistant,■
Safety,Distance Control,■
Safety,Steering and Lane Control Assistant,■
Line / package,M Sport package,■
Paintwork & Upholstery,Ocean Wave Blue Metallic,Interior design Contemporary - Black bicolour
Paintwork & Upholstery,Brooklyn Grey Metallic,Interior design Contemporary - Castanea bicolour
Paintwork & Upholstery,Polarised Grey Metallic,Interior design Contemporary - Castanea bicolour
Paintwork & Upholstery,Black Sapphire Metallic,Interior design Contemporary - Castanea bicolour
Paintwork & Upholstery,Alpine White Solid,Interior design Contemporary - Castanea bicolour
Paintwork & Upholstery,Space Silver Metallic,Interior design Contemporary - Castanea bicolour
Document References,Publication Date,19 March 2026
Document References,Package Code (Local Pack),(ZKS)
