Category,Topic,iX xDrive45 M Sport
Engine and Performance,Electric motor,BMW eDrive Technology
Engine and Performance,Maximum output (kW/hp),300 / 408
Engine and Performance,Maximum torque (Nm),700
Engine and Performance,"Electric range1, NEDC (km)",616
Engine and Performance,"Electric range1, WLTP (km)",490 - 602
Engine and Performance,Battery type (High voltage),Lithium-ion
Engine and Performance,High voltage battery energy content (kWh),100.4
Engine and Performance,Top speed (km/h),200
Engine and Performance,0 - 100 km/h (s),5.1
Engine and Performance,"Electric energy consumption, NEDC (kWh/100 km)",17.0
Engine and Performance,"Electric energy consumption, WLTP (kWh/100 km)",21.8
Wheels and Tyres,Wheels,"21"" M aerodynamic wheels Multicolour 3D polished buff"
Wheels and Tyres,Tyre size,9 J x 21 / tyres 255/50 R 21
Dimension,Length / width / height (mm),"4,965 / 1,970 / 1,695"
Dimension,Luggage capacity (l),500 - 1750
Dimension,Curb weight (kg),"2,525"
AC CHARGING,Maximum charging power AC (kW),22
CHARGING TIME 0 - 100%,"AC charging with 2.3kW (230V, 10A) x 1ph",54 hours
CHARGING TIME 0 - 100%,"AC charging with 7.4kW (230V, 32A) x 1ph",14 hours 45 minutes
CHARGING TIME 0 - 100%,"AC charging with 11kW (230V, 16A) x 3ph, 48A) x 1ph",9 hours 45 minutes
CHARGING TIME 0 - 100%,"AC charging with 22kW (230V, 32A) x 3ph",5 hours
DC CHARGING,Maximum charging power DC (kW),175
CHARGING TIME 10 - 80%,DC charging vehicle at 125A by EVSE,1 hour 30 minutes
CHARGING TIME 10 - 80%,DC charging vehicle at 250A by EVSE,47 minutes
CHARGING TIME 10 - 80%,DC charging vehicle at 500A by EVSE,34 minutes
Drivetrain and Technology,Automatic transmission,■
Drivetrain and Technology,Driving Assistant,■
Drivetrain and Technology,Driving Assistant Plus,■
Drivetrain and Technology,Parking Assistant Plus,■
Drivetrain and Technology,BMW xDrive electric all-wheeldrive,■
Drivetrain and Technology,Integral Active Steering,■
Drivetrain and Technology,Adaptive 2-axle air suspension,■
Exterior Equipment,Adaptive LED headlights,■
Exterior Equipment,Comfort access system,■
Exterior Equipment,Soft-close function for doors,■
Exterior Equipment,Panorama glass roof Sky Lounge,■
Exterior Equipment,BMW kidney 'Iconic Glow',■
Exterior Equipment,High-beam assistant,■
Exterior Equipment,M Sport exterior parts,■
Interior Equipment,Multifunctional seats for driver and front passenger,■
Interior Equipment,Seat heating for driver and front passenger,■
Interior Equipment,"Active seat ventilation, front",■
Interior Equipment,Headliner anthracite,■
Interior Equipment,Interior applications Clear & Bold,■
Interior Equipment,Automatic air conditioning with 4-zone control,■
Interior Equipment,Luggage compartment separating net,■
Interior Equipment,Steering-wheel heating,■
Interior Equipment,M interior highlights in Dark Silver,■
Interior Equipment,M Leather steering wheel,■
Interior Equipment,M Sport interior parts,■
Entertainment and Communication,BMW Live Cockpit Professional,■
Entertainment and Communication,Harman Kardon Surround Sound System,■
Entertainment and Communication,BMW IconicSounds Electric,■
Entertainment and Communication,BMW ConnectedDrive Services,■
Entertainment and Communication,Wireless charging tray,■
Entertainment and Communication,Personal eSIM,■
Entertainment and Communication,Connected Package Professional,■
Safety,Airbag for driver and front passenger,■
Safety,Side airbags for driver and front passenger,■
Safety,Head airbags for 1stand 2ndseat row,■
Safety,Teleservices,■
Safety,Intelligent Emergency Call,■
Safety,Automatic Stability Control (ASC),■
Safety,Dynamic Brake Control (DBC),■
Safety,Anti-lock Brake System (ABS),■
Safety,Electronic Differential Lock Control (EDLC),■
Safety,Brake Assist (BA),■
Safety,Dynamic braking lights,■
Safety,Cornering Brake Control (CBC),■
Safety,Crash sensor,■
Safety,Active Protection,■
Safety,Attentiveness assistant,■
Safety,Passive protection for pedestrians,■
Safety,Acoustic protection for pedestrians,■
Safety,Tyre Pressure Monitoring System,■
Safety,Tyre Repair Kit Plus,■
Safety,Warning triangle,■
Safety,Lane Departure Warning with active return,■
Safety,Lane Change Warning with active return,■
Safety,Front collision warning with brake intervention for pedestrians,■
Safety,Rear crossing-traffic warning,■
Safety,Rear Collision Prevention,■
Safety,Steering and Lane Control Assistant,■
Safety,Active cruise control with Stop&Go function,■
Safety,M Sport,■
Paintwork & Upholstery,Alpine White Solid,"BMW i Interior Design Suite - Amido, BMW i Interior Design Suite - Castanea"
Paintwork & Upholstery,Mineral White Metallic,"BMW i Interior Design Suite - Amido, BMW i Interior Design Suite - Castanea"
Paintwork & Upholstery,Black Sapphire Metallic,"BMW i Interior Design Suite - Amido, BMW i Interior Design Suite - Castanea"
Paintwork & Upholstery,Arctic Race Blue Metallic,"BMW i Interior Design Suite - Amido, BMW i Interior Design Suite - Castanea"
Paintwork & Upholstery,Dune Grey Metallic,"BMW i Interior Design Suite - Amido, BMW i Interior Design Suite - Castanea"
Paintwork & Upholstery,Carbon Black Metallic,"BMW i Interior Design Suite - Amido, BMW i Interior Design Suite - Castanea"
Paintwork & Upholstery,Aventurine Red Metallic,"BMW i Interior Design Suite - Amido, BMW i Interior Design Suite - Castanea"
Paintwork & Upholstery,Space Silver Metallic,"BMW i Interior Design Suite - Amido, BMW i Interior Design Suite - Castanea"
Document References,Publication Date,28 November 2025
Document References,Package Code (Local Pack),(ZJU)
