Category,Topic,M2 CS
Engine and Performance,Engine type,M TwinPower Turbo 6-cylinder inline petrol engine
Engine and Performance,Displacement (cm³),"2,993"
Engine and Performance,Engine power (kW/hp/rpm),"390 / 530 / 6,250"
Engine and Performance,Engine torque (Nm/rpm),"650 / 2,750 - 5,730"
Engine and Performance,Top speed (km/h)¹,302
Engine and Performance,0 - 100 km/h (s),3.8
Engine and Performance,0 - 100 km/h (s)²,3.5
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),10.1
Fuel Consumption and CO2 Emission,Combined CO₂ (g/km),227
Wheels and Tyres,Light alloy wheels,"19""/20"" M light alloy wheels star spoke style Gold Bronze"
Wheels and Tyres,Tyre size,Front: 9.5J × 19 / tyres 275/35 ZR 19 Rear: 10.5J × 20 / tyres 285/30 ZR 20
Dimension,Length / width / height (mm),"4,587 / 1,887 / 1,395"
Dimension,Luggage capacity (l),390
Dimension,Curb weight (kg),"1,775"
Drivetrain and Technology,8-speed M Steptronic transmission with Drivelogic,■
Drivetrain and Technology,M Drive Professional,■
Drivetrain and Technology,M Sport Differential,■
Drivetrain and Technology,Adaptive M suspension,■
Drivetrain and Technology,Active cruise control with Stop&Go function,■
Drivetrain and Technology,Driving Assistant,■
Drivetrain and Technology,Parking Assistant,■
Exterior Equipment,Adaptive LED Headlights,■
Exterior Equipment,High-beam assistant,■
Exterior Equipment,M Lights Shadowline,■
Exterior Equipment,"M Compound Brake, Red High-Gloss",■
Exterior Equipment,M High-gloss Shadowline,■
Exterior Equipment,M Carbon Roof,■
Exterior Equipment,Comfort access system,■
Interior Equipment,M Interior Trim Finishers 'Carbon Fibre',■
Interior Equipment,Interior and exterior mirrors on driver's side with automatic anti-dazzle function,■
Interior Equipment,Ambient light,■
Interior Equipment,M Seat Belts,■
Interior Equipment,M Carbon Bucket Seats,■
Interior Equipment,"Seat adjustment, electric, with memory",■
Interior Equipment,Seat heating for driver and front passenger,■
Interior Equipment,M Alcantara steering wheel,■
Interior Equipment,M Headliner Anthracite,■
Interior Equipment,Storage compartment package,■
Interior Equipment,Automatic air conditioning,■
Interior Equipment,"Rear-seat headrests, folding",■
Entertainment and Communication,BMW Live Cockpit Professional,■
Entertainment and Communication,BMW ConnectedDrive Services,■
Entertainment and Communication,BMW Connected Package Professional,■
Entertainment and Communication,Smartphone Integration,■
Entertainment and Communication,Harman Kardon surround sound system,■
Entertainment and Communication,Personal eSIM,■
Entertainment and Communication,Wireless charging tray,■
Safety,Airbag for driver and front passenger,■
Safety,Side airbags for driver and front passenger,■
Safety,Head airbags for all 4 outer seats,■
Safety,Teleservices,■
Safety,Intelligent Emergency Call,■
Safety,Dynamic Stability Control (DSC),■
Safety,Dynamic Brake Control (DBC),■
Safety,Cornering Brake Control (CBC),■
Safety,Anti-lock Brake System (ABS),■
Safety,Brake Assist (BA),■
Safety,Park Distance Control (PDC),■
Safety,Crash sensor,■
Safety,Tyre Pressure Monitoring System,■
Safety,Tyre Repair Kit,■
Safety,Warning triangle,■
Safety,Front Collision Warning with brake intervention consists of Collision,■
Safety,Pedestrian Warning with city braking function,■
Safety,Lane Departure Warning with lane return,■
Safety,Lane Change Warning,■
Safety,Rear crossing traffic warning,■
Safety,Rear Collision Prevention,■
Paintwork & Upholstery,BMW Individual Velvet Blue Metallic³,Full leather 'Merino' - Black/exclusive highlight
Paintwork & Upholstery,Black Sapphire Metallic,Full leather 'Merino' - Black/exclusive highlight
Paintwork & Upholstery,Brooklyn Grey Metallic,Full leather 'Merino' - Black/exclusive highlight
Paintwork & Upholstery,Portimao Blue Metallic,Full leather 'Merino' - Black/exclusive highlight
Document References,Publication Date,25 September 2025
Document References,Package Code (Local Pack),"(ZJW, ZJX, ZKJ)"
Notes,"¹ The increase of Vmax will be automatically activated when surpassing the 2,000 km run-in distance and having completed the run-in inspection.",-
Notes,² 1-foot rollout,-
Notes,³ Additional inquiries about price and information for optional equipment are available at official BMW dealers.,-
Notes,"* The privilege of purchasing package up to 5 years unlimited mileage warranty and 5 years of maintenance or 100,000 km. (whichever comes first).",-
Notes,"BMW reserves the right to change all information, specifications and illustrations without prior notice and is not responsible for typographical errors.",-
Package,M Driver's Package,■
Optional Equipment,"M Carbon ceramic Brake, Red High-Gloss³",■
