Category,Topic,M3 CS Touring
Engine and Performance,Engine type,M TwinPower Turbo 6-cylinder inline petrol engine
Engine and Performance,Displacement (cm³),"2,993"
Engine and Performance,Engine power (kW/hp/rpm),"405 / 551 / 6,250"
Engine and Performance,Engine torque (Nm/rpm),"650 / 2,750 - 5,950"
Engine and Performance,Top speed (km/h)¹,300
Engine and Performance,0 - 100 km/h (s),3.5
Engine and Performance,0 - 100 km/h (s)²,3.2
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),9.8
Fuel Consumption and CO2 Emission,Combined CO2 (g/km),234
Wheels and Tyres,Light alloy wheels,"19""/20"" M light alloy wheels Star-spoke style"
Wheels and Tyres,Tyre size,"Front: 9.5 J × 19, 275/35 R19, Rear: 10.5 J × 20, 285/30 R20"
Dimension,Length / width / height (mm),"4,796 / 1,918 / 1,447"
Dimension,Luggage capacity (l),"500 - 1,510"
Dimension,Curb weight (kg),"1,925"
Drivetrain and Technology,8-Speed M Steptronic Transmission with Drivelogic,■
Drivetrain and Technology,M Drive Professional,■
Drivetrain and Technology,M Sport Differential,■
Drivetrain and Technology,Adaptive M Suspension,■
Drivetrain and Technology,M Front End Strut brace,■
Drivetrain and Technology,Driving Assistant,■
Drivetrain and Technology,Cruise Control with braking function,■
Drivetrain and Technology,Parking Assistant,■
Exterior Equipment,Adaptive LED headlights,■
Exterior Equipment,"M Lights, coloured",■
Exterior Equipment,"M Carbon ceramic brake, Gold matt",■
Exterior Equipment,M High-gloss Shadowline,■
Exterior Equipment,M Roof rails high-gloss Shadowline,■
Exterior Equipment,High-beam assistant,■
Exterior Equipment,Comfort Access System,■
Exterior Equipment,M Carbon exterior Package,■
Exterior Equipment,Acoustic glazing,■
Interior Equipment,M Interior Trim Finishers 'Carbon Fibre',■
Interior Equipment,Interior and exterior mirrors on driver's side with automatic anti-dazzle function,■
Interior Equipment,Ambient Light,■
Interior Equipment,M Alcantara steering wheel,■
Interior Equipment,M seat belts,■
Interior Equipment,M carbon bucket seats,■
Interior Equipment,"Seat Adjustment, Electric, with Memory",■
Interior Equipment,Seat heating for driver and front passenger,■
Interior Equipment,Automatic air conditioning,■
Interior Equipment,M Headliner Anthracite,■
Interior Equipment,Luggage compartment package,■
Interior Equipment,Storage compartment package,■
Interior Equipment,"Rear-seat headrests, folding",■
Entertainment and Communication,BMW Live Cockpit Professional,■
Entertainment and Communication,BMW ConnectedDrive Services,■
Entertainment and Communication,BMW Connected Package Professional,■
Entertainment and Communication,Smartphone Integration,■
Entertainment and Communication,Wireless charging tray,■
Entertainment and Communication,Harman Kardon Surround Sound System,■
Entertainment and Communication,Personal eSIM,■
Safety,Airbag for Driver and Front Passenger,■
Safety,Side Airbags for Driver and Passenger,■
Safety,Head Airbags for All 4 Outer Seats,■
Safety,Teleservices,■
Safety,Intelligent Emergency Call,■
Safety,Dynamic Stability Control (DSC),■
Safety,Dynamic Brake Control (DBC),■
Safety,Cornering Brake Control (CBC),■
Safety,Anti-lock braking system (ABS),■
Safety,Brake Assist (BA),■
Safety,Park Distance Control (PDC),■
Safety,Crash sensor,■
Safety,Tyre Pressure Monitoring System,■
Safety,Tyre Repair Kit,■
Safety,Front Collision Warning with brake intervention consists of Collision,■
Safety,Pedestrian Warning with city braking function,■
Safety,Lane Departure Warning with lane return,■
Safety,Lane Change Warning,■
Safety,Rear crossing traffic warning,■
Safety,Rear Collision Prevention,■
Line / package,M Driver's Package,■
Paintwork & Upholstery,BMW Individual British Racing Green Solid,Full leather 'Merino' - Anthracite
Paintwork & Upholstery,BMW Individual Laguna Seca Blue Solid,Full leather 'Merino' - Anthracite
Paintwork & Upholstery,Black Sapphire Metallic,Full leather 'Merino' - Anthracite
Document References,Publication Date,25 September 2025
Document References,Package Code (Local Pack),(ZJV)
Notes,"¹ The increase of Vmax will be automatically activated when surpassing the 2,000 km run-in distance and having completed the run-in inspection.",-
Notes,² 1-foot rollout,-
Notes,"* The privilege of purchasing package up to 5 years unlimited mileage warranty and 5 years of maintenance or 100,000 km. (whichever comes first). BMW reserves the right to change all information, specifications and illustrations without prior notice and is not responsible for typographical errors.",-
