Category,Topic,M3 Competition M xDrive Touring
Engine and Performance,Engine type,M TwinPower Turbo 6-cylinder inline petrol engine
Engine and Performance,Displacement (cm3),"2,993"
Engine and Performance,Engine power (kW/hp/rpm),"390 / 530 / 6,250"
Engine and Performance,Engine torque (Nm/rpm),"650 / 2,750 - 5,730"
Engine and Performance,Top speed (km/h),280
Engine and Performance,0 - 100 km/h (s),3.6
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),9.8
Fuel Consumption and CO2 Emission,Combined CO2 (g/km),231
Wheels and Tyres,Light alloy wheels,"19""/20"" M forged wheels Double-spoke style"
Wheels and Tyres,Tyre size,"Front: 9.5 J × 19, 275/35 R 19Rear: 10.5 J × 20, 285/30 R 20"
Dimension,Length / width / height (mm),"4,801 / 1,903 / 1,446"
Dimension,Luggage capacity (l),"500 - 1,510"
Dimension,Curb weight (kg),"1,940"
Drivetrain and Technology,8-speed M Steptronic transmission with Drivelogic,■
Drivetrain and Technology,M Drive Professional,■
Drivetrain and Technology,M Sport differential,■
Drivetrain and Technology,Adaptive M suspension,■
Drivetrain and Technology,Driving Assistant Professional,■
Drivetrain and Technology,Parking Assistant Plus,■
Exterior Equipment,"M Compound Brake, Red High-Gloss",■
Exterior Equipment,Adaptive LED headlights,■
Exterior Equipment,High-beam assistant,■
Exterior Equipment,Comfort access system,■
Exterior Equipment,M Roof rails high-gloss Shadow Line,■
Exterior Equipment,M Lights Shadowline,■
Exterior Equipment,M high-gloss Shadowline,■
Exterior Equipment,M High-gloss Shadowline with Extended Contents,■
Exterior Equipment,M Carbon exterior package,■
Exterior Equipment,Roof and Mirror caps black,■
Interior Equipment,Interior and exterior mirrors on driver's side with automatic anti-dazzle function,■
Interior Equipment,"Seat adjustment, electric, with memory",■
Interior Equipment,M carbon bucket seats,■
Interior Equipment,Ambient light,■
Interior Equipment,M headliner anthracite,■
Interior Equipment,Galvanic embellisher for controls,■
Interior Equipment,M Interior Trim Finishers 'Carbon Fibre',■
Interior Equipment,Seat heating for driver and front passenger,■
Interior Equipment,Automatic air conditioning,■
Interior Equipment,Storage compartment package,■
Interior Equipment,Luggage-compartment package,■
Interior Equipment,M seat belts,■
Entertainment and Communication,BMW Live Cockpit Professional,■
Entertainment and Communication,BMW ConnectedDrive,■
Entertainment and Communication,Connected Package Professional,■
Entertainment and Communication,Harman Kardon surround sound system,■
Entertainment and Communication,Personal eSIM,■
Entertainment and Communication,Wireless charging tray,■
Entertainment and Communication,Smartphone integration,■
Safety,Airbag for driver and front passenger,■
Safety,Side airbags for driver and front passenger,■
Safety,Head airbags for all 4 outer seats,■
Safety,Teleservices,■
Safety,Intelligent Emergency Call,■
Safety,Dynamic Stability Control (DSC),■
Safety,Dynamic Traction Control (DTC),■
Safety,Dynamic Brake Control (DBC),■
Safety,Anti-lock Brake System (ABS),■
Safety,Brake Assist (BA),■
Safety,Cornering Brake Control (CBC),■
Safety,Crash sensor,■
Safety,Active Protection,■
Safety,Tyre Pressure Monitoring System,■
Safety,Tyre Repair Kit,■
Safety,Warning triangle,■
Safety,Front Collision Warning with brake intervention consists of Collision,■
Safety,Pedestrian Warning with city braking function,■
Safety,Lane Departure Warning with lane return,■
Safety,Lane Change Warning,■
Safety,Rear crossing traffic warning,■
Safety,Rear Collision Prevention,■
Safety,Active cruise control with Stop&Go function,■
Safety,Steering and Lane Control Assistant,■
Safety,Emergency Stop Assistant,■
Safety,Lane Change Assistant,■
Safety,Lane Keeping Assistant with active side collision protection,■
Safety,Front crossing traffic warning,■
Safety,Evasion Assistant,■
Safety,Crossroads Warning with city braking function,■
Document References,Publication Date,14 July 2026
Document References,Package Code (Local Pack),"(Z0R, Z0S, Z6V, Z7S, Z9C, ZLG)"
Package,M Driver's Package,■
Optional Equipment,M Carbon ceramic brake,■
