Category,Topic,BMW M4 Competition M xDrive
Engine and Performance,Engine type,M TwinPower Turbo 6-cylinder inline petrol engine
Engine and Performance,Displacement (cm³),"2,993"
Engine and Performance,Engine power (kW/hp/rpm),"390 / 530 / 6,250"
Engine and Performance,Engine torque (Nm/rpm),"650 / 2,750 - 5,730"
Engine and Performance,Top speed (km/h),290
Engine and Performance,0 - 100 km/h (s),3.5
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),10.1
Fuel Consumption and CO2 Emission,Combined CO2 (g/km),225
Wheels and Tyres,Light alloy wheels,"19""/20"" M forged wheels Double-spoke style"
Wheels and Tyres,Tyre size,"Front: 9.5 J × 19, 275/35 R 19 Rear: 10.5 J × 20, 285/30 R 20"
Dimension,Length / width / height (mm),"4,801 / 1,887 / 1,398"
Dimension,Luggage capacity (l),440
Dimension,Curb weight (kg),"1,850"
Drivetrain and Technology,8-speed M Steptronic transmission with Drivelogic,■
Drivetrain and Technology,M Drive Professional,■
Drivetrain and Technology,M Sport differential,■
Drivetrain and Technology,Adaptive M suspension,■
Drivetrain and Technology,Driving Assistant Professional,■
Drivetrain and Technology,Parking Assistant Plus,■
Exterior Equipment,"M Compound Brake, Red High-Gloss",■
Exterior Equipment,Adaptive LED headlights,■
Exterior Equipment,High-beam assistant,■
Exterior Equipment,Automatic operation of tailgate,■
Exterior Equipment,Comfort access system,■
Exterior Equipment,M Lights Shadowline,■
Exterior Equipment,M high-gloss Shadowline,■
Exterior Equipment,M High-gloss Shadowline with Extended Contents,■
Exterior Equipment,M Carbon exterior package,■
Interior Equipment,Interior and exterior mirrors on driver's side with automatic anti-dazzle function,■
Interior Equipment,"Seat adjustment, electric, with memory",■
Interior Equipment,M carbon bucket seats,■
Interior Equipment,Ambient light,■
Interior Equipment,M headliner anthracite,■
Interior Equipment,Galvanic embellisher for controls,■
Interior Equipment,M Interior Trim Finishers 'Carbon Fibre',■
Interior Equipment,Seat heating for driver and front passenger,■
Interior Equipment,Automatic air conditioning,■
Interior Equipment,Storage compartment package,■
Interior Equipment,M seat belts,■
Entertainment and Communication,BMW Live Cockpit Professional,■
Entertainment and Communication,BMW ConnectedDrive,■
Entertainment and Communication,Connected Package Professional,■
Entertainment and Communication,Harman Kardon surround sound system,■
Entertainment and Communication,Personal eSIM,■
Entertainment and Communication,Wireless charging tray,■
Entertainment and Communication,Smartphone integration,■
Safety,Airbag for driver and front passenger,■
Safety,Side airbags for driver and front passenger,■
Safety,Head airbags for all 4 outer seats,■
Safety,Teleservices,■
Safety,Intelligent Emergency Call,■
Safety,Dynamic Stability Control (DSC),■
Safety,Dynamic Traction Control (DTC),■
Safety,Dynamic Brake Control (DBC),■
Safety,Anti-lock Brake System (ABS),■
Safety,Brake Assist (BA),■
Safety,Cornering Brake Control (CBC),■
Safety,Crash sensor,■
Safety,Active Protection,■
Safety,Tyre Pressure Monitoring System,■
Safety,Tyre Repair Kit,■
Safety,Front Collision Warning with brake intervention consists of Collision,■
Safety,Pedestrian Warning with city braking function,■
Safety,Lane Departure Warning with lane return,■
Safety,Lane Change Warning,■
Safety,Rear crossing traffic warning,■
Safety,Rear Collision Prevention,■
Safety,Active cruise control with Stop&Go function,■
Safety,Steering and Lane Control Assistant,■
Safety,Emergency Stop Assistant,■
Safety,Lane Change Assistant,■
Safety,Lane Keeping Assistant with active side collision protection,■
Safety,Front crossing traffic warning,■
Safety,Evasion Assistant,■
Safety,Crossroads Warning with city braking function,■
Document References,Publication Date,14 July 2026
Document References,Package Code (Local Pack),"(Z0L, Z6S, Z6W, Z7P, ZLF)"
Notes,"1 Range dependent on various factors. In particular: personal driving style, route characteristics, exterior temperature, heating / air conditioning, pre-conditioning.",■
Notes,"2 The increase of Vmax will be automatically activated when surpassing the 2,000 km run-in distance and having completed the run-in inspection.",■
Notes,3 Additional inquiries about price and information for optional equipment are available at official BMW dealers.,■
Notes,"* The privilege of purchasing package up to 5 years unlimited mileage warranty and 5 years of maintenance or 100,000 km. (whichever comes first).",■
Notes,"BMW reserves the right to change all information, specifications and illustrations without prior notice and is not responsible for typographical errors.",■
Package,M Driver's Package,■
Optional Equipment,M Carbon ceramic brake³,■
