Category,Topic,M5
Engine and Performance,Engine type,M TwinPower Turbo V8-cylinder petrol engine
Engine and Performance,Displacement (cm³),"4,395"
Engine and Performance,Engine power (kW/hp/rpm),"430 / 585 / 5,600 - 6,500"
Engine and Performance,Engine torque (Nm/rpm),"750 / 1,800 - 5,400"
Engine and Performance,Electric motor power (kW/hp),145 / 197
Engine and Performance,Electric motor torque (Nm),280
Engine and Performance,"Electrical range¹, NEDC (km)",76
Engine and Performance,"Electric range¹, WLTP (km)",67 - 69
Engine and Performance,High voltage battery energy content (kWh),22.1
Engine and Performance,System output (kW/hp),535 / 727
Engine and Performance,System torque (Nm),"1,000"
Engine and Performance,Top speed (km/h)²,305
Engine and Performance,0 - 100 km/h (s),3.5
Engine and Performance,"Electric energy consumption, NEDC (kWh/100 km)",23.6
Engine and Performance,"Electric energy consumption, WLTP (kWh/100 km)",25.5 - 25.0
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),39
Fuel Consumption and CO2 Emission,Combined CO2 (g/km),60
Wheels and Tyres,Light alloy wheels,"20""/21"" M light alloy wheels double spoke style Black with mixed tyres"
Wheels and Tyres,Tyre size,Front: 10.5J × 20 / tyres: 285/40 ZR20 Rear: 11J × 21 / tyres: 295/35 ZR21
Dimension,Length / width / height (mm),"5,096 / 1,970 / 1,510"
Dimension,Luggage capacity (l),466
Dimension,Curb weight (kg),"2,510"
Drivetrain and Technology,8-speed Steptronic Sport transmission with gearshift paddles,■
Drivetrain and Technology,M Drive Professional,■
Drivetrain and Technology,Adaptive M suspension,■
Drivetrain and Technology,Integral Active Steering,■
Drivetrain and Technology,Driving Assistant Professional,■
Drivetrain and Technology,Parking Assistant Professional,■
Exterior Equipment,Adaptive LED headlights,■
Exterior Equipment,BMW Iconic Glow exterior package,■
Exterior Equipment,Automatic operation of tailgate,■
Exterior Equipment,Comfort access system,■
Exterior Equipment,M Carbon exterior package,■
Exterior Equipment,M Compound brake,■
Exterior Equipment,M Lights Shadow Line,■
Exterior Equipment,M high-gloss Shadowline,■
Exterior Equipment,M High-gloss Shadowline with Extended Contents,■
Interior Equipment,M multifunctional seats for driver and front passanger,■
Interior Equipment,M seat belts,■
Interior Equipment,"Seat adjustment, electric, with memory",■
Interior Equipment,Active seat ventilation in the front seats,■
Interior Equipment,Dark Silver M accent combined with Carbon Fibre and high-gloss silver threads,■
Interior Equipment,Roller sunblinds,■
Interior Equipment,Automatic air conditioning with 4-zone control,■
Interior Equipment,Travel & Comfort System,■
Interior Equipment,Ambient light,■
Interior Equipment,Interior camera,■
Interior Equipment,M headliner Alcantara anthracite,■
Entertainment and Communication,BMW Live Cockpit Professional,■
Entertainment and Communication,Bowers & Wilkins surround sound system,■
Entertainment and Communication,BMW Iconic sounds electric,■
Entertainment and Communication,BMW ConnectedDrive Services,■
Entertainment and Communication,BMW Connected Package Professional,■
Entertainment and Communication,Smartphone integration,■
Entertainment and Communication,Personal eSIM,■
Entertainment and Communication,Wireless charging tray,■
Safety,Airbag for driver and front passenger,■
Safety,Head airbags for 1st and 2nd seat row,■
Safety,Side airbags for driver and front passenger,■
Safety,Central airbag (driver's seat),■
Safety,Teleservices,■
Safety,Intelligent Emergency Call,■
Safety,Dynamic Stability Control (DSC),■
Safety,Anti-lock Brake System (ABS),■
Safety,Crash sensor,■
Safety,ISOFIX child seat mounting,■
Safety,Acoustic protection for pedestrians,■
Safety,Tyre Pressure Monitoring System,■
Safety,Tyre Repair Kit,■
Safety,Warning triangle,■
Document References,Publication Date,30 January 2025
Document References,Package Code (Local Pack),"(Z6N, Z8P, Z9N)"
Notes,"¹ Range dependent on various factors. In particular: personal driving style, route characteristics, exterior temperature, heating / air conditioning, pre-conditioning.",■
Notes,"² The increase of Vmax will be automatically activated when surpassing the 2,000 km run-in distance and having completed the run-in inspection.",■
Notes,³ Additional inquiries about price and information for optional equipment are available at official BMW dealers.,■
Notes,"* The privilege of purchasing package up to 5 years unlimited mileage warranty and 5 years of maintenance or 100,000 km. (whichever comes first). BMW reserves the right to change all information, specifications and illustrations without prior notice and is not responsible for typographical errors.",■
Package,M Driver's Package,■
Optional Equipment,M Carbon ceramic brake³,■
