Category,Topic,M5 Touring
Engine and Performance,Engine type,M TwinPower Turbo V8-cylinder petrol engine
Engine and Performance,Displacement (cm³),"4,395"
Engine and Performance,Engine power (kW/hp/rpm),"430 / 585 / 5,600 - 6,500"
Engine and Performance,Engine torque (Nm/rpm),"750 / 1,800 - 5,400"
Engine and Performance,Electric motor power (kW/hp),145 / 197
Engine and Performance,Electric motor torque (Nm),280
Engine and Performance,"Electric range¹, NEDC (km)",73
Engine and Performance,"Electric range¹, WLTP (km)",61 - 67
Engine and Performance,High voltage battery energy content (kWh),22.1
Engine and Performance,System output (kW/hp),535 / 727
Engine and Performance,System torque (Nm),"1,000"
Engine and Performance,Top speed (km/h),305
Engine and Performance,Top speed electric (km/h),140
Engine and Performance,0 - 100 km/h (s),3.6
Engine and Performance,"Electric energy consumption, NEDC (kWh/100 km)",24.1
Engine and Performance,"Electric energy consumption, WLTP (kWh/100 km)",30.7
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),35.7
Fuel Consumption and CO2 Emission,Combined CO2 (g/km),64
Wheels and Tyres,Light alloy wheels,"20""/21"" M light alloy wheels double spoke style"
Wheels and Tyres,Tyre size,"Front: 10.5J × 20 / tyres: 285/40 ZR20, Rear: 11J × 21 / tyres: 295/35 ZR21"
Dimension,Length / width / height (mm),"5,096 / 1,970 / 1,516"
Dimension,Luggage capacity (l),"500 - 1,630"
Dimension,Curb weight (kg),"2,550"
Drivetrain and Technology,8-speed Steptronic Sport transmission with gearshift paddles,■
Drivetrain and Technology,M Drive Professional,■
Drivetrain and Technology,Adaptive M suspension,■
Drivetrain and Technology,Integral Active Steering,■
Drivetrain and Technology,Driving Assistant Professional,■
Drivetrain and Technology,Parking Assistant Professional,■
Exterior Equipment,Adaptive LED headlights,■
Exterior Equipment,BMW Iconic Glow exterior package,■
Exterior Equipment,Automatic operation of tailgate,■
Exterior Equipment,Comfort access system,■
Exterior Equipment,M Compound brake,■
Exterior Equipment,M Lights Shadow Line,■
Exterior Equipment,M high-gloss Shadowline,■
Exterior Equipment,M high-gloss Shadow Line with extended contents,■
Exterior Equipment,M carbon mirror caps,■
Interior Equipment,M multifunctional seats for driver and front passanger,■
Interior Equipment,M seat belts,■
Interior Equipment,"Seat adjustment, electric, with memory",■
Interior Equipment,Active seat ventilation in the front seats,■
Interior Equipment,Dark Silver M accent combined with Carbon Fibre and high-gloss silver threads,■
Interior Equipment,"Roller sunblind, rear side windows",■
Interior Equipment,Automatic air conditioning with 4-zone control,■
Interior Equipment,Travel & Comfort System,■
Interior Equipment,Ambient light,■
Interior Equipment,Interior camera,■
Interior Equipment,M headliner Alcantara anthracite,■
Entertainment and Communication,BMW Live Cockpit Professional,■
Entertainment and Communication,Bowers & Wilkins surround sound system,■
Entertainment and Communication,BMW Iconic sounds electric,■
Entertainment and Communication,BMW ConnectedDrive Services,■
Entertainment and Communication,Connected Package Professional,■
Entertainment and Communication,Smartphone integration,■
Entertainment and Communication,Personal eSIM,■
Entertainment and Communication,Wireless charging tray,■
Safety,Airbag for driver and front passenger,■
Safety,Head airbags for 1st and 2nd seat row,■
Safety,Side airbags for driver and front passenger,■
Safety,Central airbag (driver's seat),■
Safety,ISOFIX child seat mounting,■
Safety,Teleservices,■
Safety,Intelligent Emergency Call,■
Safety,Dynamic Stability Control (DSC),■
Safety,Anti-lock Brake System (ABS),■
Safety,Crash sensor,■
Safety,Acoustic protection for pedestrians,■
Safety,Tyre Pressure Monitoring System,■
Safety,Tyre repair kit,■
Safety,Warning triangle,■
Safety,Lane Departure Warning with active return,■
Safety,Front collision warning with brake intervention for pedestrians/cyclists,■
Safety,Lane Change Warning with active return,■
Safety,Rear crossing-traffic warning,■
Safety,Rear Collision Prevention,■
Safety,Exit warning,■
Safety,Steering and Lane Control Assistant,■
Safety,Active cruise control with Stop&Go function,■
Safety,Emergency Stop Assistant,■
Safety,Lane Change Assistant,■
Safety,Front/Rear crossing traffic warning,■
Safety,Evasion Assistant,■
Document References,Publication Date,18 February 2025
Document References,Package Code (Local Pack),"(Z9D, Z9E, ZJZ)"
Notes,"Range dependent on various factors. In particular: personal driving style, route characteristics, exterior temperature, heating / air conditioning, pre-conditioning.",-
Notes,"The increase of Vmax will be automatically activated when surpassing the 2,000 km run-in distance and having completed the run-in inspection.",-
Notes,Additional inquiries about price and information for optional equipment are available at official BMW dealers.,-
Notes,"The privilege of purchasing package up to 5 years unlimited mileage warranty and 5 years of maintenance or 100,000 km. (whichever comes first).",-
Package,M Driver's Package,■
Optional Equipment,M Carbon ceramic brake³,■
