Category,Topic,X1 sDrive20i M Sport
Engine and Performance,Engine type,BMW TwinPower Turbo 4-cylinder inline petrol engine
Engine and Performance,Displacement (cm³),"1,998"
Engine and Performance,Engine power (kW/hp/rpm),"150 / 204 / 5,000 – 6,500"
Engine and Performance,Engine torque (Nm/rpm),"300 / 1,450 – 4,500"
Engine and Performance,System output (kW/hp),150 / 204
Engine and Performance,System torque (Nm),300
Engine and Performance,Top speed (km/h),236
Engine and Performance,0 - 100 km/h (s),7.6
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),15.9
Fuel Consumption and CO2 Emission,Combined CO2 (g/km),148
Wheels and Tyres,Light alloy wheels,"19"" M light alloy wheels Double-spoke Bicolour"
Wheels and Tyres,Tyre size,8 J x 19 / tyres 245/45 R 19
Dimension,Length / width / height (mm),"4,500 / 1,845 / 1,642"
Dimension,Luggage capacity (l),"540 - 1,600"
Dimension,Curb weight (kg),"1,625"
Drivetrain and Technology,7-Speed Steptronic Transmission with Double Clutch and Gearshift Paddles,■
Drivetrain and Technology,BMW Head-up display,■
Drivetrain and Technology,Driving Assistant,■
Drivetrain and Technology,Parking Assistant Plus,■
Exterior Equipment,Comfort Access System,■
Exterior Equipment,M Roof rails high-gloss Shadowline,■
Exterior Equipment,M High-gloss Shadowline,■
Exterior Equipment,Exterior Mirror Package,■
Exterior Equipment,Adaptive LED headlights,■
Exterior Equipment,High-beam Assistant,■
Interior Equipment,Interior and exterior mirrors with automatic anti-dazzle function,■
Interior Equipment,"Seat adjustment, electric, with memory",■
Interior Equipment,Sport seats for driver and front passenger,■
Interior Equipment,Aluminium Hexacube Pale M interior trim,■
Interior Equipment,Luxury instrument panel,■
Interior Equipment,M leather steering wheel,■
Interior Equipment,M headliner Anthracite,■
Interior Equipment,Interior Lighting,■
Entertainment and Communication,BMW Live Cockpit Professional,■
Entertainment and Communication,ConnectedDrive Services,■
Entertainment and Communication,Stereo Speaker System,■
Entertainment and Communication,Smartphone Integration,■
Entertainment and Communication,Personal eSIM,■
Safety,Airbag for driver and front passenger,■
Safety,Side airbags for driver and passenger,■
Safety,Head airbags for 1ˢᵗ and 2ⁿᵈ seat row,■
Safety,Teleservices,■
Safety,Intelligent Emergency Call,■
Safety,ISOFIX child seat mounting,■
Safety,Dynamic Stability Control (DSC),■
Safety,Anti-lock braking system (ABS),■
Safety,Crash sensor,■
Safety,Tyre pressure monitoring system,■
Safety,Lane Departure Warning with active return,■
Safety,Front collision warning with brake intervention for pedestrians/cyclists,■
Safety,Lane Change Warning with active return,■
Safety,Rear crossing-traffic warning,■
Safety,Rear Collision Prevention,■
Safety,Exit warning,■
Safety,Tyre Repair Kit Plus,■
Line / package,M Sport,■
Paintwork & Upholstery,Alpine White Solid,Veganza Perforated - Castanea
Paintwork & Upholstery,Black Sapphire Metallic,Veganza Perforated - Castanea
Paintwork & Upholstery,Space Silver Metallic,Veganza Perforated - Castanea
Paintwork & Upholstery,Portimao Blue Metallic,Veganza Perforated - Black
Document References,Publication Date,3 July 2025
Document References,Package Code (Local Pack),(Z9P)
Notes,"1 Range dependent on various factors. In particular: personal driving style, route characteristics, exterior temperature, heating / air conditioning, pre-conditioning.",■
Notes,"* The privilege of purchasing package up to 5 years unlimited mileage warranty and 5 years of maintenance or 100,000 km. (whichever comes first).",■
Notes,"BMW reserves the right to change all information, specifications and illustrations without prior notice and is not responsible for typographical errors.",■
