Category,Topic,X3 20d xDrive M Sport Pro,X3 M50 xDrive
Engine and Performance,Engine type,BMW TwinPower Turbo4-cylinder inline diesel engine,BMW TwinPower Turbo6-cylinder inline petrol engine
Engine and Performance,Displacement (cm3),"1,995","2,998"
Engine and Performance,Engine power (kW/hp/rpm),"145 / 197 / 4,000","280 / 380 / 5,200 - 6,250"
Engine and Performance,Engine torque (Nm/rpm),"400 / 1,500 - 2,750","540 / 1,900 - 4,800"
Engine and Performance,Electric motor power (kW/hp),8 / 11,13 / 18
Engine and Performance,Electric motor torque (Nm),25,200
Engine and Performance,System output (kW/hp),145 / 197,293 / 398
Engine and Performance,System torque (Nm),400,580
Engine and Performance,Top speed (km/h),215,250
Engine and Performance,0 - 100 km/h (s),7.7,4.6
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),18.2,12.3
Fuel Consumption and CO2 Emission,Combined CO2 (g/km),146,184
Wheels and Tyres,Light alloy wheels,"20"" M light alloy wheelsDouble-spoke Bicolour","21"" M light alloy wheels Star-spoke styleBicolour"
Wheels and Tyres,Tyre size,Front: 9 J × 20 / tyres 255/45 R20Rear: 10.5 J × 20 / tyres 285/40 R20,Front: 9J × 21 / tyres 255/40 R21Rear: 10.5J × 21 / tyres 285/35 R21
Dimension,Length / width / height (mm),"4,755 / 1,920 / 1,660","4,755 / 1,920 / 1,660"
Dimension,Luggage capacity (l),"570 - 1,700","570 - 1,700"
Dimension,Curb weight (kg),"1,965","2,055"
Drivetrain and Technology,Steptronic transmission with gearshift paddles,■,■
Drivetrain and Technology,Adaptive suspension,■,-
Drivetrain and Technology,Adaptive M suspension,-,■
Drivetrain and Technology,Variable sport steering,■,■
Drivetrain and Technology,Driving Assistant,■,-
Drivetrain and Technology,Driving Assistant Plus,■,-
Drivetrain and Technology,Driving Assistant Professional,-,■
Drivetrain and Technology,Parking Assistant Plus,■,■
Exterior Equipment,Adaptive LED headlights,■,■
Exterior Equipment,M Lights Shadowline,■,■
Exterior Equipment,"M Sport brake, red high-gloss",■,■
Exterior Equipment,Comfort access system,■,■
Exterior Equipment,BMW Iconic Glow exterior package,■,■
Exterior Equipment,Panorama glass roof,■,■
Exterior Equipment,M high-gloss Shadowline,■,■
Exterior Equipment,M high-gloss Shadowline with Extended Contents,■,■
Exterior Equipment,M Sport exterior parts,■,■
Interior Equipment,"Seat adjustment, electric, with memory",■,■
Interior Equipment,Active seat ventilation in the front seats,■,■
Interior Equipment,Lumbar support for driver and front passenger,■,■
Interior Equipment,Sport seats for driver and front passenger,■,■
Interior Equipment,M leather steering wheel,■,■
Interior Equipment,M seat belts,■,■
Interior Equipment,Luxury instrument panel,■,■
Interior Equipment,M headliner anthracite,■,■
Interior Equipment,Ambient light,■,■
Interior Equipment,M Interior decor Fine-Brushed Aluminium,■,■
Interior Equipment,"Roller sunblind, rear side windows",■,■
Interior Equipment,Travel & Comfort System,■,■
Interior Equipment,3-zone automatic air conditioning,■,■
Interior Equipment,Interior camera,■,■
Interior Equipment,M Sport interior parts,■,■
Entertainment and Communication,BMW Live Cockpit Professional,■,■
Entertainment and Communication,Harman Kardon surround sound system,■,■
Entertainment and Communication,Personal eSIM,■,■
Entertainment and Communication,Wireless charging tray,■,■
Safety,Airbag for driver and front passenger,■,■
Safety,Side airbags for driver and front passenger,■,■
Safety,Head airbags for 1st and 2nd seat row,■,■
Safety,Central airbag (driver's seat),■,■
Safety,Teleservices,■,■
Safety,Intelligent Emergency Call,■,■
Safety,Dynamic Stability Control (DSC),■,■
Safety,Anti-lock Brake System (ABS),■,■
Safety,Crash sensor,■,■
Safety,Tyre Pressure Monitoring System,■,■
Safety,Tyre Repair Kit Plus,■,■
Safety,Lane Departure Warning with active return,■,■
Safety,Front collision warning with brake intervention for pedestrians/cyclists,■,■
Safety,Lane Change Warning with active return,■,■
Safety,Rear crossing-traffic warning,■,■
Safety,Rear Collision Prevention,■,■
Safety,Exit warning,■,■
Safety,Steering and Lane Control Assistant,■,■
Safety,Active cruise control with Stop&Go function,■,■
Safety,Emergency Stop Assistant,-,■
Safety,Lane Change Assistant,-,■
Safety,Front/Rear crossing traffic warning,-,■
Safety,Evasion Assistant,-,■
Line / package,M Sport,■,-
Line / package,M Sport Package Pro,■,■
Paintwork & Upholstery,Alpine White Solid,Veganza perforated and quilted - Espresso Brown,BMW Individual leather 'Merino' - Black/Atlas Grey
Paintwork & Upholstery,Black Sapphire Metallic,Veganza perforated and quilted - Espresso Brown,BMW Individual leather 'Merino' - Black/Atlas Grey
Paintwork & Upholstery,Brooklyn Grey Metallic,Veganza perforated and quilted - Espresso Brown,BMW Individual leather 'Merino' - Black/Atlas Grey
Paintwork & Upholstery,Tanzanite Blue Metallic,Veganza perforated and quilted - Black,BMW Individual leather 'Merino' - Black/Atlas Grey
Paintwork & Upholstery,Dune Grey Metallic,-,BMW Individual leather 'Merino' - Black/Atlas Grey
Document References,Publication Date,18 February 2025,18 February 2025
Document References,Package Code (Local Pack),"(ZAD, ZKN)","(ZKM, ZKQ)"
