Category,Topic,X5 xDrive30d M Sport,X5 xDrive50e M Sport
Engine and Performance,Engine type,BMW TwinPower Turbo6-cylinder diesel engine,BMW TwinPower Turbo6-cylinder petrol engine
Engine and Performance,Displacement (cm3),"2,993","2,998"
Engine and Performance,Engine power (kW/hp/rpm),"210 / 286 / 4,000","230 / 313 / 5,000 - 6,500"
Engine and Performance,Engine torque (Nm/rpm),"650 / 1,500 - 2,500","450 / 1,750 - 4,700"
Engine and Performance,Electric motor power (kW/hp),9 / 12,145 / 197
Engine and Performance,Electric motor torque (Nm),-,280
Engine and Performance,"Electrical range1 , NEDC (km)",-,113
Engine and Performance,"Electric range1 , WLTP (km)",-,94 - 100
Engine and Performance,High voltage battery energy content (kWh),-,29.5
Engine and Performance,System output (kW/hp),219 / 298,360 / 489
Engine and Performance,System torque (Nm),670,700
Engine and Performance,Top speed (km/h),233,250
Engine and Performance,Top speed electric (km/h),-,140
Engine and Performance,0 - 100 km/h (s),6.1,4.8
Engine and Performance,"Electric energy consumption, NEDC (kWh/100 km)",-,23.7
Engine and Performance,"Electric energy consumption, WLTP (kWh/100 km)",-,27.0 - 22.9
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),14.1,66.7
Fuel Consumption and CO2 Emission,Combined CO2 (g/km),186,35
Wheels and Tyres,Light alloy wheels,"20"" M light alloy wheelsStar-spoke style, Bicolour","21"" M light alloy wheelsY-spoke style, Bicolour"
Wheels and Tyres,Tyre size,Front: 9 J x 20 / tyres 275/45 R20Rear: 10.5 J x 20 / tyres 305/40 R20,Front: 9.5 J x 21 / tyres 275/40 R21Rear: 10.5 J x 21 / tyres 315/35 R21
Wheels and Tyres,Runflat tyres,■,■
Dimension,Length / width / height (mm),"4,935 / 2,004 / 1,765","4,935 / 2,004 / 1,755"
Dimension,Luggage capacity (l),"650 - 1,870","500 - 1,720"
Dimension,Curb weight (kg),"2,295","2,495"
Drivetrain and Technology,8-speed Steptronic Sport transmission,■,■
Drivetrain and Technology,Adaptive M suspension,■,-
Drivetrain and Technology,Adaptive 2-axle air suspension,-,■
Drivetrain and Technology,Driving Assistant Professional,■,■
Drivetrain and Technology,Parking Assistant Professional,■,■
Exterior Equipment,Adaptive LED headlights,■,■
Exterior Equipment,BMW kidney 'Iconic Glow',-,■
Exterior Equipment,M Lights Shadow Line,-,■
Exterior Equipment,High-beam assistant,■,■
Exterior Equipment,M Sport brake,■,■
Exterior Equipment,Comfort access system,■,■
Exterior Equipment,Soft-close function for doors,■,■
Exterior Equipment,Panorama glass roof,■,■
Exterior Equipment,Expanded exterior mirror package,■,■
Exterior Equipment,M Aerodynamics package,■,■
Exterior Equipment,M high-gloss Shadow Line,■,■
Exterior Equipment,M High-gloss Shadowline with Extended Contents,-,■
Exterior Equipment,M Roof rails high-gloss Shadow Line,■,■
Interior Equipment,Seat heating for driver and front passenger,■,-
Interior Equipment,Seat heating front and rear,-,■
Interior Equipment,"Heat Comfort Package, Front",-,■
Interior Equipment,"Comfort seats front, electrically adjustable",■,■
Interior Equipment,M Leather Steering Wheel,■,■
Interior Equipment,Ambient light,■,■
Interior Equipment,M headliner anthracite,■,■
Interior Equipment,Cupholder Temperate,-,■
Interior Equipment,BMW Individual instrument panel finished in leather,■,■
Interior Equipment,M Interior Trim Finishers 'Carbon Fibre',■,■
Interior Equipment,Glass application 'CraftedClarity' for interior elements,-,■
Interior Equipment,Roller sunblind for rear side windows,■,■
Interior Equipment,4-Zone Automatic air conditioning,■,■
Interior Equipment,M Seat Belts,-,■
Interior Equipment,Luggage compartment package,■,■
Interior Equipment,Travel & Comfort System,■,■
Entertainment and Communication,BMW Live Cockpit Professional,■,■
Entertainment and Communication,BMW ConnectedDrive,■,■
Entertainment and Communication,Harman Kardon surround sound system,■,-
Entertainment and Communication,Bowers & Wilkins Diamond surround sound system,-,■
Entertainment and Communication,Smartphone integration,■,■
Safety,Airbag for driver and front passenger,■,■
Safety,Side airbags for driver and front passenger,■,■
Safety,Head airbags for 1st and 2nd seat row,■,■
Safety,Teleservices,■,■
Safety,Intelligent Emergency Call,■,■
Safety,Dynamic Stability Control (DSC),■,■
Safety,Dynamic Traction Control (DTC),■,■
Safety,Anti-lock Brake System (ABS),■,■
Safety,Brake Assist (BA),■,■
Safety,Cornering Brake Control (CBC),■,■
Safety,Electronic Parking Brake with automatic hold function,■,■
Safety,Crash sensor,■,■
Safety,Active Protection,■,■
Safety,Park Distance Control (PDC),■,■
Safety,Acoustic protection for pedestrians,-,■
Safety,Tyre Pressure Monitoring System,■,■
Safety,Front Collision Warning with brake intervention consists of Collision,■,■
Safety,Pedestrian Warning with city braking function,■,■
Safety,Lane Departure Warning with lane return,■,■
Safety,Lane Change Warning,■,■
Safety,Rear crossing traffic warning,■,■
Safety,Rear Collision Prevention,■,■
Safety,Active cruise control with Stop&Go function,■,■
Safety,Steering and Lane Control Assistant,■,■
Safety,Emergency Stop Assistant,■,■
Safety,Lane Change Assistant,■,■
Safety,Lane Keeping Assistant with active side collision protection,■,■
Safety,Front crossing traffic warning,■,■
Safety,Evasion Assistant,■,■
Safety,Crossroads Warning with city braking function,■,■
Line / package,M Sport,■,■
Line / package,M Sport Package Pro,-,■
Paintwork & Upholstery,Skyscraper Grey Metallic,BMW Individual extended leather trim 'Merino' - Black,BMW Individual extended leather trim 'Merino' - Black
Paintwork & Upholstery,Mineral White Metallic,BMW Individual extended leather trim 'Merino' - Coffee,BMW Individual extended leather trim 'Merino' - Coffee
Paintwork & Upholstery,Black Sapphire Metallic,BMW Individual extended leather trim 'Merino' - Coffee,BMW Individual extended leather trim 'Merino' - Coffee
Paintwork & Upholstery,Manhattan Metallic,BMW Individual extended leather trim 'Merino' - Coffee,BMW Individual extended leather trim 'Merino' - Coffee
Document References,Publication Date,15 January 2025,15 January 2025
Document References,Package Code (Local Pack),"(ZIL, Z3T, Z4Y, Z7Z, Z9B, Z9R)","(ZIM, Z3U, Z5E, Z6P, Z8B, Z9S, ZKR)"
