Category,Topic,X6 xDrive40i M Sport
Engine and Performance,Engine type,BMW TwinPower Turbo 6-cylinder petrol engine
Engine and Performance,Displacement (cm3),"2,998"
Engine and Performance,Engine power (kW/hp/rpm),"280 / 381 / 5,200 - 6,250"
Engine and Performance,Engine torque (Nm/rpm),"520 / 1,850 - 5,000"
Engine and Performance,Electric motor power (kW/hp),9 / 12
Engine and Performance,System output (kW/hp),280 / 381
Engine and Performance,System torque (Nm),540
Engine and Performance,Top speed (km/h),250
Engine and Performance,0 - 100 km/h (s),5.4
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),11.5
Fuel Consumption and CO2 Emission,Combined CO2 (g/km),198
Wheels and Tyres,Light alloy wheels,"22"" M light alloy wheels Double-spoke style, Bicolour"
Wheels and Tyres,Tyre size,Front: 9.5 J x 22 / tyres 275/35 R22Rear: 10.5 J x 22 / tyres 315/30 R22
Dimension,Length / width / height (mm),"4,960 / 2,004 / 1,700"
Dimension,Luggage capacity (l),"580 - 1,530"
Dimension,Curb weight (kg),"2,240"
Drivetrain and Technology,8-speed Steptronic Sport transmission,■
Drivetrain and Technology,Adaptive 2-axle air suspension,■
Drivetrain and Technology,Driving Assistant Professional,■
Drivetrain and Technology,Parking Assistant Professional,■
Drivetrain and Technology,M sport exhaust system,■
Exterior Equipment,Adaptive LED headlights,■
Exterior Equipment,High-beam assistant,■
Exterior Equipment,BMW kidney 'Iconic Glow',■
Exterior Equipment,"M Sport brake, red high-gloss",■
Exterior Equipment,Comfort access system,■
Exterior Equipment,Soft-close function for doors,■
Exterior Equipment,Panorama glass roof Sky Lounge,■
Exterior Equipment,Expanded exterior mirror package,■
Exterior Equipment,M Aerodynamics package,■
Exterior Equipment,M high-gloss Shadow Line,■
Exterior Equipment,M High-gloss Shadowline with Extended Contents,■
Exterior Equipment,M Lights Shadow Line,■
Interior Equipment,Seat heating for driver and front passenger,■
Interior Equipment,"Comfort seats front, electrically adjustable",■
Interior Equipment,M leather steering wheel,■
Interior Equipment,M seat belts,■
Interior Equipment,Ambient light,■
Interior Equipment,M headliner anthracite,■
Interior Equipment,BMW Individual instrument panel finished in leather,■
Interior Equipment,Glass application 'CraftedClarity' for interior elements,■
Interior Equipment,M Interior trim finishers Carbon Fibre,■
Interior Equipment,Roller sunblind for rear side windows,■
Interior Equipment,4-Zone Automatic air conditioning,■
Interior Equipment,Luggage compartment package,■
Interior Equipment,Travel & Comfort System,■
Entertainment and Communication,BMW Live Cockpit Professional,■
Entertainment and Communication,BMW ConnectedDrive,■
Entertainment and Communication,Bowers & Wilkins Diamond surround sound system,■
Entertainment and Communication,Smartphone integration,■
Safety,Airbag for driver and front passenger,■
Safety,Side airbags for driver and front passenger,■
Safety,Head airbags for 1stand 2ndseat row,■
Safety,Teleservices,■
Safety,Intelligent Emergency Call,■
Safety,Dynamic Stability Control (DSC),■
Safety,Dynamic Traction Control (DTC),■
Safety,Anti-lock Brake System (ABS),■
Safety,Crash sensor,■
Safety,Active Protection,■
Safety,Tyre Repair Kit,■
Safety,Tyre Pressure Monitoring System,■
Safety,Front Collision Warning with brake intervention consists of Collision,■
Safety,Pedestrian Warning with city braking function,■
Safety,Lane Departure Warning with lane return,■
Safety,Lane Change Warning,■
Safety,Rear crossing traffic warning,■
Safety,Rear Collision Prevention,■
Safety,Active cruise control with Stop&Go function,■
Safety,Steering and Lane Control Assistant,■
Safety,Emergency Stop Assistant,■
Safety,Lane Change Assistant,■
Safety,Lane Keeping Assistant with active side collision protection,■
Safety,Front crossing traffic warning,■
Safety,Evasion Assistant,■
Safety,Crossroads Warning with city braking function,■
Safety,M Sport Pro,■
Paintwork & Upholstery,Brooklyn Grey Metallic,BMW Individual extended leather trim 'Merino' - Black
Paintwork & Upholstery,Mineral White Metallic,BMW Individual extended leather trim 'Merino' - Coffee
Paintwork & Upholstery,Black Sapphire Metallic,BMW Individual extended leather trim 'Merino' - Coffee
Paintwork & Upholstery,Manhattan Metallic,BMW Individual extended leather trim 'Merino' - Coffee
Document References,Publication Date,1 September 2023
Document References,Package Code (Local Pack),(Z9V)
