Category,Topic,XM
Engine and Performance,Engine type,M TwinPower Turbo V8-cylinder petrol engine
Engine and Performance,Displacement (cm3),"4,395"
Engine and Performance,Engine power (kW/hp/rpm),"360 / 489 / 5,400 - 7,200"
Engine and Performance,Engine torque (Nm/rpm),"650 / 1,600 - 5,000"
Engine and Performance,Electric motor power (kW/hp),145 / 197
Engine and Performance,Electric motor torque (Nm),280
Engine and Performance,"Electrical range1, NEDC (km)",98
Engine and Performance,"Electric range1, WLTP (km)",76 - 83
Engine and Performance,High voltage battery energy content (kWh),29.5
Engine and Performance,System output (kW/hp),480 / 653
Engine and Performance,System torque (Nm),800
Engine and Performance,Top speed (km/h),270
Engine and Performance,0 - 100 km/h (s),4.3
Engine and Performance,"Electric energy consumption, NEDC (kWh/100 km)",28.6
Engine and Performance,"Electric energy consumption, WLTP (kWh/100 km)",33.5
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),41.7
Fuel Consumption and CO2 Emission,Combined CO2 (g/km),54
Wheels and Tyres,Light alloy wheels,"23"" M light-alloy wheels star spoke Bicolour"
Wheels and Tyres,Tyre size,Front: 10 J × 23 / tyres 275/35 R23Rear: 11 J × 23 / tyres 315/30 R23
Dimension,Length / width / height (mm),"5,110 / 2,005 / 1,755"
Dimension,Luggage capacity (l),"527 - 1,820"
Dimension,Curb weight (kg),"2,785"
Drivetrain and Technology,8-speed M Steptronic transmission with Drivelogic,■
Drivetrain and Technology,M xDrive,■
Drivetrain and Technology,M Sport differential,■
Drivetrain and Technology,Adaptive M Suspension Professional,■
Drivetrain and Technology,Driving Assistant Professional including Active Cruise Control with Stop&Go function,■
Drivetrain and Technology,Parking Assistant Plus,■
Exterior Equipment,BMW kidney 'Iconic Glow',■
Exterior Equipment,"M Sport brake, black high-gloss",■
Exterior Equipment,Comfort Access System,■
Exterior Equipment,Soft-close function for doors,■
Exterior Equipment,Travel & Comfort System,■
Exterior Equipment,High-beam Assistant,■
Exterior Equipment,Adaptive LED headlights,■
Interior Equipment,M Multifunctional Seats for Driver and Front Passenger,■
Interior Equipment,M Interior Trim Finishers 'Carbon Fibre',■
Interior Equipment,Ambient light,■
Interior Equipment,"Cupholder, Temperate",■
Interior Equipment,Seat heating for driver and front passenger,■
Interior Equipment,Active seat ventilation in the front seats,■
Interior Equipment,Massage function front,■
Interior Equipment,BMW Individual instrument panel finished in leather,■
Interior Equipment,Automatic air conditioning with 4-zone control,■
Interior Equipment,M leather steering wheel,■
Interior Equipment,M seat belts,■
Entertainment and Communication,BMW Live Cockpit Professional,■
Entertainment and Communication,ConnectedDrive Services,■
Entertainment and Communication,Bowers & Wilkins Diamond surround sound system,■
Entertainment and Communication,BMW IconicSounds Electric,■
Entertainment and Communication,Smartphone integration,■
Entertainment and Communication,BMW Connected Package Professional,■
Safety,Airbag for driver and front passenger,■
Safety,Side airbags for driver and passenger,■
Safety,Head airbags for 1stand 2ndseat row,■
Safety,Teleservices,■
Safety,ISOFIX child seat mounting,■
Safety,Dynamic Stability Control (DSC),■
Safety,Anti-lock braking system (ABS),■
Safety,Brake Assist,■
Safety,Crash sensor,■
Safety,Active Protection,■
Safety,Acoustic protection for pedestrians,■
Safety,Passive protection for pedestrians,■
Safety,Tyre pressure monitoring system,■
Safety,Tyre Repair Kit,■
Line / package,M Driver's Package,■
Document References,Publication Date,27 February 2025
Document References,Package Code (Local Pack),"(ZFX, Z3P, Z4F)"
