Category,Topic,XM Label Red
Engine and Performance,Engine type,M TwinPower Turbo V8-cylinder petrol engine
Engine and Performance,Displacement (cm3),"4,395"
Engine and Performance,Engine power (kW/hp/rpm),"430 / 585 / 5,600 - 6,500"
Engine and Performance,Engine torque (Nm/rpm),"750 / 1,800 - 5,400"
Engine and Performance,Electric motor power (kW/hp),145 / 197
Engine and Performance,Electric motor torque (Nm),280
Engine and Performance,"Electrical range1, NEDC (km)",96
Engine and Performance,"Electric range1, WLTP (km)",76 - 82
Engine and Performance,High voltage battery energy content (kWh),29.5
Engine and Performance,System output (kW/hp),550 / 748
Engine and Performance,System torque (Nm),"1,000"
Engine and Performance,Top speed (km/h),290
Engine and Performance,Top speed electric (km/h),140
Engine and Performance,0 - 100 km/h (s),3.8
Engine and Performance,"Electric energy consumption, NEDC (kWh/100 km)",26.3
Engine and Performance,"Electric energy consumption, WLTP (kWh/100 km)",33.5
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),41.7
Fuel Consumption and CO2 Emission,Combined CO2 (g/km),54
Wheels and Tyres,Light alloy wheels,"22"" M light-alloy wheels double spoke Bicolour Red accent"
Wheels and Tyres,Tyre size,Front: 10 J × 22 / tyres 275/40 R 22Rear: 11 J × 22 / tyres 315/35 R 22
Dimension,Length / width / height (mm),"5,110 / 2,005 / 1,755"
Dimension,Luggage capacity (l),"527 - 1,820"
Dimension,Curb weight (kg),"2,795"
Drivetrain and Technology,8-speed M Steptronic transmission with Drivelogic,■
Drivetrain and Technology,M xDrive,■
Drivetrain and Technology,M Sport differential,■
Drivetrain and Technology,Adaptive M Suspension Professional,■
Drivetrain and Technology,Driving Assistant Professional,■
Drivetrain and Technology,Parking Assistant Plus,■
Exterior Equipment,BMW kidney 'Iconic Glow',■
Exterior Equipment,"M Sport brake, red high-gloss",■
Exterior Equipment,Comfort Access System,■
Exterior Equipment,Soft-close function for doors,■
Exterior Equipment,High-beam assistant,■
Interior Equipment,M Multifunctional Seats for Driver and Front Passenger,■
Interior Equipment,Carbon Fibre M Signature interior trim,■
Interior Equipment,Ambient light,■
Interior Equipment,"Cupholder, Temperate",■
Interior Equipment,Seat heating front and rear,■
Interior Equipment,Active seat ventilation in the front seats,■
Interior Equipment,Massage function front,■
Interior Equipment,M seat belts,■
Interior Equipment,Travel & Comfort System,■
Entertainment and Communication,BMW Live Cockpit Professional,■
Entertainment and Communication,BMW ConnectedDrive Services,■
Entertainment and Communication,Bowers & Wilkins Diamond surround sound system,■
Entertainment and Communication,BMW IconicSounds Electric,■
Entertainment and Communication,Smartphone Integration,■
Entertainment and Communication,Wireless charging tray,■
Safety,Airbag for driver and front passenger,■
Safety,Side airbags for driver and passenger,■
Safety,Head airbags for 1stand 2ndseat row,■
Safety,Teleservices,■
Safety,ISOFIX child seat mounting,■
Safety,Dynamic Stability Control (DSC),■
Safety,Anti-lock braking system (ABS),■
Safety,Crash sensor,■
Safety,Active Protection,■
Safety,Acoustic protection for pedestrians,■
Safety,Tyre pressure monitoring system,■
Safety,Tyre Repair Kit,■
Line / package,M Driver's Package,■
Paintwork & Upholstery,Frozen Carbon Black Metallic,BMW Individual leather 'Merino' with exclusive contents - Fiona Red/Black
Document References,Publication Date,27 February 2025
Document References,Package Code (Local Pack),"(ZJD, Z4H)"
