Category,Topic,XM 50e,XM 50e (Shadow Line)
Engine and Performance,Engine type,M TwinPower Turbo 6-cylinder inline petrol engine,M TwinPower Turbo 6-cylinder inline petrol engine
Engine and Performance,Displacement (cm3),"2,998","2,998"
Engine and Performance,Engine power (kW/hp/rpm),"230 / 313 / 5,000 - 6,500","230 / 313 / 5,000 - 6,500"
Engine and Performance,Engine torque (Nm/rpm),"450 / 1,750 - 4,700","450 / 1,750 - 4,700"
Engine and Performance,Electric motor power (kW/hp),145 / 197,145 / 197
Engine and Performance,Electric motor torque (Nm),280,280
Engine and Performance,"Electric range1, NEDC (km)",101,101
Engine and Performance,"Electric range1, WLTP (km)",78 - 84,78 - 84
Engine and Performance,High voltage battery energy content (kWh),29.5,29.5
Engine and Performance,System output (kW/hp),350 / 476,350 / 476
Engine and Performance,System torque (Nm),700,700
Engine and Performance,Top speed (km/h),250,250
Engine and Performance,Top speed electric (km/h),140,140
Engine and Performance,0 - 100 km/h (s),5.1,5.1
Engine and Performance,"Electric energy consumption, NEDC (kWh/100 km)",25.2,25.2
Engine and Performance,"Electric energy consumption, WLTP (kWh/100 km)",32.2,32.2
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),52.6,52.6
Fuel Consumption and CO2 Emission,Combined CO2 (g/km),44,44
Wheels and Tyres,Light alloy wheels,"22"" M light-alloy wheels double spoke Bicolour","23"" M light-alloy wheels star spoke Bicolour"
Wheels and Tyres,Tyre size,Front: 10 J × 22 / tyres 275/40 R 22Rear: 11 J × 22 / tyres 315/35 R 22,Front: 10 J × 23 / tyres 275/35 R 23Rear: 11 J × 23 / tyres 315/30 R 23
Dimension,Length / width / height (mm),"5,110 / 2,005 / 1,755","5,110 / 2,005 / 1,755"
Dimension,Luggage capacity (l),"527 - 1,820","527 - 1,820"
Dimension,Curb weight (kg),"2,695","2,695"
Drivetrain and Technology,8-speed M Steptronic transmission with Drivelogic,■,■
Drivetrain and Technology,Adaptive M Suspension Professional,■,■
Drivetrain and Technology,Driving Assistant Professional,■,■
Drivetrain and Technology,Parking Assistant Plus,■,■
Exterior Equipment,BMW kidney 'Iconic Glow',■,■
Exterior Equipment,M High-gloss Shadowline with Extended Contents,-,■
Exterior Equipment,"M Sport brake, black high-gloss",■,■
Exterior Equipment,Comfort Access System,■,■
Exterior Equipment,Soft-close function for doors,■,■
Exterior Equipment,High-beam assistant,■,■
Interior Equipment,M Multifunctional Seats for Driver and Front Passenger,■,■
Interior Equipment,M Interior Trim Finishers 'Carbon Fibre',■,■
Interior Equipment,Ambient light,■,■
Interior Equipment,"Cupholder, Temperate",■,■
Interior Equipment,Seat heating front and rear,■,■
Interior Equipment,Active seat ventilation in the front seats,■,■
Interior Equipment,Massage function front,■,■
Interior Equipment,M seat belts,■,■
Interior Equipment,Travel & Comfort System,■,■
Entertainment and Communication,BMW Live Cockpit Professional,■,■
Entertainment and Communication,BMW ConnectedDrive Services,■,■
Entertainment and Communication,Harman Kardon surround sound system,■,-
Entertainment and Communication,Bowers & Wilkins Diamond surround sound system,-,■
Entertainment and Communication,BMW IconicSounds Electric,■,■
Entertainment and Communication,Smartphone Integration,■,■
Entertainment and Communication,Wireless charging tray,■,■
Safety,Airbag for driver and front passenger,■,■
Safety,Side airbags for driver and passenger,■,■
Safety,Head airbags for 1st and 2nd seat row,■,■
Safety,Teleservices,■,■
Safety,ISOFIX child seat mounting,■,■
Safety,Dynamic Stability Control (DSC),■,■
Safety,Anti-lock braking system (ABS),■,■
Safety,Crash sensor,■,■
Safety,Active Protection,■,■
Safety,Acoustic protection for pedestrians,■,■
Safety,Tyre pressure monitoring system,■,■
Safety,Tyre Repair Kit,■,■
Safety,Front Collision Warning with brake intervention consists of Collision,■,■
Safety,Pedestrian Warning with city braking function,■,■
Safety,Lane Departure Warning with lane return,■,■
Safety,Lane Change Warning,■,■
Safety,Rear crossing traffic warning,■,■
Safety,Rear Collision Prevention,■,■
Safety,Active cruise control with Stop&Go function,■,■
Safety,Steering and Lane Control Assistant,■,■
Safety,Emergency Stop Assistant,■,■
Safety,Lane Change Assistant,■,■
Safety,Lane Keeping Assistant with active side collision protection,■,■
Safety,Front crossing traffic warning,■,■
Safety,Evasion Assistant,■,■
Safety,Crossroads Warning with city braking function,■,■
Paintwork & Upholstery,Marina Bay Blue Metallic,"BMW Individual leather 'Merino' - Black, BMW Individual leather 'Merino' - Sakhir Orange","BMW Individual leather 'Merino' - Black, BMW Individual leather 'Merino' - Sakhir Orange"
Paintwork & Upholstery,Toronto Red Metallic,"BMW Individual leather 'Merino' - Black, BMW Individual leather 'Merino' - Sakhir Orange","BMW Individual leather 'Merino' - Black, BMW Individual leather 'Merino' - Sakhir Orange"
Paintwork & Upholstery,Isle of Man Green Metallic,"BMW Individual leather 'Merino' - Black, BMW Individual leather 'Merino' - Sakhir Orange","BMW Individual leather 'Merino' - Black, BMW Individual leather 'Merino' - Sakhir Orange"
Paintwork & Upholstery,Sao Paulo Yellow Solid,"BMW Individual leather 'Merino' - Black, BMW Individual leather 'Merino' - Sakhir Orange","BMW Individual leather 'Merino' - Black, BMW Individual leather 'Merino' - Sakhir Orange"
Paintwork & Upholstery,Black Sapphire Metallic,"BMW Individual leather 'Merino' - Black, BMW Individual leather 'Merino' - Sakhir Orange","BMW Individual leather 'Merino' - Black, BMW Individual leather 'Merino' - Sakhir Orange"
Paintwork & Upholstery,Mineral White Metallic,"BMW Individual leather 'Merino' - Black, BMW Individual leather 'Merino' - Sakhir Orange","BMW Individual leather 'Merino' - Black, BMW Individual leather 'Merino' - Sakhir Orange"
Document References,Publication Date,27 February 2025,27 February 2025
Document References,Package Code (Local Pack),"((Z3R, Z4J, Z6D, Z8R))","((ZJC, Z4K, Z6C, Z8Q, Z8X, Z9Y))"
