Category,Topic,Z4 sDrive30i M Sport,Z4 M40i
Engine and Performance,Engine type,BMW TwinPower Turbo 4-cylinder petrol engine,BMW TwinPower Turbo 6-cylinder petrol engine
Engine and Performance,Displacement (cm³),"1,998","2,998"
Engine and Performance,Engine power (kW/hp/rpm),"190 / 258 / 5,000 - 6,500","285 / 387 / 5,800 - 6,500"
Engine and Performance,Engine torque (Nm/rpm),"400 / 1,550 - 4,400","500 / 1,800 - 5,000"
Engine and Performance,Top speed (km/h),250,250
Engine and Performance,0 - 100 km/h (s),5.4,4.1
Fuel Consumption and CO2 Emission,Combined fuel consumption from ECO Sticker result (km/l),15.9,13.3
Fuel Consumption and CO2 Emission,Combined CO2 (g/km),150,171
Wheels and Tyres,Light alloy wheels,"19"" M light alloy wheels Double-spoke style, Bicolour","19"" M light alloy wheels Double-spoke style, Bicolour"
Wheels and Tyres,Tyre size,Front: 9 J x 19 / tyres 255/35 R 19 Rear: 10 J x 19 / tyres 275/35 R 19,Front: 9 J x 19 / tyres 255/35 R 19 Rear: 10 J x 19 / tyres 275/35 R 19
Dimension,Length / width / height (mm),"4,234 / 1,864 / 1,304","4,234 / 1,864 / 1,304"
Dimension,Luggage capacity (l),281,281
Dimension,Curb weight (kg),"1,505","1,610"
Drivetrain and Technology,8-speed Steptronic Sport transmission,■,■
Drivetrain and Technology,M Sport differential,-,■
Drivetrain and Technology,Adaptive M suspension,-,■
Drivetrain and Technology,M Sport suspension,■,-
Drivetrain and Technology,Variable sport steering,■,■
Drivetrain and Technology,Active cruise control with Stop&Go function,■,■
Drivetrain and Technology,BMW Head-up display,-,■
Drivetrain and Technology,Parking Assistant with Rear view camera,■,■
Drivetrain and Technology,Automatic Start/Stop function,■,■
Drivetrain and Technology,Follow-me-home function,■,■
Drivetrain and Technology,Welcome light,■,■
Exterior Equipment,Adaptive LED headlights,■,■
Exterior Equipment,High-beam assistant,■,■
Exterior Equipment,M Sport brake,■,■
Exterior Equipment,Comfort access system,■,■
Exterior Equipment,M Aerodynamics package,■,■
Exterior Equipment,BMW Individual high-gloss Shadow Line,-,■
Interior Equipment,Interior and exterior mirrors with automatic anti-dazzle function,■,■
Interior Equipment,Leather Vernasca,■,■
Interior Equipment,"Seat adjustment, electric, with memory",■,■
Interior Equipment,M Sport leather steering wheel,■,■
Interior Equipment,M seat belts,-,■
Interior Equipment,Instrument panel in Sensatec,■,■
Interior Equipment,Lights package,■,■
Interior Equipment,Interior trim finishers Aluminium Tetragon,■,■
Interior Equipment,2-Zone Automatic air conditioning,■,■
Interior Equipment,Storage compartment package,■,■
Entertainment and Communication,BMW Live Cockpit Professional,■,■
Entertainment and Communication,BMW ConnectedDrive,■,■
Entertainment and Communication,HiFi loudspeaker system,■,-
Entertainment and Communication,Harman Kardon surround sound system,-,■
Entertainment and Communication,Smartphone integration,■,■
Safety,Airbag for driver and front passenger,■,■
Safety,Side airbags for driver and front passenger,■,■
Safety,Teleservices,■,■
Safety,Intelligent Emergency Call,■,■
Safety,Dynamic Stability Control (DSC),■,■
Safety,Dynamic Traction Control (DTC),■,■
Safety,Anti-lock Brake System (ABS),■,■
Safety,Dynamic braking lights,■,■
Safety,Crash sensor,■,■
Safety,Side impact protection,■,■
Safety,Roll-over protection system in rear headrests,■,■
Safety,Tyre Pressure Monitoring System,■,■
Safety,Tyre Repair Kit,■,■
Line / package,M Sport,■,-
Paintwork & Upholstery,Alpine White Solid,Leather 'Vernasca' - Magma Red decor stitching | Black,Leather 'Vernasca' - Magma Red decor stitching | Black
Paintwork & Upholstery,Black Sapphire Metallic,Leather 'Vernasca' - Magma Red decor stitching | Black,Leather 'Vernasca' - Magma Red decor stitching | Black
Paintwork & Upholstery,Frozen Grey II Metallic,-,Leather 'Vernasca' - Magma Red decor stitching | Black
Paintwork & Upholstery,San Francisco Red Metallic,Leather 'Vernasca' - Black decor stitching | Black,Leather 'Vernasca' - Black decor stitching | Black
Paintwork & Upholstery,Thundernight Metallic,Leather 'Vernasca' - Black decor stitching | Black,Leather 'Vernasca' - Black decor stitching | Black
Paintwork & Upholstery,Skyscraper Grey Metallic,Leather 'Vernasca' - Magma Red decor stitching | Black,Leather 'Vernasca' - Magma Red decor stitching | Black
Paintwork & Upholstery,San Remo Green Metallic,Leather 'Vernasca' - Black decor stitching | Black,Leather 'Vernasca' - Black decor stitching | Black
Paintwork & Upholstery,Frozen Deep Green II Metallic,-,Leather 'Vernasca' - Black decor stitching | Black
Document References,Publication Date,10 June 2024,10 June 2024
Document References,Package Code (Local Pack),(Z5L),(Z5X)
Notes,"* The privilege of purchasing package up to 5 years unlimited mileage warranty and 5 years of maintenance or 100,000 km. (whichever comes first).",-,-
Notes,"BMW reserves the right to change all information, specifications and illustrations without prior notice and is not responsible for typographical errors.",-,-
