Category,Topic,220 Gran Coupe M Sport Pro
เครื่องยนต์และสมรรถนะ,ชนิดเครื่องยนต์,เครื่องยนต์เบนซิน 4 สูบ เทคโนโลยี TwinPower Turbo
เครื่องยนต์และสมรรถนะ,ปริมาตรกระบอกสูบ (ลูกบาศก์เซนติเมตร),"1,998"
เครื่องยนต์และสมรรถนะ,กำลังสูงสุด (กิโลวัตต์/แรงม้า/รอบต่อนาที),"150 / 204 / 5,000 - 6,500"
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร/รอบต่อนาที),"300 / 1,450 - 4,500"
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),250
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),7.3
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,อัตราสิ้นเปลืองน้ำมันเชื้อเพลิงเฉลี่ย - อ้างอิงผล ECO Sticker (กิโลเมตร/ลิตร),15.4
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,ระดับการปล่อย CO2 เฉลี่ย (กรัม/กิโลเมตร),147
ล้อและยาง,ล้อ,ล้ออัลลอย M ขนาด 19 นิ้ว ลาย Y-spoke Bicolour
ล้อและยาง,ขนาดยาง,8 J × 19 / ยาง 225/40 R19
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"4,546 / 1,800 / 1,445"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),430
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"1,525"
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ 7 จังหวะแบบ Steptronic พร้อมคลัตช์คู่และ Gearshift Paddles,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่าง Adaptive M,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ (Driving Assistant),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่รุ่น Plus (Driving Assistant Plus),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ รุ่น Plus (Parking Assistant Plus),■
อุปกรณ์ภายนอก,ระบบไฟหน้า LED อัจฉริยะ (Adaptive LED),■
อุปกรณ์ภายนอก,ระบบปรับการทำงานไฟสูงอัตโนมัติ (High-beam Assistant),■
อุปกรณ์ภายนอก,คาลิเปอร์เบรกดีไซน์ M Sport สีแดงเงา,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ (Comfort Access System),■
อุปกรณ์ภายนอก,หลังคากระจก Panorama เปิด-ปิดด้วยระบบไฟฟ้า,■
อุปกรณ์ภายนอก,กระจังหน้า BMW kidney 'Iconic Glow',■
อุปกรณ์ภายนอก,โคมไฟหน้าตกแต่งสีดำ (M Lights Shadowline),■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยวัสดุสีดำเงา,■
อุปกรณ์ภายนอก,ภายนอกพร้อมชุดแต่งตกแต่งด้วยวัสดุสีดำเงา,■
อุปกรณ์ภายนอก,สปอยเลอร์หลังดีไซน์ M,■
อุปกรณ์ภายใน,กระจกมองข้างฝั่งคนขับและกระจกมองหลังตัดแสงอัตโนมัติ,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าปรับไฟฟ้าพร้อมระบบจำตำแหน่งเฉพาะฝั่งคนขับ,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าดีไซน์ Sport,■
อุปกรณ์ภายใน,พวงมาลัยหุ้มหนังดีไซน์ M,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร (Ambient Light),■
อุปกรณ์ภายใน,เพดานหลังคาภายในดีไซน์ M สี Anthracite,■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยอะลูมิเนียมแกรไฟต์แบบเรืองแสง,■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติแบบ 2 โซน,■
อุปกรณ์ภายใน,ระบบกล้องภายในรถ,■
อุปกรณ์ภายใน,เข็มขัดนิรภัยดีไซน์ M,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW Head-up Display,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■
ระบบความบันเทิงและการสื่อสาร,ระบบเครื่องเสียง HiFi loudspeaker Harman Kardon,■
