Category,Topic,320d M Sport,330e M Sport,M340i xDrive
เครื่องยนต์และสมรรถนะ,ชนิดเครื่องยนต์,เครื่องยนต์ดีเซล 4 สูบ เทคโนโลยี TwinPower Turbo,เครื่องยนต์เบนซิน 4 สูบ เทคโนโลยี TwinPower Turbo,เครื่องยนต์เบนซิน 6 สูบ เทคโนโลยี TwinPower Turbo
เครื่องยนต์และสมรรถนะ,ปริมาตรกระบอกสูบ (ลูกบาศก์เซนติเมตร),"1,995","1,998","2,998"
เครื่องยนต์และสมรรถนะ,กำลังสูงสุด (กิโลวัตต์/แรงม้า/รอบต่อนาที),"140 / 190 / 4,000","135 / 184 / 5,000 - 6,500","285 / 387 / 5,800 - 6,500"
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร/รอบต่อนาที),"400 / 1,750 - 2,500","300 / 1,350 - 4,000","500 / 1,900 - 5,000"
เครื่องยนต์และสมรรถนะ,กำลังมอเตอร์ไฟฟ้าสูงสุด (กิโลวัตต์/แรงม้า),-,80 / 109,-
เครื่องยนต์และสมรรถนะ,แรงบิดมอเตอร์ไฟฟ้าสูงสุด (นิวตันเมตร),-,265,-
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า¹, มาตรฐาน NEDC (กิโลเมตร)",-,101,-
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า¹, มาตรฐาน WLTP (กิโลเมตร)",-,85 - 101,-
เครื่องยนต์และสมรรถนะ,ความจุพลังงานแบตเตอรี่ไฟฟ้าแรงสูง (กิโลวัตต์-ชั่วโมง),-,22.3,-
เครื่องยนต์และสมรรถนะ,กำลังรวมสูงสุด (กิโลวัตต์/แรงม้า),140 / 190,215 / 292,285 / 387
เครื่องยนต์และสมรรถนะ,แรงบิดรวมสูงสุด (นิวตันเมตร),400,420,500
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),235,230,250
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),7.0,5.9,4.3
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน NEDC (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",-,19.2,-
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน WLTP (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",-,23.4 - 20.7,-
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,อัตราสิ้นเปลืองน้ำมันเชื้อเพลิงเฉลี่ย - อ้างอิงผล ECO Sticker (กิโลเมตร/ลิตร),23.8,71.4,13.3
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,ระดับการปล่อย CO2 เฉลี่ย (กรัม/กิโลเมตร),112,33,171
ล้อและยาง,ล้อ,ล้ออัลลอย M ขนาด 18 นิ้ว ลาย Double-spoke Bicolour,ล้ออัลลอย M ขนาด 19 นิ้ว ลาย Double-spoke Bicolour,ล้ออัลลอย BMW Individual ขนาด 19 นิ้ว ลาย Y-spoke Bicolour
ล้อและยาง,ขนาดยาง,7.5 J × 18 / ยาง 225/45 R 18,ล้อหน้า: 8 J × 19 / ยาง 225/40 R 19 ล้อหลัง: 8.5 J × 19 / ยาง 255/35 R 19,ล้อหน้า: 8 J × 19 / ยาง 225/40 R 19 ล้อหลัง: 8.5 J × 19 / ยาง 255/35 R 19
ล้อและยาง,ยาง Runflat,■,■,■
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"4,713 × 1,827 × 1,440","4,713 × 1,827 × 1,446","4,714 × 1,827 × 1,440"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),480,375,480
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"1,530","1,910","1,745"
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ 8 จังหวะแบบ Sport Steptronic,■,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่าง Adaptive M,■,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบเฟืองท้าย M Sport,-,-,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบ Sport-boost,-,■,-
ระบบขับเคลื่อนและเทคโนโลยี,พวงมาลัยไฟฟ้าแปรผันตามการหมุนและความเร็ว,■,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบควบคุมความเร็วอัตโนมัติ พร้อมฟังก์ชัน Stop&Go (Active cruise control with Stop&Go function),■,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ (Driving Assistant),■,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ (Parking Assistant),■,-,-
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ รุ่น Plus (Parking Assistant Plus),-,■,■
อุปกรณ์ภายนอก,ระบบไฟหน้าแบบ Adaptive LED,■,■,■
อุปกรณ์ภายนอก,ระบบปรับการทำงานไฟสูงอัตโนมัติ (High-beam Assistant),■,■,■
อุปกรณ์ภายนอก,"คาลิเปอร์เบรกดีไซน์ M Sport, สีแดงเงา",-,■,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ (Comfort Access System),■,■,■
อุปกรณ์ภายนอก,ระบบเปิด-ปิดบานประตูท้ายอัตโนมัติด้วยระบบไฟฟ้า,■,■,■
อุปกรณ์ภายนอก,หลังคากระจกเปิด-ปิดด้วยระบบไฟฟ้า,-,■,■
อุปกรณ์ภายนอก,ชุดตกแต่ง M Aerodynamics,■,■,■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยวัสดุสีดำเงา,■,■,■
อุปกรณ์ภายนอก,ภายนอกพร้อมชุดแต่งตกแต่งด้วยวัสดุสีดำเงา,-,■,■
อุปกรณ์ภายนอก,โคมไฟหน้าตกแต่งสีดำ (M Lights Shadowline),-,■,■
อุปกรณ์ภายนอก,สปอยเลอร์ท้ายดีไซน์ M,-,■,■
อุปกรณ์ภายใน,ภายในตกแต่งดีไซน์ M ด้วยวัสดุอะลูมิเนียมแบบ Fine-Brushed,■,-,-
อุปกรณ์ภายใน,ภายในตกแต่งดีไซน์ M ด้วยอะลูมิเนียมลาย Rhombicle Anthracite,-,■,-
อุปกรณ์ภายใน,ภายในตกแต่งดีไซน์ M ด้วยวัสดุ Carbon Fibre,-,-,■
อุปกรณ์ภายใน,กระจกมองข้างฝั่งคนขับและกระจกมองหลังตัดแสงอัตโนมัติ,■,■,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าปรับช่วงหลังล่างได้,■,■,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าปรับไฟฟ้าพร้อมระบบจำตำแหน่งเฉพาะฝั่งคนขับ,■,■,■
อุปกรณ์ภายใน,พนักพิงฝั่งคนขับปรับความกว้างได้,■,■,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าดีไซน์ Sport,■,■,■
อุปกรณ์ภายใน,พวงมาลัยหุ้มหนังดีไซน์ M,■,■,-
อุปกรณ์ภายใน,พวงมาลัยหุ้มหนังดีไซน์ M แบบ M Performance,-,-,■
อุปกรณ์ภายใน,คอนโซลด้านบนแบบ Luxury,■,■,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร (Ambient Light),■,■,■
อุปกรณ์ภายใน,หลังคาภายในดีไซน์ M สี Anthracite,■,■,■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติแบบ 3 โซน,■,■,■
อุปกรณ์ภายใน,ฟังก์ชันช่วยการจัดเก็บสัมภาระ,■,■,■
อุปกรณ์ภายใน,เบาะตอนหลังแบบพับได้,■,■,■
อุปกรณ์ภายใน,เข็มขัดนิรภัยดีไซน์ M,-,■,■
อุปกรณ์ภายใน,ที่รองศีรษะเบาะตอนหลังพับได้,■,■,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW Connected Package Professional,■,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบจำลองเสียงเครื่องยนต์ Iconic sounds electric,-,■,-
ระบบความบันเทิงและการสื่อสาร,ระบบชาร์จโทรศัพท์แบบไร้สาย,■,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบเครื่องเสียง HiFi loudspeaker,■,-,-
ระบบความบันเทิงและการสื่อสาร,ระบบเครื่องเสียงรอบทิศทาง Harman Kardon,-,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบเชื่อมต่อ Smartphone,■,■,■
ระบบความบันเทิงและการสื่อสาร,ระบบ eSIM ส่วนบุคคล (Personal eSIM),■,■,■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■,■,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■,■,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง(ยกเว้นผู้โดยสารตอนหลังกลาง),■,■,■
ความปลอดภัย,ระบบ Teleservices,■,■,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■,■,■
ความปลอดภัย,ระบบติดตั้งคาร์ซีทแบบ ISOFIX,■,■,■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■,■,■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■,■,■
ความปลอดภัย,ระบบช่วยเสริมแรงเบรกอัตโนมัติ (Brake Assist),■,■,■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■,■,■
ความปลอดภัย,ระบบสร้างเสียงจำลองเตือนผู้ใช้ถนนรอบข้าง,-,■,-
ความปลอดภัย,ระบบตรวจวัดลมยาง,■,■,■
ความปลอดภัย,ป้ายสามเหลี่ยมเตือนสะท้อนแสง,■,■,■
ชุดตกแต่งพิเศษ,ชุดตกแต่ง M Sport,■,■,-
ชุดตกแต่งพิเศษ,ชุดตกแต่ง M Sport Pro,-,■,■
Paintwork,Brooklyn Grey Metallic,Leather 'Vernasca' - Black decor stitching,Leather 'Vernasca' - Black Decor Stitching,Leather 'Vernasca' - Black/Contrast Stitching Blue | Black
Paintwork,Portimao Blue Metallic,Leather 'Vernasca' - Black decor stitching,-,-
Paintwork,Mineral White Metallic,Leather 'Vernasca' - Mocha Decor Stitching,Leather 'Vernasca' - Mocha Decor Stitching,Leather 'Vernasca' - Black/Contrast Stitching Blue | Black
Paintwork,Black Sapphire Metallic,Leather 'Vernasca' - Mocha Decor Stitching,Leather 'Vernasca' - Mocha Decor Stitching,Leather 'Vernasca' - Black/Contrast Stitching Blue | Black
Paintwork,Dravit Grey Metallic,-,-,Leather 'Vernasca' - Black/Contrast Stitching Blue | Black
หมายเหตุ,¹ ระยะทางขึ้นอยู่กับพฤติกรรมการขับขี่ของแต่ละบุคคล ลักษณะเส้นทาง อุณหภูมิภายนอก และการควบคุมระบบปรับอากาศ,-,-,-
หมายเหตุ,"* รับสิทธิ์เลือกแพคเกจการรับประกันนานสูงสุด 5 ปี ไม่จำกัดระยะทาง และการบริการดูแลบำรุงรักษาสูงสุด 5 ปี หรือ 100,000 กม. (แล้วแต่ระยะใดถึงก่อน)",-,-,-
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,3 กรกฎาคม  2568,3 กรกฎาคม  2568,3 กรกฎาคม  2568
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),"(Z7J, Z8G)","(Z7G, Z7U)","(Z7H, Z8H)"
