Category,Topic,320Li M Sport
เครื่องยนต์และสมรรถนะ,ชนิดเครื่องยนต์,เครื่องยนต์เบนซิน 4 สูบ เทคโนโลยี BMW TwinPower Turbo
เครื่องยนต์และสมรรถนะ,ปริมาตรกระบอกสูบ (ลูกบาศก์เซนติเมตร),"1,998"
เครื่องยนต์และสมรรถนะ,กําลังสูงสุด (กิโลวัตต์/แรงม้า/รอบต่อนาที),"135 / 184 / 5,000 - 6,500"
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร/รอบต่อนาที),"300 / 1,350 - 4,000"
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),233
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),7.9
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,อัตราสิ้นเปลืองน้ำมันเชื้อเพลิงเฉลี่ย - อ้างอิงผล ECO Sticker (กิโลเมตร/ลิตร),16.7
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,ระดับการปล่อย CO2 เฉลี่ย (กรัม/กิโลเมตร),137
ล้อและยาง,ล้อ,ล้ออัลลอย M ขนาด 18 นิ้ว ลาย Double-spoke แบบสลับสี
ล้อและยาง,ขนาดยาง,"หน้า: 7.5 J × 18, 225/45 R 18 หลัง: 8.5 J × 18, 255/40 R 18"
ล้อและยาง,ยาง Runflat,■
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"4,823 / 1,827 / 1,441"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),480
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"1,680"
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ 8 จังหวะ แบบ Sport Steptronic,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบควบคุมความเร็วอัตโนมัติ พร้อมฟังก์ชัน Stop&Go (Active cruise control with Stop&Go function),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ (Driving Assistant),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ (Parking Assistant),■
อุปกรณ์ภายนอก,ระบบปรับการทำงานไฟสูงอัตโนมัติ (High-beam Assistant),■
อุปกรณ์ภายนอก,ระบบเปิด-ปิดบานประตูท้ายอัตโนมัติด้วยระบบไฟฟ้า,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ (Comfort Access System),■
อุปกรณ์ภายนอก,ชุดตกแต่ง M Aerodynamics,■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยวัสดุสีดำเงา,■
อุปกรณ์ภายนอก,ภายนอกพร้อมชุดแต่งตกแต่งด้วยวัสดุสีดำเงา,■
อุปกรณ์ภายใน,กระจกมองข้างและกระจกมองหลังตัดแสงอัตโนมัติ,■
อุปกรณ์ภายใน,พวงมาลัยหุ้มหนังดีไซน์ M,■
อุปกรณ์ภายใน,คอนโซลด้านบนแบบ Luxury,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าปรับช่วงหลังล่างได้,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร (Ambient Light),■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยลายไม้สี Ash Grey Blue,■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติแบบ 3 โซน,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW Connected Package Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบเครื่องเสียง HiFi loudspeaker,■
ระบบความบันเทิงและการสื่อสาร,ระบบเชื่อมต่อ Smartphone,■
ระบบความบันเทิงและการสื่อสาร,ระบบชาร์จโทรศัพท์แบบไร้สาย,■
ระบบความบันเทิงและการสื่อสาร,ระบบ eSIM ส่วนบุคคล (Personal eSIM),■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง (ยกเว้นผู้โดยสารตอนหลังกลาง),■
ความปลอดภัย,ระบบ Teleservices,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■
ความปลอดภัย,ระบบควบคุมการยึดเกาะถนน (DTC),■
ความปลอดภัย,ระบบควบคุมแรงดันเบรกแบบแปรผัน (DBC),■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■
ความปลอดภัย,ระบบช่วยเสริมแรงเบรกอัตโนมัติ (Brake Assist),■
ความปลอดภัย,ระบบควบคุมการกระจายแรงเบรกขณะเข้าโค้ง (CBC),■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■
ความปลอดภัย,ระบบตรวจสอบวัดลมยาง,■
ความปลอดภัย,ระบบเตือนการชนด้านหน้าพร้อมระบบช่วยเบรก,■
ความปลอดภัย,ระบบเตือนคนเดินเท้าพร้อมระบบเบรกอัตโนมัติในเมือง,■
ความปลอดภัย,ระบบเตือนรถออกนอกเลนพร้อมช่วยนำรถกลับเข้าเลน,■
ความปลอดภัย,ระบบเตือนการเปลี่ยนเลน,■
ความปลอดภัย,ระบบเตือนการจราจรด้านหลัง,■
ความปลอดภัย,ระบบป้องกันการชนด้านหลัง,■
ความปลอดภัย,ระบบควบคุมความเร็วอัตโนมัติพร้อมฟังก์ชัน Stop&Go (Active cruise control with Stop&Go function),■
ชุดตกแต่งพิเศษ,ชุดตกแต่ง M Sport,■
Paintwork / สีตัวถังและวัสดุภายใน,Carbon Black Metallic,Leather 'Vernasca' - Cognac Decor Stitching
Paintwork / สีตัวถังและวัสดุภายใน,Mineral White Metallic,Leather 'Vernasca' - Mocha Decor Stitching
Paintwork / สีตัวถังและวัสดุภายใน,Brooklyn Grey Metallic,Leather 'Vernasca' - Mocha Decor Stitching
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,12 มกราคม 2569
ข้อมูลเอกสารอ้างอิง,รหัสแพ็กเกจ (Local Pack),"(Z7T, Z8V, Z9Z)"
