Category,Topic,530e Inspiring,520d M Sport,530e M Sport
เครื่องยนต์และสมรรถนะ,ชนิดเครื่องยนต์,เครื่องยนต์เบนซิน 4 สูบ เทคโนโลยี BMW TwinPower Turbo,เครื่องยนต์ดีเซล 4 สูบ เทคโนโลยี BMW TwinPower Turbo,เครื่องยนต์เบนซิน 4 สูบ เทคโนโลยี BMW TwinPower Turbo
เครื่องยนต์และสมรรถนะ,ปริมาตรกระบอกสูบ (ลูกบาศก์เซนติเมตร),"1,998","1,995","1,998"
เครื่องยนต์และสมรรถนะ,กำลังสูงสุด (กิโลวัตต์/แรงม้า/รอบต่อนาที),"140 / 190 / 4,400 - 6,500","145 / 197 / 4,000","140 / 190 / 4,400 - 6,500"
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร/รอบต่อนาที),"310 / 1,500 - 4,000","400 / 1,500 - 2,750","310 / 1,500 - 4,000"
เครื่องยนต์และสมรรถนะ,กำลังมอเตอร์ไฟฟ้าสูงสุด (กิโลวัตต์/แรงม้า),135 / 184,8 / 11,135 / 184
เครื่องยนต์และสมรรถนะ,แรงบิดมอเตอร์ไฟฟ้าสูงสุด (นิวตันเมตร),250,25,250
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า, มาตรฐาน NEDC (กิโลเมตร)",108,-,108
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า, มาตรฐาน WLTP (กิโลเมตร)",87 - 102,-,87 - 102
เครื่องยนต์และสมรรถนะ,ความจุพลังงานแบตเตอรี่ไฟฟ้าแรงสูง (กิโลวัตต์-ชั่วโมง),22.1,-,22.1
เครื่องยนต์และสมรรถนะ,กำลังรวมสูงสุด (กิโลวัตต์/แรงม้า),220 / 299,145 / 197,220 / 299
เครื่องยนต์และสมรรถนะ,แรงบิดรวมสูงสุด (นิวตันเมตร),450,400,450
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),230,233,230
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุดในการขับขี่แบบไฟฟ้า (กิโลเมตร/ชั่วโมง),140,-,140
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),6.3,7.3,6.3
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน NEDC (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",18.6,-,18.6
