Category,Topic,740d M Sport,750e xDrive M Sport
เครื่องยนต์และสมรรถนะ,ชนิดเครื่องยนต์,เครื่องยนต์ดีเซล 6 สูบ เทคโนโลยี BMW TwinPower Turbo,เครื่องยนต์เบนซิน 6 สูบ เทคโนโลยี BMW TwinPower Turbo
เครื่องยนต์และสมรรถนะ,ปริมาตรกระบอกสูบ (ลูกบาศก์เซนติเมตร),"2,993","2,998"
เครื่องยนต์และสมรรถนะ,กำลังสูงสุด (กิโลวัตต์/แรงม้า/รอบต่อนาที),"210 / 286 / 4,000","230 / 313 / 5,000-6,500"
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร/รอบต่อนาที),"650 / 1,500 - 2,500","450 / 1,750 - 4,700"
เครื่องยนต์และสมรรถนะ,กำลังมอเตอร์ไฟฟ้าสูงสุด (กิโลวัตต์/แรงม้า),13 / 18,145 / 197
เครื่องยนต์และสมรรถนะ,แรงบิดมอเตอร์ไฟฟ้าสูงสุด (นิวตันเมตร),200,280
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า1 , มาตรฐาน NEDC (กิโลเมตร)",-,85
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า1 , มาตรฐาน WLTP (กิโลเมตร)",-,83 - 87
เครื่องยนต์และสมรรถนะ,ความจุพลังงานแบตเตอรี่ไฟฟ้าแรงสูง (กิโลวัตต์-ชั่วโมง),-,22.1
เครื่องยนต์และสมรรถนะ,กำลังรวมสูงสุด (กิโลวัตต์/แรงม้า),220 / 299,360 / 489
เครื่องยนต์และสมรรถนะ,แรงบิดรวมสูงสุด (นิวตันเมตร),670,700
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),250,250
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),6,4.8
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน NEDC (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",-,20.05
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน WLTP (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",-,20.8 - 19.7
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,อัตราสิ้นเปลืองน้ำมันเชื้อเพลิงเฉลี่ย - อ้างอิงผล ECO Sticker (กิโลเมตร/ลิตร),17.9,55.6
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,ระดับการปล่อย CO2เฉลี่ย (กรัม/กิโลเมตร),150,40
ล้อและยาง,ล้อ,ล้ออัลลอย M aerodynamicขนาด 20 นิ้ว แบบสลับสี,ล้ออัลลอย M aerodynamicขนาด 20 นิ้ว แบบสลับสี
ล้อและยาง,ขนาดยาง,ล้อหน้า: 9J × 20 / tyres 255/45 R 20ล้อหลัง: 10.5 J × 20 tyres 285/40 R 20,ล้อหน้า: 9J × 20 / tyres 255/45 R 20ล้อหลัง: 10.5 J × 20 tyres 285/40 R 20
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"5,391 / 1,950 / 1,544","5,391 / 1,950 / 1,544"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),540,525
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"2,205","2,445"
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ 8 จังหวะ แบบ Sport Steptronic,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบขับเคลื่อนอัจฉริยะ 4 ล้อ xDrive,-,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ (Driving Assistant),■,-
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่รุ่น Plus (Driving Assistant Plus),■,-
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่รุ่น Professional(Driving Assistant Professional),-,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ รุ่น Plus(Parking Assistant Plus),■,-
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ รุ่น Professional(Parking Assistant Professional),-,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่างถุงลม Adaptive 2-axle,■,■
อุปกรณ์ภายนอก,หลังคากระจก Panorama,■,-
อุปกรณ์ภายนอก,หลังคากระจก Panorama Sky Lounge,-,■
อุปกรณ์ภายนอก,กระจังหน้า BMW kidney 'Iconic Glow',■,■
อุปกรณ์ภายนอก,ระบบไฟหน้า BMW crystal headlights Iconic Glow,-,■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยวัสดุสีดำเงา,■,■
อุปกรณ์ภายนอก,สปอยเลอร์หลังดีไซน์ M,■,■
อุปกรณ์ภายนอก,คาลิเปอร์เบรกดีไซน์ M Sport สีน้ำเงินเงา,■,■
อุปกรณ์ภายนอก,ชุดตกแต่งภายนอกแบบ M Sport,■,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ,■,■
อุปกรณ์ภายนอก,ระบบช่วยผ่อนแรงกระแทกขณะปิดประตู,■,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าและหลังพร้อมระบบ Heater,■,■
อุปกรณ์ภายใน,ฟังก์ชันนวดผ่อนคลายสำหรับผู้ขับขี่,■,■
อุปกรณ์ภายใน,ฟังก์ชันนวดผ่อนคลายสำหรับผู้โดยสารตอนหลัง,■,■
อุปกรณ์ภายใน,ระบบระบายอากาศสำหรับเบาะนั่งตอนหน้า,■,■
อุปกรณ์ภายใน,ระบบระบายอากาศสำหรับเบาะนั่งตอนหลัง,■,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าแบบ multifunctional,■,■
อุปกรณ์ภายใน,เบาะนั่งตอนหลังแบบ multifunctional,■,■
อุปกรณ์ภายใน,พวงมาลัยหุ้มหนังดีไซน์ M,■,■
อุปกรณ์ภายใน,ภายในห้องโดยสารตกแต่งด้วย Carbon Fibre ถักด้วยวัสดุสีเงินแบบ M คอนโซลกลางสีดำเงาแบบ Piano Finish Black,■,■
อุปกรณ์ภายใน,ภายในตกแต่งด้วยผลึกแก้ว 'CraftedClarity',-,■
