Category,Topic,iX2 xDrive30 M Sport
เครื่องยนต์และสมรรถนะ,มอเตอร์ไฟฟ้า,เทคโนโลยี BMW eDrive
เครื่องยนต์และสมรรถนะ,กำลังมอเตอร์ไฟฟ้าสูงสุด (กิโลวัตต์/แรงม้า),225 / 306
เครื่องยนต์และสมรรถนะ,กำลังมอเตอร์ไฟฟ้ารวมสูงสุด (กิโลวัตต์/แรงม้า),230 / 313
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร),494
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า¹ , มาตรฐาน NEDC (กิโลเมตร)",395
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า¹ , มาตรฐาน WLTP (กิโลเมตร)",417 - 449
เครื่องยนต์และสมรรถนะ,ชนิดแบตเตอรี่ (แรงดันสูง),ลิเธียม-ไอออน (Lithium-ion)
เครื่องยนต์และสมรรถนะ,ความจุพลังงานแบตเตอรี่ไฟฟ้าแรงสูง (กิโลวัตต์-ชั่วโมง),66.5
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),180
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),5.6
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน NEDC (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",18.5
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน WLTP (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",17.7 - 16.3
ล้อและยาง,ล้อ,ล้ออัลลอย M ขนาด 20 นิ้ว ลาย V-spoke แบบสลับสี
ล้อและยาง,ขนาดยาง,8 J × 20 / ยาง 245/40 R 20
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"4,554 / 1,845 / 1,560"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),"525 / 1,400"
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"2,095"
การชาร์จแบบกระแสสลับ (AC),รองรับการชาร์จแบบกระแสสลับ (AC) สูงสุด (กิโลวัตต์),22
ระยะเวลาในการชาร์จจาก 0 - 100%,AC charging at 2.3kW (220-230V / 10A / 1ph),34 ชั่วโมง 30 นาที
ระยะเวลาในการชาร์จจาก 0 - 100%,AC charging at 7.4kW Wallbox (230V / 32A / 1ph),10 ชั่วโมง
ระยะเวลาในการชาร์จจาก 0 - 100%,AC charging at 11kW Flexible Fast Charger (230V / 16A / 3ph),6 ชั่วโมง 30 นาที
ระยะเวลาในการชาร์จจาก 0 - 100%,AC charging at 22kW Wallbox (230V / 32A / 3ph),3 ชั่วโมง 45 นาที
การชาร์จแบบกระแสตรง (DC),รองรับการชาร์จแบบกระแสตรง (DC) สูงสุด (กิโลวัตต์),130
ระยะเวลาในการชาร์จจาก 10 - 80%,DC charging vehicle at 125A by EVSE,1 ชั่วโมง 14 นาที
ระยะเวลาในการชาร์จจาก 10 - 80%,DC charging vehicle at 250A by EVSE,38 นาที
ระยะเวลาในการชาร์จจาก 10 - 80%,DC charging vehicle at 500A by EVSE,29 นาที
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่าง Adaptive M Suspension,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบขับเคลื่อนสี่ล้อด้วยไฟฟ้า BMW xDrive Electric (BMW xDrive electric all-wheel drive),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ (Driving Assistant),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ รุ่น Plus (Parking Assistant Plus),■
อุปกรณ์ภายนอก,หลังคากระจก Panorama,■
อุปกรณ์ภายนอก,ราวหลังคาสีดำเงาดีไซน์ M,■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยชุดแต่ง M สีดำเงา,■
อุปกรณ์ภายนอก,ระบบปรับการทำงานไฟสูงอัตโนมัติ (High-beam Assistant),■
อุปกรณ์ภายนอก,ระบบไฟหน้า LED อัจฉริยะ (Adaptive LED),■
อุปกรณ์ภายนอก,คาลิเปอร์เบรกดีไซน์ M Sport สีน้ำเงินเข้ม,■
อุปกรณ์ภายนอก,ชุดตกแต่งภายนอกแบบ M Sport,■
อุปกรณ์ภายนอก,กระจังหน้า BMW kidney 'Iconic Glow',■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ (Comfort Access System),■
