Category,Topic,iX xDrive45 M Sport
เครื่องยนต์และสมรรถนะ,มอเตอร์ไฟฟ้า,เทคโนโลยี BMW eDrive
เครื่องยนต์และสมรรถนะ,กําลังมอเตอร์ไฟฟ้าสูงสุด (กิโลวัตต์/แรงม้า),300 / 408
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร),700
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า1 , มาตรฐาน NEDC (กิโลเมตร)",616
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า1 , มาตรฐาน WLTP (กิโลเมตร)",490 - 602
เครื่องยนต์และสมรรถนะ,ชนิดแบตเตอรี่ (แรงดันสูง),ลิเทียม-ไอออน (Lithium-ion)
เครื่องยนต์และสมรรถนะ,ความจุพลังงานแบตเตอรี่ไฟฟ้าแรงสูง (กิโลวัตต์-ชั่วโมง),100.4
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),200
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),5.1
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน NEDC (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",17.0
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน WLTP (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",21.8
ล้อและยาง,ล้อ,ล้อ M aerodynamic ขนาด 21 นิ้วแบบสลับสี 3D ขัดเงา
ล้อและยาง,ขนาดยาง,9 J x 21 / ยาง 255/50 R 21
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"4,965 / 1,970 / 1,695"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),500 - 1750
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"2,525"
การชาร์จแบบกระแสสลับ (AC),รองรับการชาร์จแบบกระแสสลับ (AC) สูงสุด (กิโลวัตต์),22
ระยะเวลาในการชาร์จจาก 0 - 100%,"AC charging with 2.3kW (230V, 10A) x 1ph",54 ชั่วโมง
ระยะเวลาในการชาร์จจาก 0 - 100%,"AC charging with 7.4kW (230V, 32A) x 1ph",14 ชั่วโมง 45 นาที
ระยะเวลาในการชาร์จจาก 0 - 100%,"AC charging with 11kW (230V, 16A) x 3ph, 48A) x 1ph",9 ชั่วโมง 45 นาที
ระยะเวลาในการชาร์จจาก 0 - 100%,"AC charging with 22kW (230V, 32A) x 3ph",5 ชั่วโมง
การชาร์จแบบกระแสตรง (DC),รองรับการชาร์จแบบกระแสตรง (DC) สูงสุด (กิโลวัตต์),175
ระยะเวลาในการชาร์จจาก 10 - 80%,DC charging vehicle at 125A by EVSE,1 ชั่วโมง 30 นาที
ระยะเวลาในการชาร์จจาก 10 - 80%,DC charging vehicle at 250A by EVSE,47 นาที
ระยะเวลาในการชาร์จจาก 10 - 80%,DC charging vehicle at 500A by EVSE,34 นาที
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ (Driving Assistant),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่รุ่น Plus (Driving Assistant Plus),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ รุ่น Plus (Parking Assistant Plus),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบขับเคลื่อนสี่ล้อด้วยไฟฟ้า BMW xDrive Electric (BMW xDrive electric all-wheeldrive),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบปรับองศาของล้อหลังเพื่อการเข้าโค้งหรือเลี้ยว (Integral Active Steering),■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่างถุงลม Adaptive 2-axle,■
อุปกรณ์ภายนอก,ระบบไฟหน้า LED อัจฉริยะ (Adaptive LED),■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ (Comfort Access System),■
อุปกรณ์ภายนอก,ระบบช่วยผ่อนแรงกระแทกขณะปิดประตู (Soft-close function for doors),■
อุปกรณ์ภายนอก,หลังคากระจก Panorama Sky Lounge,■
