Category,Topic,M2,M2 (M Racetrack),M2 (MT)
เครื่องยนต์และสมรรถนะ,ชนิดเครื่องยนต์,เครื่องยนต์เบนซิน 6 สูบ เทคโนโลยี M TwinPower Turbo,เครื่องยนต์เบนซิน 6 สูบ เทคโนโลยี M TwinPower Turbo,เครื่องยนต์เบนซิน 6 สูบ เทคโนโลยี M TwinPower Turbo
เครื่องยนต์และสมรรถนะ,ปริมาตรกระบอกสูบ (ลูกบาศก์เซนติเมตร),"2,993","2,993","2,993"
เครื่องยนต์และสมรรถนะ,กำลังสูงสุด (กิโลวัตต์/แรงม้า/รอบต่อนาที),"353 / 480 / 6,250","353 / 480 / 6,250","353 / 480 / 6,250"
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร/รอบต่อนาที),"600 / 2,700 - 5,620","600 / 2,700 - 5,620","550 / 2,650 - 6,130"
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),250,285,250
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),4,4,4.2
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,อัตราสิ้นเปลืองน้ำมันเชื้อเพลิงเฉลี่ย - อ้างอิงผล ECO Sticker (กิโลเมตร/ลิตร),10.4,10.4,9.7
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,ระดับการปล่อย CO2 เฉลี่ย (กรัม/กิโลเมตร),217,217,233
ล้อและยาง,ล้อ,ล้ออัลลอย M ขนาด 19 และ 20 นิ้ว ลาย Double-spoke,ล้ออัลลอย M ขนาด 19 และ 20 นิ้ว ลาย Double-spoke,ล้ออัลลอย M ขนาด 19 และ 20 นิ้ว ลาย Double-spoke
ล้อและยาง,ขนาดยาง,ล้อหน้า: 9.5 J × 19 / ยาง 275/35ZR 19 ล้อหลัง: 10.5 J × 20 / ยาง 285/30ZR 20,ล้อหน้า: 9.5 J × 19 / ยาง 275/35ZR 19 ล้อหลัง: 10.5 J × 20 / ยาง 285/30ZR 20,ล้อหน้า: 9.5 J × 19 / ยาง 275/35ZR 19 ล้อหลัง: 10.5 J × 20 / ยาง 285/30ZR 20
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"4,580 / 1,887 / 1,403","4,580 / 1,887 / 1,403","4,580 / 1,887 / 1,403"
มิติรถยนต์,ปริมาตรในการบรรจุสัมภาระ (ลิตร),390,390,390
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"1,805","1,805","1,780"
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ 8 จังหวะ แบบ M Steptronic พร้อม Drivelogic,■,■,-
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์ธรรมดา 6 จังหวะ,-,-,■
ระบบขับเคลื่อนและเทคโนโลยี,โหมดการขับขี่ M Drive Professional,■,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบเฟืองท้าย M Sport,■,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่าง Adaptive M,■,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบควบคุมความเร็วอัตโนมัติ พร้อมฟังก์ชัน Stop&Go (Active cruise control with Stop&Go function),■,■,-
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ (Driving Assistant),■,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ (Parking Assistant),■,■,■
อุปกรณ์ภายนอก,ชุดเบรก M Compound Brake สีแดงเงา,■,■,■
อุปกรณ์ภายนอก,โคมไฟหน้าตกแต่งสีดำ (M Lights Shadowline),■,■,■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยวัสดุสีดำเงา,■,■,■
อุปกรณ์ภายนอก,หลังคา M Carbon,■,■,■
