Category,Topic,M2 CS
เครื่องยนต์และสมรรถนะ,ชนิดเครื่องยนต์,เครื่องยนต์เบนซิน 6 สูบ เทคโนโลยี M TwinPower Turbo
เครื่องยนต์และสมรรถนะ,ปริมาตรกระบอกสูบ (ลูกบาศก์เซนติเมตร),"2,993"
เครื่องยนต์และสมรรถนะ,กำลังสูงสุด (กิโลวัตต์/แรงม้า/รอบต่อนาที),"390 / 530 / 6,250"
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร/รอบต่อนาที),"650 / 2,750 - 5,730"
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),302
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),3.8
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที)²,3.5
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,อัตราสิ้นเปลืองน้ำมันเชื้อเพลิงเฉลี่ย - อ้างอิงผล ECO Sticker (กิโลเมตร/ลิตร),10.1
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,ระดับการปล่อย CO2 เฉลี่ย (กรัม/กิโลเมตร),227
ล้อและยาง,ล้อ,ล้ออัลลอย M ขนาด 19 และ 20 นิ้ว ลาย star spoke Gold Bronze
ล้อและยาง,ขนาดยาง,ล้อหน้า: 9.5J × 19 / ยาง 275/35 ZR 19 ล้อหลัง: 10.5J × 20 / ยาง 285/30 ZR 20
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"4,587 / 1,887 / 1,395"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),390
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"1,775"
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ 8 จังหวะแบบ M Steptronic พร้อม Drivelogic,■
ระบบขับเคลื่อนและเทคโนโลยี,โหมดการขับขี่ M Drive Profressional,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบเฟืองท้าย M Sport,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่าง Adaptive M,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบควบคุมความเร็วอัตโนมัติ พร้อมฟังก์ชัน Stop&Go (Active cruise control with Stop&Go function),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ (Driving Assistant),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ (Parking Assistant),■
อุปกรณ์ภายนอก,ระบบไฟหน้า LED อัจฉริยะ,■
อุปกรณ์ภายนอก,ระบบปรับการทำงานไฟสูงอัตโนมัติ (High-beam Assistant),■
อุปกรณ์ภายนอก,โคมไฟหน้าตกแต่งสีดำ (M Lights Shadowline),■
อุปกรณ์ภายนอก,ชุดเบรก M Compound Brake สีแดงเงา,■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยวัสดุสีดำเงา,■
อุปกรณ์ภายนอก,หลังคา M Carbon,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ (Comfort Access System),■
อุปกรณ์ภายใน,ภายในตกแต่งดีไซน์ M ด้วยวัสดุ Carbon Fibre,■
อุปกรณ์ภายใน,กระจกมองข้างฝั่งคนขับและกระจกมองหลังตัดแสงอัตโนมัติ,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร (Ambient Light),■
อุปกรณ์ภายใน,เข็มขัดนิรภัยดีไซน์ M,■
อุปกรณ์ภายใน,เบาะนั่ง M Carbon ทรง Bucket Seat,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าปรับไฟฟ้าพร้อมระบบจำตำแหน่งเฉพาะฝั่งคนขับ,■
อุปกรณ์ภายใน,ระบบอุ่นเบาะสำหรับคนขับและผู้โดยสารเบาะหน้า,■
อุปกรณ์ภายใน,พวงมาลัยหุ้ม Alcantara ดีไซน์ M,■
อุปกรณ์ภายใน,หลังคาภายในดีไซน์ M สี Anthracite,■
อุปกรณ์ภายใน,ฟังก์ชันช่วยการจัดเก็บสัมภาระ,■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติ,■
อุปกรณ์ภายใน,ที่รองศีรษะเบาะตอนหลังพับได้,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■
ระบบความบันเทิงและการสื่อสาร,BMW Connected Package Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบเชื่อมต่อ Smartphone,■
ระบบความบันเทิงและการสื่อสาร,ระบบเครื่องเสียงรอบทิศทาง Harman Kardon,■
ระบบความบันเทิงและการสื่อสาร,ระบบ eSIM ส่วนบุคคล (Personal eSIM),■
ระบบความบันเทิงและการสื่อสาร,ระบบชาร์จโทรศัพท์แบบไร้สาย,■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง (ยกเว้นผู้โดยสารตอนหลังกลาง),■
ความปลอดภัย,ระบบ Teleservices,■
ความปลอดภัย,ปุ่มโทรออกฉุกเฉิน (Intelligent Emergency Call),■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■
ความปลอดภัย,ระบบควบคุมแรงดันเบรกแบบแปรผัน (DBC),■
ความปลอดภัย,ระบบควบคุมการกระจายแรงเบรกขณะเข้าโค้ง (CBC),■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■
ความปลอดภัย,ระบบช่วยเสริมแรงเบรกอัตโนมัติ (Brake Assist),■
ความปลอดภัย,เซนเซอร์ควบคุมระยะการจอดด้านหน้าและหลัง,■
ความปลอดภัย,เซนเซอร์ควบคุมระบบความปลอดภัยเมื่อเกิดการชน (Crash Sensor),■
ความปลอดภัย,ระบบตรวจวัดลมยาง,■
ความปลอดภัย,ชุดปะยางฉุกเฉิน,■
ความปลอดภัย,ป้ายสามเหลี่ยมเตือนสะท้อนแสง,■
ความปลอดภัย,ระบบเตือนการชนด้านหน้าพร้อมระบบช่วยเบรค,■
ความปลอดภัย,ระบบเตือนคนเดินเท้าพร้อมระบบเบรกอัตโนมัติในเมือง,■
ความปลอดภัย,ระบบเตือนรถออกนอกเลนพร้อมช่วยนำรถกลับเข้าเลน,■
ความปลอดภัย,ระบบเตือนการเปลี่ยนเลน,■
ความปลอดภัย,ระบบเตือนการจราจรด้านหลัง,■
ความปลอดภัย,ระบบป้องกันการชนด้านหลัง,■
Paintwork / สีตัวถังและวัสดุภายใน,BMW Individual Velvet Blue Metallic³,Full leather 'Merino' - Black/exclusive highlight
Paintwork / สีตัวถังและวัสดุภายใน,Black Sapphire Metallic,Full leather 'Merino' - Black/exclusive highlight
Paintwork / สีตัวถังและวัสดุภายใน,Brooklyn Grey Metallic,Full leather 'Merino' - Black/exclusive highlight
Paintwork / สีตัวถังและวัสดุภายใน,Portimao Blue Metallic,Full leather 'Merino' - Black/exclusive highlight
ข้อมูลเอกสารอ้างอิง,วันที่พิมพ์เอกสาร,25 กันยายน 2568
