Category,Topic,M3 CS Touring
เครื่องยนต์และสมรรถนะ,ชนิดเครื่องยนต์,เครื่องยนต์เบนซิน 6 สูบ เทคโนโลยี BMW M TwinPower Turbo
เครื่องยนต์และสมรรถนะ,ปริมาตรกระบอกสูบ (ลูกบาศก์เซนติเมตร),"2,993"
เครื่องยนต์และสมรรถนะ,กำลังสูงสุด (กิโลวัตต์/แรงม้า/รอบต่อนาที),"405 / 551 / 6,250"
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร/รอบต่อนาที),"650 / 2,750 - 5,950"
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง)¹,300
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),3.5
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที)²,3.2
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,อัตราสิ้นเปลืองน้ำมันเชื้อเพลิงเฉลี่ย - อ้างอิงผล ECO Sticker (กิโลเมตร/ลิตร),9.8
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,ระดับการปล่อย CO2 เฉลี่ย (กรัม/กิโลเมตร),234
ล้อและยาง,ล้อ,ล้อ M ขนาด 19 นิ้ว / 20 นิ้ว ลาย Star-spoke
ล้อและยาง,ขนาดยาง,ล้อหน้า: 9.5 J × 19 / ยาง 275/35 R 19 ล้อหลัง: 10.5 J × 20 / ยาง 285/30 R 20
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"4,796 / 1,918 / 1,447"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),"500 - 1,510"
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"1,925"
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ 8 จังหวะ แบบ M Steptronic พร้อม Drivelogic,■
ระบบขับเคลื่อนและเทคโนโลยี,โหมดการขับขี่ M Drive Professional,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบเฟืองท้าย M Sport,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่าง Adaptive M Suspension,■
ระบบขับเคลื่อนและเทคโนโลยี,M Front End Strut brace,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ (Driving Assistant),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบควบคุมความเร็วคงที่ พร้อมฟังก์ชันช่วยลดความเร็ว,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ,■
อุปกรณ์ภายนอก,ระบบไฟหน้า LED อัจฉริยะ,■
อุปกรณ์ภายนอก,"ระบบไฟหน้าตกแต่งด้วยไฟแบบ M สีเหลือง (M Lights, coloured)",■
อุปกรณ์ภายนอก,ชุดเบรค M Carbon ceramic สีทองด้าน,■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยวัสดุสีดำเงา,■
อุปกรณ์ภายนอก,ราวหลังคาสีดำเงา,■
อุปกรณ์ภายนอก,ระบบปรับการทำงานไฟสูงอัตโนมัติ (High-beam Assistant),■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ,■
อุปกรณ์ภายนอก,ชุดตกแต่งภายนอก M Carbon,■
อุปกรณ์ภายนอก,กระจกบานหน้าและคู่หน้าแบบลดเสียงรบกวน,■
อุปกรณ์ภายใน,ภายในตกแต่งดีไซน์ M ด้วยวัสดุ Carbon Fibre,■
อุปกรณ์ภายใน,กระจกมองข้างฝั่งคนขับและกระจกมองหลังตัดแสงอัตโนมัติ,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร (Ambient Light),■
อุปกรณ์ภายใน,พวงมาลัยหุ้ม Alcantara ดีไซน์ M,■
อุปกรณ์ภายใน,เข็มขัดนิรภัยดีไซน์ M,■
อุปกรณ์ภายใน,เบาะนั่ง M carbon ทรง bucket seat,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าปรับไฟฟ้าพร้อมระบบจำตำแหน่งเฉพาะฝั่งคนขับ,■
อุปกรณ์ภายใน,ระบบอุ่นเบาะสำหรับคนขับและผู้โดยสารเบาะหน้า,■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติ,■
