Category,Topic,X4 xDrive20d M Sport
เครื่องยนต์และสมรรถนะ,ชนิดเครื่องยนต์,เครื่องยนต์ดีเซล 4 สูบ เทคโนโลยี BMW TwinPower Turbo
เครื่องยนต์และสมรรถนะ,ปริมาตรกระบอกสูบ (ลูกบาศก์เซนติเมตร),"1,995"
เครื่องยนต์และสมรรถนะ,กำลังสูงสุด (กิโลวัตต์/แรงม้า/รอบต่อนาที),"140 / 190 / 4,000"
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร/รอบต่อนาที),"400 / 1,750 - 2,500"
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),213
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),8.0
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,อัตราสิ้นเปลืองน้ำมันเชื้อเพลิงเฉลี่ย - อ้างอิงผล ECO Sticker (กิโลเมตร/ลิตร),17.9
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,ระดับการปล่อย CO2 เฉลี่ย (กรัม/กิโลเมตร),146
ล้อและยาง,ล้อ,ล้ออัลลอย M ขนาด 20 นิ้ว ลาย Double-spoke
ล้อและยาง,ขนาดยาง,ล้อหน้า: 8 J x 20 / ยาง 245/45 R20 ล้อหลัง: 9.5 J x 20 / ยาง 275/40 R20
ล้อและยาง,ยาง Runflat,■
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"4,751 / 1,918 / 1,621"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),"525 - 1,430"
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"1,815"
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ 8 จังหวะ แบบ Steptronic พร้อม Gearshift Paddles,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่าง Adaptive,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบควบคุมความเร็วคงที่ พร้อมฟังก์ชันช่วยลดความเร็ว (Cruise Control with braking function),■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ (Driving Assistant),■
