Category,Topic,X5 xDrive30d M Sport,X5 xDrive50e M Sport
เครื่องยนต์และสมรรถนะ,ชนิดเครื่องยนต์,เครื่องยนต์ดีเซล 6 สูบเทคโนโลยี BMW TwinPower Turbo,เครื่องยนต์เบนซิน 6 สูบเทคโนโลยี BMW TwinPower Turbo
เครื่องยนต์และสมรรถนะ,ปริมาตรกระบอกสูบ (ลูกบาศก์เซนติเมตร),"2,993","2,998"
เครื่องยนต์และสมรรถนะ,กําลังสูงสุด (กิโลวัตต์/แรงม้า/รอบต่อนาที),"210 / 286 / 4,000",-
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร/รอบต่อนาที),"650 / 1,500 - 2,500","450 / 1,750 - 4,700"
เครื่องยนต์และสมรรถนะ,กำลังมอเตอร์ไฟฟ้าสูงสุด (กิโลวัตต์/แรงม้า),9 / 12,145 / 197
เครื่องยนต์และสมรรถนะ,แรงบิดมอเตอร์ไฟฟ้าสูงสุด (นิวตันเมตร),-,280
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า1 , มาตรฐาน NEDC (กิโลเมตร)",-,113
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า1 , มาตรฐาน WLTP (กิโลเมตร)",-,94 - 100
เครื่องยนต์และสมรรถนะ,ความจุพลังงานแบตเตอรี่ไฟฟ้าแรงสูง (กิโลวัตต์-ชั่วโมง),-,29.5
เครื่องยนต์และสมรรถนะ,กำลังรวมสูงสุด (กิโลวัตต์/แรงม้า),219 / 298,360 / 489
เครื่องยนต์และสมรรถนะ,แรงบิดรวมสูงสุด (นิวตันเมตร),670,700
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),233,250
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุดในการขับขี่แบบไฟฟ้า (กิโลเมตร/ชั่วโมง),-,140
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),6.1,4.8
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน NEDC (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",-,23.7
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน WLTP (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",-,27.0 - 22.9
เครื่องยนต์และสมรรถนะ,กำลังสูงสุด (กิโลวัตต์/แรงม้า/รอบต่อนาที),-,"230 / 313 / 5,000 - 6,500"
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,อัตราสิ้นเปลืองน้ำมันเชื้อเพลิงเฉลี่ย - อ้างอิงผล ECO Sticker (กิโลเมตร/ลิตร),14.1,66.7
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,ระดับการปล่อย CO2 เฉลี่ย (กรัม/กิโลเมตร),186,35
ล้อและยาง,ล้อ,ล้ออัลลอย M ขนาด 20 นิ้วลาย Star-spoke แบบสลับสี,ล้ออัลลอย M ขนาด 21 นิ้วลาย Y-spoke แบบสลับสี
ล้อและยาง,ขนาดยาง,ล้อหน้า: 9 J × 20 / ยาง 275/45 R20ล้อหลัง: 10.5 J × 20 / ยาง 305/40 R20,ล้อหน้า: 9.5 J × 21 / ยาง 275/40 R21ล้อหลัง: 10.5 J × 21 / ยาง 315/35 R21
ล้อและยาง,ยาง Runflat,■,■
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"4,935 / 2,004 / 1,765","4,935 / 2,004 / 1,755"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),"650 - 1,870","500 - 1,720"
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"2,295","2,495"
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ 8 จังหวะ แบบ Sport Steptronic,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่าง Adaptive M,■,-
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่างถุงลม Adaptive 2-axle,-,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ รุ่น Professional(Driving Assistant Professional),■,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ รุ่น Professional (Parking Assistant Professional),■,■
อุปกรณ์ภายนอก,ระบบไฟหน้า LED อัจฉริยะ (Adaptive LED),■,■
อุปกรณ์ภายนอก,กระจังหน้า BMW kidney 'Iconic Glow',-,■
อุปกรณ์ภายนอก,โคมไฟหน้าตกแต่งดีไซน์ M สีดำ (M Lights Shadow Line),-,■
อุปกรณ์ภายนอก,ระบบปรับการทำงานไฟสูงอัตโนมัติ (High-beam Assistant),■,■
อุปกรณ์ภายนอก,คาลิเปอร์เบรกดีไซน์ M Sport,■,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ (Comfort Access System),■,■
อุปกรณ์ภายนอก,ระบบช่วยผ่อนแรงกระแทกขณะปิดประตู(Soft-close Function for Doors),■,■
อุปกรณ์ภายนอก,หลังคากระจก Panorama เปิด-ปิดด้วยระบบไฟฟ้า,■,■
อุปกรณ์ภายนอก,กระจกมองข้างปรับไฟฟ้าพร้อมระบบตัดแสงอัตโนมัติฝั่งคนขับ,■,■
อุปกรณ์ภายนอก,ชุดตกแต่ง M Aerodynamics,■,■
อุปกรณ์ภายนอก,ภายนอกตกแต่งด้วยชุดแต่ง M สีดำเงา,■,■
อุปกรณ์ภายนอก,ภายนอกพร้อมชุดตกแต่งด้วยวัสดุสีดำเงา,-,■
อุปกรณ์ภายนอก,ราวหลังคาดีไซน์ M สีดำเงา,■,■
อุปกรณ์ภายใน,ระบบอุ่นเบาะสำหรับคนขับและผู้โดยสารเบาะหน้า,■,-
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าและหลังพร้อมระบบ Heater,-,■
อุปกรณ์ภายใน,"ระบบอุ่นที่พักแขนและพวงมาลัย (Heat Comfort Package, Front)",-,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าแบบ Comfort ปรับไฟฟ้า,■,■
อุปกรณ์ภายใน,พวงมาลัยหุ้มหนังดีไซน์ M,■,■
