Category,Topic,XM
เครื่องยนต์และสมรรถนะ,ชนิดเครื่องยนต์,เครื่องยนต์เบนซิน 8 สูบ เทคโนโลยี BMW M TwinPower Turbo
เครื่องยนต์และสมรรถนะ,ปริมาตรกระบอกสูบ (ลูกบาศก์เซนติเมตร),"4,395"
เครื่องยนต์และสมรรถนะ,กำลังสูงสุด (กิโลวัตต์/แรงม้า/รอบต่อนาที),"360 / 489 / 5,400 - 7,200"
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร/รอบต่อนาที),"650 / 1,600 - 5,000"
เครื่องยนต์และสมรรถนะ,กำลังมอเตอร์ไฟฟ้าสูงสุด (กิโลวัตต์/แรงม้า),145 / 197
เครื่องยนต์และสมรรถนะ,แรงบิดมอเตอร์ไฟฟ้าสูงสุด (นิวตันเมตร),280
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า1 , มาตรฐาน NEDC (กิโลเมตร)",98
เครื่องยนต์และสมรรถนะ,"ระยะทางขับเคลื่อนไฟฟ้า1 , มาตรฐาน WLTP (กิโลเมตร)",76 - 83
เครื่องยนต์และสมรรถนะ,ความจุพลังงานแบตเตอรี่ไฟฟ้าแรงสูง (กิโลวัตต์-ชั่วโมง),29.5
เครื่องยนต์และสมรรถนะ,กำลังรวมสูงสุด (กิโลวัตต์/แรงม้า),480 / 653
เครื่องยนต์และสมรรถนะ,แรงบิดรวมสูงสุด (นิวตันเมตร),800
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),270
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),4.3
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน NEDC (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",28.6
เครื่องยนต์และสมรรถนะ,"อัตราการใช้ไฟฟ้า, มาตรฐาน WLTP (กิโลวัตต์-ชั่วโมง/100 กิโลเมตร)",33.5
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,อัตราสิ้นเปลืองน้ำมันเชื้อเพลิงเฉลี่ย - อ้างอิง needle ECO Sticker (กิโลเมตร/ลิตร),41.7
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,ระดับการปล่อย CO2เฉลี่ย (กรัม/กิโลเมตร),54
ล้อและยาง,ล้อ,ล้ออัลลอย M ขนาด 23 นิ้ว ลาย star spoke แบบสลับสี
ล้อและยาง,ขนาดยาง,Front: 10 J × 23 / tyres 275/35 R23Rear: 11 J × 23 / tyres 315/30 R23
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"5,110 / 2,005 / 1,755"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),"527 - 1,820"
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"2,785"
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ 8 จังหวะ แบบ M Steptronic พร้อม Drivelogic,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบขับเคลื่อนอัจฉริยะ 4 ล้อ M xDrive,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบเฟืองท้าย M Sport,■
ระบบขับเคลื่อนและเทคโนโลยี,ช่วงล่าง Adaptive M Suspension Professional,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยการขับขี่ รุ่น Professional (Driving Assistant Professional)พร้อมระบบควบคุมความเร็วอัตโนมัติ พร้อมฟังก์ชัน Stop&Go,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบช่วยนำรถเข้าที่จอดอัตโนมัติ รุ่น Plus (Parking Assistant Plus),■
อุปกรณ์ภายนอก,กระจังหน้า BMW kidney 'Iconic Glow',■
อุปกรณ์ภายนอก,คลิปเปอร์เบรกดีไซน์ M Sport สีดำเงา,■
อุปกรณ์ภายนอก,ระบบปลดล็อกประตูอัจฉริยะ,■
อุปกรณ์ภายนอก,ระบบช่วยผ่อนแรงกระแทกขณะปิดประตู(Soft-close Function for Doors),■
อุปกรณ์ภายนอก,ระบบ Travel & Comfort,■
อุปกรณ์ภายนอก,ระบบปรับการทำงานไฟสูงอัตโนมัติ (High-beam Assistant),■
อุปกรณ์ภายนอก,ระบบไฟหน้า LED อัจฉริยะ,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าแบบ M Multifunctional,■
อุปกรณ์ภายใน,ภายในตกแต่งดีไซน์ M ด้วยวัสดุ Carbon Fibre,■
อุปกรณ์ภายใน,ชุดไฟส่องสว่างภายในและภายนอกห้องโดยสาร (Ambient Light),■
อุปกรณ์ภายใน,ที่วางแก้วบริเวณคอนโซลกลาง พร้อมฟังก์ชันควบคุมอุณหภูมิ,■
อุปกรณ์ภายใน,เบาะนั่งตอนหน้าพร้อมระบบ Heater,■
อุปกรณ์ภายใน,ระบบระบายอากาศสำหรับเบาะนั่งตอนหน้า,■
อุปกรณ์ภายใน,ฟังก์ชันนวดผ่อนคลายสำหรับเบาะนั่งตอนหน้า,■
อุปกรณ์ภายใน,คอนโซลด้านบนบุด้วยหนังแบบ BMW Individual,■
อุปกรณ์ภายใน,ระบบปรับอากาศอัตโนมัติแบบ 4 โซน,■
อุปกรณ์ภายใน,พวงมาลัยหุ้มหนังดีไซน์ M,■
อุปกรณ์ภายใน,เข็มขัดนิรภัยดีไซน์ M,■
ระบบความบันเทิงและการสื่อสาร,BMW Live Cockpit Professional,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW ConnectedDrive,■
ระบบความบันเทิงและการสื่อสาร,ระบบเสียงรอบทิศทางคุณภาพสูง Bowers & Wilkins Diamond,■
ระบบความบันเทิงและการสื่อสาร,ระบบจำลองเสียงเครื่องยนต์ IconicSounds Electric,■
ระบบความบันเทิงและการสื่อสาร,ระบบเชื่อมต่อ Smartphone,■
ระบบความบันเทิงและการสื่อสาร,ระบบ BMW Connected Package Professional,■
ความปลอดภัย,ถุงลมนิรภัยสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยด้านข้างสำหรับคนขับและผู้โดยสารตอนหน้า,■
ความปลอดภัย,ถุงลมนิรภัยศีรษะสำหรับผู้โดยสารตอนหน้าและหลัง(ยกเว้นผู้โดยสารตอนหลังกลาง),■
ความปลอดภัย,ระบบ Teleservices,■
ความปลอดภัย,ตัวยึดคาร์ซีทสำหรับเด็ก ISOFIX,■
ความปลอดภัย,ระบบควบคุมเสถียรภาพการขับขี่ (DSC),■
ความปลอดภัย,ระบบป้องกันล้อล็อกขณะเบรก (ABS),■
