Category,Topic,Z4 sDrive30i M Sport,Z4 M40i
เครื่องยนต์และสมรรถนะ,ชนิดเครื่องยนต์,เครื่องยนต์เบนซิน 4 สูบ เทคโนโลยี BMW TwinPower Turbo,เครื่องยนต์เบนซิน 6 สูบ เทคโนโลยี BMW TwinPower Turbo
เครื่องยนต์และสมรรถนะ,ปริมาตรกระบอกสูบ (ลูกบาศก์เซนติเมตร),"1,998","2,998"
เครื่องยนต์และสมรรถนะ,กำลังสูงสุด (กิโลวัตต์/แรงม้า/รอบต่อนาที),"190 / 258 / 5,000 - 6,500","285 / 387 / 5,800 - 6,500"
เครื่องยนต์และสมรรถนะ,แรงบิดสูงสุด (นิวตันเมตร/รอบต่อนาที),"400 / 1,550 - 4,400","500 / 1,800 - 5,000"
เครื่องยนต์และสมรรถนะ,ความเร็วสูงสุด (กิโลเมตร/ชั่วโมง),250,250
เครื่องยนต์และสมรรถนะ,อัตราเร่ง 0 - 100 กิโลเมตร/ชั่วโมง (วินาที),5.4,4.1
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,อัตราสิ้นเปลืองน้ำมันเชื้อเพลิงเฉลี่ย - อ้างอิงผล ECO Sticker (กิโลเมตร/ลิตร),15.9,13.3
อัตราสิ้นเปลืองน้ำมันเชื้อเพลิง และระดับการปล่อย CO2,ระดับการปล่อย CO2 เฉลี่ย (กรัม/กิโลเมตร),150,171
ล้อและยาง,ล้อ,ล้ออัลลอย M ขนาด 19 นิ้ว ลาย Double-spoke แบบสลับสี,ล้ออัลลอย M ขนาด 19 นิ้ว ลาย Double-spoke แบบสลับสี
ล้อและยาง,ขนาดยาง,ล้อหน้า: 9 J x 19 / ยาง 255/35 R 19 ล้อหลัง: 10 J x 19 / ยาง 275/35 R 19,ล้อหน้า: 9 J x 19 / ยาง 255/35 R 19 ล้อหลัง: 10 J x 19 / ยาง 275/35 R 19
มิติรถยนต์,มิติรถยนต์ ยาว/กว้าง/สูง (มิลลิเมตร),"4,234 / 1,864 / 1,304","4,234 / 1,864 / 1,304"
มิติรถยนต์,ปริมาตรในการบรรจุของ (ลิตร),281,281
มิติรถยนต์,น้ำหนักรถสุทธิ (กิโลกรัม),"1,505","1,610"
ระบบขับเคลื่อนและเทคโนโลยี,เกียร์อัตโนมัติ 8 จังหวะ แบบ Sport Steptronic,■,■
ระบบขับเคลื่อนและเทคโนโลยี,ระบบเฟืองท้าย M Sport,-,■
